ID,Label,Transformer,Transformer,Transformer,IV3-GRU,IV3-GRU,IV3-GRU,Difference,Difference,Difference,Interpretation
,,Precision,Recall,F1-Score,Precision,Recall,F1-Score,Precision,Recall,F1-Score,
0,GREETING,0.83715,0.898907,0.86693,0.522459,0.603825,0.560203,0.314691,0.295082,0.306727,"Transformer Better (Precision, Recall, F1-Score)"
1,SURVIVAL,0.743875,0.885942,0.808717,0.712446,0.440318,0.544262,0.031429,0.445624,0.264455,"Transformer Better (Recall, F1-Score)"
2,NUMBER,0.770936,0.926036,0.841398,0.451613,0.207101,0.283976,0.319323,0.718935,0.557422,"Transformer Better (Precision, Recall, F1-Score)"
3,CALENDAR,0.767123,0.884876,0.821803,0.501742,0.325056,0.394521,0.265381,0.55982,0.427282,"Transformer Better (Precision, Recall, F1-Score)"
4,DAYS,0.814721,0.879452,0.84585,0.567442,0.334247,0.42069,0.247279,0.545205,0.42516,"Transformer Better (Precision, Recall, F1-Score)"
5,FAMILY,0.773893,0.880637,0.823821,0.538905,0.496021,0.516575,0.234988,0.384616,0.307246,"Transformer Better (Precision, Recall, F1-Score)"
6,RELATIONSHIPS,0.768692,0.896458,0.827673,0.577465,0.33515,0.424138,0.191227,0.561308,0.403535,"Transformer Better (Precision, Recall, F1-Score)"
7,COLOR,0.781982,0.906054,0.839458,0.54321,0.367432,0.438356,0.238772,0.538622,0.401102,"Transformer Better (Precision, Recall, F1-Score)"
8,FOOD,0.827397,0.883041,0.854314,0.391304,0.631579,0.483221,0.436093,0.251462,0.371093,"Transformer Better (Precision, Recall, F1-Score)"
9,DRINK,0.75286,0.90137,0.820449,0.690909,0.312329,0.430189,0.061951,0.589041,0.39026,"Transformer Better (Precision, Recall, F1-Score)"
