ID,Label,Transformer,Transformer,Transformer,IV3-GRU,IV3-GRU,IV3-GRU,Difference,Difference,Difference,Interpretation
,,Precision,Recall,F1-Score,Precision,Recall,F1-Score,Precision,Recall,F1-Score,
0,GOOD MORNING,0.804878,0.916667,0.857143,0.806452,0.694444,0.746269,-0.001574,0.222223,0.110874,"Transformer Better (Recall, F1-Score)"
1,GOOD AFTERNOON,0.878049,0.972973,0.923077,0.5,0.297297,0.372881,0.378049,0.675676,0.550196,"Transformer Better (Precision, Recall, F1-Score)"
2,GOOD EVENING,0.837209,0.972973,0.9,0.619048,0.351351,0.448276,0.218161,0.621622,0.451724,"Transformer Better (Precision, Recall, F1-Score)"
3,HELLO,0.871795,0.894737,0.883117,0.777778,0.736842,0.756757,0.094017,0.157895,0.12636,"Transformer Better (Precision, Recall, F1-Score)"
4,HOW ARE YOU,0.853659,0.945946,0.897436,0.925926,0.675676,0.78125,-0.072267,0.27027,0.116186,"Mixed: Transformer Better (Recall, F1-Score); IV3-GRU Better (Precision)"
5,IM FINE,0.914286,0.888889,0.901408,0.9,0.75,0.818182,0.014286,0.138889,0.083226,"Transformer Better (Recall, F1-Score)"
6,NICE TO MEET YOU,0.813953,0.945946,0.875,0.828571,0.783784,0.805556,-0.014618,0.162162,0.069444,"Transformer Better (Recall, F1-Score)"
7,THANK YOU,0.820513,0.864865,0.842105,0.84375,0.72973,0.782609,-0.023237,0.135135,0.059496,"Transformer Better (Recall, F1-Score)"
8,YOURE WELCOME,0.916667,0.916667,0.916667,0.894737,0.472222,0.618182,0.02193,0.444445,0.298485,"Transformer Better (Recall, F1-Score)"
9,SEE YOU TOMORROW,0.85,0.971429,0.906667,0.682927,0.8,0.736842,0.167073,0.171429,0.169825,"Transformer Better (Precision, Recall, F1-Score)"
10,UNDERSTAND,0.794872,0.861111,0.826667,0.631579,0.333333,0.436364,0.163293,0.527778,0.390303,"Transformer Better (Precision, Recall, F1-Score)"
11,DON’T UNDERSTAND,0.875,0.921053,0.897436,0.625,0.394737,0.483871,0.25,0.526316,0.413565,"Transformer Better (Precision, Recall, F1-Score)"
12,KNOW,0.755556,0.918919,0.829268,0.882353,0.405405,0.555556,-0.126797,0.513514,0.273712,"Mixed: Transformer Better (Recall, F1-Score); IV3-GRU Better (Precision)"
13,DON’T KNOW,0.825,0.916667,0.868421,0.702703,0.722222,0.712329,0.122297,0.194445,0.156092,"Transformer Better (Precision, Recall, F1-Score)"
14,NO,0.596491,0.918919,0.723404,0.694444,0.675676,0.684932,-0.097953,0.243243,0.038472,Mixed: Transformer Better (Recall); IV3-GRU Better (Precision)
