Actual Gloss/Category Label,Total Ground Truth,Predicted Gloss/Category Label,Number of Confusions,Percentage of Confusions,Interpretation
CALENDAR,312,FOOD,39,12.5,High Confusion
CALENDAR,312,FAMILY,24,7.69,Moderate Confusion
CALENDAR,312,COLOR,24,7.69,Moderate Confusion
CALENDAR,312,GREETING,22,7.05,Moderate Confusion
CALENDAR,312,SURVIVAL,14,4.49,Low Confusion
CALENDAR,312,DAYS,14,4.49,Low Confusion
CALENDAR,312,DRINK,12,3.85,Low Confusion
CALENDAR,312,RELATIONSHIPS,9,2.88,Low Confusion
CALENDAR,312,NUMBER,7,2.24,Low Confusion
COLOR,360,FOOD,75,20.83,High Confusion
COLOR,360,FAMILY,39,10.83,High Confusion
COLOR,360,GREETING,26,7.22,Moderate Confusion
COLOR,360,CALENDAR,26,7.22,Moderate Confusion
COLOR,360,RELATIONSHIPS,17,4.72,Low Confusion
COLOR,360,DAYS,15,4.17,Low Confusion
COLOR,360,DRINK,10,2.78,Low Confusion
COLOR,360,NUMBER,9,2.5,Low Confusion
COLOR,360,SURVIVAL,5,1.39,Low Confusion
DAYS,277,GREETING,42,15.16,High Confusion
DAYS,277,FOOD,31,11.19,High Confusion
DAYS,277,FAMILY,24,8.66,Moderate Confusion
DAYS,277,CALENDAR,15,5.42,Moderate Confusion
DAYS,277,COLOR,15,5.42,Moderate Confusion
DAYS,277,SURVIVAL,14,5.05,Moderate Confusion
DAYS,277,DRINK,12,4.33,Low Confusion
DAYS,277,RELATIONSHIPS,11,3.97,Low Confusion
DAYS,277,NUMBER,10,3.61,Low Confusion
DRINK,276,FOOD,58,21.01,High Confusion
DRINK,276,COLOR,37,13.41,High Confusion
DRINK,276,GREETING,30,10.87,High Confusion
DRINK,276,RELATIONSHIPS,17,6.16,Moderate Confusion
DRINK,276,FAMILY,13,4.71,Low Confusion
DRINK,276,CALENDAR,11,3.99,Low Confusion
DRINK,276,SURVIVAL,9,3.26,Low Confusion
DRINK,276,DAYS,8,2.9,Low Confusion
DRINK,276,NUMBER,8,2.9,Low Confusion
FAMILY,275,FOOD,38,13.82,High Confusion
FAMILY,275,GREETING,29,10.55,High Confusion
FAMILY,275,COLOR,15,5.45,Moderate Confusion
FAMILY,275,CALENDAR,13,4.73,Low Confusion
FAMILY,275,RELATIONSHIPS,12,4.36,Low Confusion
FAMILY,275,DAYS,12,4.36,Low Confusion
FAMILY,275,SURVIVAL,12,4.36,Low Confusion
FAMILY,275,DRINK,9,3.27,Low Confusion
FAMILY,275,NUMBER,6,2.18,Low Confusion
FOOD,280,COLOR,19,6.79,Moderate Confusion
FOOD,280,GREETING,16,5.71,Moderate Confusion
FOOD,280,CALENDAR,16,5.71,Moderate Confusion
FOOD,280,FAMILY,15,5.36,Moderate Confusion
FOOD,280,SURVIVAL,10,3.57,Low Confusion
FOOD,280,DRINK,9,3.21,Low Confusion
FOOD,280,NUMBER,9,3.21,Low Confusion
FOOD,280,RELATIONSHIPS,9,3.21,Low Confusion
FOOD,280,DAYS,8,2.86,Low Confusion
GREETING,293,FOOD,32,10.92,High Confusion
GREETING,293,FAMILY,26,8.87,Moderate Confusion
GREETING,293,SURVIVAL,17,5.8,Moderate Confusion
GREETING,293,COLOR,14,4.78,Low Confusion
GREETING,293,CALENDAR,14,4.78,Low Confusion
GREETING,293,RELATIONSHIPS,13,4.44,Low Confusion
GREETING,293,DAYS,8,2.73,Low Confusion
GREETING,293,NUMBER,7,2.39,Low Confusion
GREETING,293,DRINK,4,1.37,Low Confusion
NUMBER,253,FOOD,32,12.65,High Confusion
NUMBER,253,SURVIVAL,24,9.49,Moderate Confusion
NUMBER,253,GREETING,23,9.09,Moderate Confusion
NUMBER,253,FAMILY,20,7.91,Moderate Confusion
NUMBER,253,COLOR,19,7.51,Moderate Confusion
NUMBER,253,RELATIONSHIPS,19,7.51,Moderate Confusion
NUMBER,253,CALENDAR,16,6.32,Moderate Confusion
NUMBER,253,DAYS,15,5.93,Moderate Confusion
NUMBER,253,DRINK,4,1.58,Low Confusion
RELATIONSHIPS,276,FOOD,39,14.13,High Confusion
RELATIONSHIPS,276,FAMILY,30,10.87,High Confusion
RELATIONSHIPS,276,GREETING,23,8.33,Moderate Confusion
RELATIONSHIPS,276,COLOR,23,8.33,Moderate Confusion
RELATIONSHIPS,276,DAYS,18,6.52,Moderate Confusion
RELATIONSHIPS,276,CALENDAR,18,6.52,Moderate Confusion
RELATIONSHIPS,276,SURVIVAL,15,5.43,Moderate Confusion
RELATIONSHIPS,276,DRINK,8,2.9,Low Confusion
RELATIONSHIPS,276,NUMBER,5,1.81,Low Confusion
SURVIVAL,286,GREETING,48,16.78,High Confusion
SURVIVAL,286,FOOD,37,12.94,High Confusion
SURVIVAL,286,FAMILY,22,7.69,Moderate Confusion
SURVIVAL,286,COLOR,16,5.59,Moderate Confusion
SURVIVAL,286,DAYS,12,4.2,Low Confusion
SURVIVAL,286,NUMBER,11,3.85,Low Confusion
SURVIVAL,286,DRINK,10,3.5,Low Confusion
SURVIVAL,286,CALENDAR,9,3.15,Low Confusion
SURVIVAL,286,RELATIONSHIPS,9,3.15,Low Confusion
