Actual Gloss/Category Label,Total Ground Truth,Predicted Gloss/Category Label,Number of Confusions,Percentage of Confusions,Interpretation
CALENDAR,443,COLOR,22,4.97,Low Confusion
CALENDAR,443,DAYS,21,4.74,Low Confusion
CALENDAR,443,NUMBER,19,4.29,Low Confusion
CALENDAR,443,FAMILY,18,4.06,Low Confusion
CALENDAR,443,DRINK,17,3.84,Low Confusion
CALENDAR,443,SURVIVAL,16,3.61,Low Confusion
CALENDAR,443,FOOD,14,3.16,Low Confusion
CALENDAR,443,RELATIONSHIPS,9,2.03,Low Confusion
CALENDAR,443,GREETING,8,1.81,Low Confusion
COLOR,477,RELATIONSHIPS,23,4.82,Low Confusion
COLOR,477,CALENDAR,20,4.19,Low Confusion
COLOR,477,DRINK,17,3.56,Low Confusion
COLOR,477,FAMILY,17,3.56,Low Confusion
COLOR,477,DAYS,16,3.35,Low Confusion
COLOR,477,FOOD,16,3.35,Low Confusion
COLOR,477,NUMBER,15,3.14,Low Confusion
COLOR,477,SURVIVAL,14,2.94,Low Confusion
COLOR,477,GREETING,12,2.52,Low Confusion
DAYS,365,GREETING,20,5.48,Moderate Confusion
DAYS,365,RELATIONSHIPS,19,5.21,Moderate Confusion
DAYS,365,DRINK,17,4.66,Low Confusion
DAYS,365,CALENDAR,16,4.38,Low Confusion
DAYS,365,NUMBER,15,4.11,Low Confusion
DAYS,365,FAMILY,14,3.84,Low Confusion
DAYS,365,COLOR,13,3.56,Low Confusion
DAYS,365,SURVIVAL,12,3.29,Low Confusion
DAYS,365,FOOD,12,3.29,Low Confusion
DRINK,363,SURVIVAL,17,4.68,Low Confusion
DRINK,363,RELATIONSHIPS,15,4.13,Low Confusion
DRINK,363,DAYS,15,4.13,Low Confusion
DRINK,363,COLOR,14,3.86,Low Confusion
DRINK,363,FAMILY,14,3.86,Low Confusion
DRINK,363,CALENDAR,13,3.58,Low Confusion
DRINK,363,GREETING,13,3.58,Low Confusion
DRINK,363,FOOD,12,3.31,Low Confusion
DRINK,363,NUMBER,8,2.2,Low Confusion
FAMILY,377,COLOR,21,5.57,Moderate Confusion
FAMILY,377,DRINK,20,5.31,Moderate Confusion
FAMILY,377,GREETING,16,4.24,Low Confusion
FAMILY,377,CALENDAR,16,4.24,Low Confusion
FAMILY,377,RELATIONSHIPS,14,3.71,Low Confusion
FAMILY,377,SURVIVAL,14,3.71,Low Confusion
FAMILY,377,NUMBER,14,3.71,Low Confusion
FAMILY,377,DAYS,12,3.18,Low Confusion
FAMILY,377,FOOD,6,1.59,Low Confusion
FOOD,341,COLOR,26,7.62,Moderate Confusion
FOOD,341,DRINK,15,4.4,Low Confusion
FOOD,341,SURVIVAL,14,4.11,Low Confusion
FOOD,341,CALENDAR,12,3.52,Low Confusion
FOOD,341,NUMBER,11,3.23,Low Confusion
FOOD,341,RELATIONSHIPS,11,3.23,Low Confusion
FOOD,341,FAMILY,10,2.93,Low Confusion
FOOD,341,GREETING,9,2.64,Low Confusion
FOOD,341,DAYS,9,2.64,Low Confusion
GREETING,365,NUMBER,27,7.4,Moderate Confusion
GREETING,365,FOOD,18,4.93,Low Confusion
GREETING,365,DAYS,18,4.93,Low Confusion
GREETING,365,RELATIONSHIPS,15,4.11,Low Confusion
GREETING,365,FAMILY,15,4.11,Low Confusion
GREETING,365,COLOR,15,4.11,Low Confusion
GREETING,365,SURVIVAL,14,3.84,Low Confusion
GREETING,365,CALENDAR,12,3.29,Low Confusion
GREETING,365,DRINK,10,2.74,Low Confusion
NUMBER,336,RELATIONSHIPS,16,4.76,Low Confusion
NUMBER,336,DRINK,15,4.46,Low Confusion
NUMBER,336,SURVIVAL,15,4.46,Low Confusion
NUMBER,336,GREETING,14,4.17,Low Confusion
NUMBER,336,CALENDAR,13,3.87,Low Confusion
NUMBER,336,COLOR,12,3.57,Low Confusion
NUMBER,336,FAMILY,11,3.27,Low Confusion
NUMBER,336,FOOD,11,3.27,Low Confusion
NUMBER,336,DAYS,9,2.68,Low Confusion
RELATIONSHIPS,367,COLOR,22,5.99,Moderate Confusion
RELATIONSHIPS,367,CALENDAR,18,4.9,Low Confusion
RELATIONSHIPS,367,FAMILY,16,4.36,Low Confusion
RELATIONSHIPS,367,GREETING,16,4.36,Low Confusion
RELATIONSHIPS,367,NUMBER,15,4.09,Low Confusion
RELATIONSHIPS,367,SURVIVAL,15,4.09,Low Confusion
RELATIONSHIPS,367,DRINK,12,3.27,Low Confusion
RELATIONSHIPS,367,FOOD,10,2.72,Low Confusion
RELATIONSHIPS,367,DAYS,9,2.45,Low Confusion
SURVIVAL,377,RELATIONSHIPS,21,5.57,Moderate Confusion
SURVIVAL,377,CALENDAR,18,4.77,Low Confusion
SURVIVAL,377,DRINK,17,4.51,Low Confusion
SURVIVAL,377,DAYS,15,3.98,Low Confusion
SURVIVAL,377,NUMBER,13,3.45,Low Confusion
SURVIVAL,377,COLOR,13,3.45,Low Confusion
SURVIVAL,377,GREETING,12,3.18,Low Confusion
SURVIVAL,377,FAMILY,10,2.65,Low Confusion
SURVIVAL,377,FOOD,3,0.8,Low Confusion
