Gloss ID,Label,Occluded,NonOccluded,Total
0,GOOD MORNING,46,78,124
1,GOOD AFTERNOON,20,103,123
2,GOOD EVENING,25,96,121
3,HELLO,25,102,127
4,HOW ARE YOU,48,77,125
5,IM FINE,0,124,124
6,NICE TO MEET YOU,105,19,124
7,THANK YOU,30,95,125
8,YOURE WELCOME,101,23,124
9,SEE YOU TOMORROW,116,4,120
10,UNDERSTAND,13,110,123
11,DON’T UNDERSTAND,10,114,124
12,KNOW,2,119,121
13,DON’T KNOW,30,94,124
14,NO,5,120,125
15,YES,2,121,123
16,WRONG,131,0,131
17,CORRECT,101,32,133
18,SLOW,64,59,123
19,FAST,14,108,122
20,ONE,23,91,114
21,TWO,17,93,110
22,THREE,19,98,117
23,FOUR,23,92,115
24,FIVE,24,89,113
25,SIX,10,107,117
26,SEVEN,18,95,113
27,EIGHT,11,99,110
28,NINE,16,99,115
29,TEN,18,97,115
30,JANUARY,119,3,122
31,FEBRUARY,117,1,118
32,MARCH,120,2,122
33,APRIL,132,5,137
34,MAY,131,3,134
35,JUNE,119,3,122
36,JULY,120,3,123
37,AUGUST,119,2,121
38,SEPTEMBER,117,7,124
39,OCTOBER,122,4,126
40,NOVEMBER,118,1,119
41,DECEMBER,113,8,121
42,MONDAY,59,66,125
43,TUESDAY,51,71,122
44,WEDNESDAY,39,82,121
45,THURSDAY,47,79,126
46,FRIDAY,52,69,121
47,SATURDAY,53,67,120
48,SUNDAY,59,63,122
49,TODAY,1,118,119
50,TOMORROW,42,80,122
51,YESTERDAY,16,105,121
52,FATHER,55,66,121
53,MOTHER,105,15,120
54,SON,115,7,122
55,DAUGHTER,97,32,129
56,GRANDFATHER,104,20,124
57,GRANDMOTHER,105,17,122
58,UNCLE,1,125,126
59,AUNTIE,1,119,120
60,COUSIN,0,120,120
61,PARENTS,114,3,117
62,BOY,45,79,124
63,GIRL,49,80,129
64,MAN,49,71,120
65,WOMAN,61,59,120
66,DEAF,96,28,124
67,HARD OF HEARING,42,80,122
68,WEELCHAIR PERSON,0,123,123
69,BLIND,123,0,123
70,DEAF BLIND,120,1,121
71,MARRIED,76,45,121
72,BLUE,5,116,121
73,GREEN,4,119,123
74,RED,101,19,120
75,BROWN,6,115,121
76,BLACK,89,31,120
77,WHITE,6,115,121
78,YELLOW,7,113,120
79,ORANGE,9,110,119
80,GRAY,6,121,127
81,PINK,121,0,121
82,VIOLET,34,86,120
83,LIGHT,111,9,120
84,DARK,118,2,120
85,BREAD,86,30,116
86,EGG,27,88,115
87,FISH,19,95,114
88,MEAT,88,27,115
89,CHICKEN,31,86,117
90,SPAGHETTI,115,0,115
91,RICE,51,64,115
92,LONGANISA,36,80,116
93,SHRIMP,47,68,115
94,CRAB,0,120,120
95,HOT,117,6,123
96,COLD,20,102,122
97,JUICE,79,44,123
98,MILK,8,113,121
99,COFFEE,54,68,122
100,TEA,88,34,122
101,BEER,74,47,121
102,WINE,48,72,120
103,SUGAR,89,33,122
104,NO SUGAR,80,41,121
