Gloss ID,Label,Occluded,NonOccluded,Total
0,GOOD MORNING,5,15,20
1,GOOD AFTERNOON,3,18,21
2,GOOD EVENING,2,20,22
3,HELLO,2,18,20
4,HOW ARE YOU,2,19,21
5,IM FINE,0,20,20
6,NICE TO MEET YOU,11,11,22
7,THANK YOU,5,15,20
8,YOURE WELCOME,11,8,19
9,SEE YOU TOMORROW,16,4,20
10,UNDERSTAND,13,7,20
11,DON’T UNDERSTAND,6,15,21
12,KNOW,0,21,21
13,DON’T KNOW,0,20,20
14,NO,5,16,21
15,YES,0,20,20
16,WRONG,21,0,21
17,CORRECT,6,16,22
18,SLOW,7,14,21
19,FAST,1,20,21
20,ONE,2,18,20
21,TWO,0,20,20
22,THREE,0,20,20
23,FOUR,0,20,20
24,FIVE,0,20,20
25,SIX,0,21,21
26,SEVEN,0,16,16
27,EIGHT,0,19,19
28,NINE,0,20,20
29,TEN,0,20,20
30,JANUARY,18,2,20
31,FEBRUARY,18,1,19
32,MARCH,18,2,20
33,APRIL,20,0,20
34,MAY,20,1,21
35,JUNE,17,3,20
36,JULY,18,3,21
37,AUGUST,23,0,23
38,SEPTEMBER,14,6,20
39,OCTOBER,17,3,20
40,NOVEMBER,21,0,21
41,DECEMBER,17,5,22
42,MONDAY,10,10,20
43,TUESDAY,6,14,20
44,WEDNESDAY,6,14,20
45,THURSDAY,4,16,20
46,FRIDAY,7,13,20
47,SATURDAY,5,15,20
48,SUNDAY,5,15,20
49,TODAY,0,20,20
50,TOMORROW,12,9,21
51,YESTERDAY,0,20,20
52,FATHER,5,15,20
53,MOTHER,19,1,20
54,SON,19,1,20
55,DAUGHTER,20,0,20
56,GRANDFATHER,9,9,18
57,GRANDMOTHER,18,3,21
58,UNCLE,0,26,26
59,AUNTIE,0,20,20
60,COUSIN,0,20,20
61,PARENTS,15,0,15
62,BOY,4,17,21
63,GIRL,9,11,20
64,MAN,5,15,20
65,WOMAN,9,11,20
66,DEAF,8,13,21
67,HARD OF HEARING,1,19,20
68,WEELCHAIR PERSON,0,20,20
69,BLIND,20,0,20
70,DEAF BLIND,20,0,20
71,MARRIED,7,13,20
72,BLUE,0,20,20
73,GREEN,0,21,21
74,RED,20,0,20
75,BROWN,1,19,20
76,BLACK,18,2,20
77,WHITE,3,17,20
78,YELLOW,5,15,20
79,ORANGE,5,15,20
80,GRAY,0,20,20
81,PINK,20,0,20
82,VIOLET,4,16,20
83,LIGHT,20,0,20
84,DARK,20,0,20
85,BREAD,8,12,20
86,EGG,5,15,20
87,FISH,7,13,20
88,MEAT,10,10,20
89,CHICKEN,9,11,20
90,SPAGHETTI,20,0,20
91,RICE,9,11,20
92,LONGANISA,9,11,20
93,SHRIMP,3,17,20
94,CRAB,0,20,20
95,HOT,21,0,21
96,COLD,0,21,21
97,JUICE,10,10,20
98,MILK,2,18,20
99,COFFEE,10,10,20
100,TEA,17,3,20
101,BEER,20,0,20
102,WINE,10,10,20
103,SUGAR,12,9,21
104,NO SUGAR,14,6,20
