Gloss ID,Label,Occluded,NonOccluded,Total
0,GOOD MORNING,41,63,104
1,GOOD AFTERNOON,17,85,102
2,GOOD EVENING,23,76,99
3,HELLO,23,84,107
4,HOW ARE YOU,46,58,104
5,IM FINE,0,104,104
6,NICE TO MEET YOU,94,8,102
7,THANK YOU,25,80,105
8,YOURE WELCOME,90,15,105
9,SEE YOU TOMORROW,100,0,100
10,UNDERSTAND,0,103,103
11,DON’T UNDERSTAND,4,99,103
12,KNOW,2,98,100
13,DON’T KNOW,30,74,104
14,NO,0,104,104
15,YES,2,101,103
16,WRONG,110,0,110
17,CORRECT,95,16,111
18,SLOW,57,45,102
19,FAST,13,88,101
20,ONE,21,73,94
21,TWO,17,73,90
22,THREE,19,78,97
23,FOUR,23,72,95
24,FIVE,24,69,93
25,SIX,10,86,96
26,SEVEN,18,79,97
27,EIGHT,11,80,91
28,NINE,16,79,95
29,TEN,18,77,95
30,JANUARY,101,1,102
31,FEBRUARY,99,0,99
32,MARCH,102,0,102
33,APRIL,112,5,117
34,MAY,111,2,113
35,JUNE,102,0,102
36,JULY,102,0,102
37,AUGUST,96,2,98
38,SEPTEMBER,103,1,104
39,OCTOBER,105,1,106
40,NOVEMBER,97,1,98
41,DECEMBER,96,3,99
42,MONDAY,49,56,105
43,TUESDAY,45,57,102
44,WEDNESDAY,33,68,101
45,THURSDAY,43,63,106
46,FRIDAY,45,56,101
47,SATURDAY,48,52,100
48,SUNDAY,54,48,102
49,TODAY,1,98,99
50,TOMORROW,30,71,101
51,YESTERDAY,16,85,101
52,FATHER,50,51,101
53,MOTHER,86,14,100
54,SON,96,6,102
55,DAUGHTER,77,32,109
56,GRANDFATHER,95,11,106
57,GRANDMOTHER,87,14,101
58,UNCLE,1,99,100
59,AUNTIE,1,99,100
60,COUSIN,0,100,100
61,PARENTS,99,3,102
62,BOY,41,62,103
63,GIRL,40,69,109
64,MAN,44,56,100
65,WOMAN,52,48,100
66,DEAF,88,15,103
67,HARD OF HEARING,41,61,102
68,WEELCHAIR PERSON,0,103,103
69,BLIND,103,0,103
70,DEAF BLIND,100,1,101
71,MARRIED,69,32,101
72,BLUE,5,96,101
73,GREEN,4,98,102
74,RED,81,19,100
75,BROWN,5,96,101
76,BLACK,71,29,100
77,WHITE,3,98,101
78,YELLOW,2,98,100
79,ORANGE,4,95,99
80,GRAY,6,101,107
81,PINK,101,0,101
82,VIOLET,30,70,100
83,LIGHT,91,9,100
84,DARK,98,2,100
85,BREAD,78,18,96
86,EGG,22,73,95
87,FISH,12,82,94
88,MEAT,78,17,95
89,CHICKEN,22,75,97
90,SPAGHETTI,95,0,95
91,RICE,42,53,95
92,LONGANISA,27,69,96
93,SHRIMP,44,51,95
94,CRAB,0,100,100
95,HOT,96,6,102
96,COLD,20,81,101
97,JUICE,69,34,103
98,MILK,6,95,101
99,COFFEE,44,58,102
100,TEA,71,31,102
101,BEER,54,47,101
102,WINE,38,62,100
103,SUGAR,77,24,101
104,NO SUGAR,66,35,101
