Gloss ID,Label,Occluded,NonOccluded,Total
0,GOOD MORNING,35,53,88
1,GOOD AFTERNOON,15,71,86
2,GOOD EVENING,19,65,84
3,HELLO,18,71,89
4,HOW ARE YOU,32,56,88
5,IM FINE,0,88,88
6,NICE TO MEET YOU,74,13,87
7,THANK YOU,20,68,88
8,YOURE WELCOME,71,17,88
9,SEE YOU TOMORROW,82,3,85
10,UNDERSTAND,10,77,87
11,DON’T UNDERSTAND,6,80,86
12,KNOW,0,84,84
13,DON’T KNOW,21,67,88
14,NO,4,84,88
15,YES,2,83,85
16,WRONG,92,0,92
17,CORRECT,69,22,91
18,SLOW,45,41,86
19,FAST,12,73,85
20,ONE,16,64,80
21,TWO,10,67,77
22,THREE,14,69,83
23,FOUR,12,68,80
24,FIVE,18,63,81
25,SIX,8,74,82
26,SEVEN,14,64,78
27,EIGHT,7,70,77
28,NINE,10,72,82
29,TEN,12,69,81
30,JANUARY,83,3,86
31,FEBRUARY,81,1,82
32,MARCH,85,1,86
33,APRIL,93,3,96
34,MAY,92,2,94
35,JUNE,83,3,86
36,JULY,84,2,86
37,AUGUST,84,1,85
38,SEPTEMBER,83,6,89
39,OCTOBER,86,4,90
40,NOVEMBER,81,1,82
41,DECEMBER,78,6,84
42,MONDAY,41,46,87
43,TUESDAY,35,52,87
44,WEDNESDAY,26,59,85
45,THURSDAY,33,56,89
46,FRIDAY,39,45,84
47,SATURDAY,37,46,83
48,SUNDAY,40,45,85
49,TODAY,1,83,84
50,TOMORROW,28,57,85
51,YESTERDAY,10,75,85
52,FATHER,40,45,85
53,MOTHER,73,10,83
54,SON,79,5,84
55,DAUGHTER,66,25,91
56,GRANDFATHER,70,17,87
57,GRANDMOTHER,72,11,83
58,UNCLE,0,87,87
59,AUNTIE,0,83,83
60,COUSIN,0,82,82
61,PARENTS,77,2,79
62,BOY,29,57,86
63,GIRL,37,54,91
64,MAN,34,50,84
65,WOMAN,43,40,83
66,DEAF,67,20,87
67,HARD OF HEARING,27,58,85
68,WEELCHAIR PERSON,0,87,87
69,BLIND,87,0,87
70,DEAF BLIND,83,1,84
71,MARRIED,57,29,86
72,BLUE,4,80,84
73,GREEN,3,83,86
74,RED,70,13,83
75,BROWN,5,78,83
76,BLACK,65,19,84
77,WHITE,3,81,84
78,YELLOW,6,78,84
79,ORANGE,6,78,84
80,GRAY,4,84,88
81,PINK,85,0,85
82,VIOLET,19,63,82
83,LIGHT,77,7,84
84,DARK,82,1,83
85,BREAD,63,19,82
86,EGG,15,66,81
87,FISH,13,68,81
88,MEAT,59,20,79
89,CHICKEN,22,61,83
90,SPAGHETTI,80,0,80
91,RICE,38,44,82
92,LONGANISA,29,53,82
93,SHRIMP,34,46,80
94,CRAB,0,86,86
95,HOT,81,5,86
96,COLD,12,72,84
97,JUICE,55,31,86
98,MILK,6,79,85
99,COFFEE,33,53,86
100,TEA,62,24,86
101,BEER,56,28,84
102,WINE,30,54,84
103,SUGAR,63,23,86
104,NO SUGAR,57,28,85
