Category ID,Category Label,Occlusion,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
0,GREETING,nonoccluded,216,123,124,93,0.497976,0.569444,0.531317
1,SURVIVAL,nonoccluded,266,114,47,152,0.708075,0.428571,0.533958
2,NUMBER,nonoccluded,280,56,83,224,0.402878,0.200000,0.267303
3,CALENDAR,nonoccluded,9,1,47,8,0.020833,0.111111,0.035088
4,DAYS,nonoccluded,236,72,64,164,0.529412,0.305085,0.387097
5,FAMILY,nonoccluded,157,92,103,65,0.471795,0.585987,0.522727
6,RELATIONSHIPS,nonoccluded,170,44,47,126,0.483516,0.258824,0.337165
7,COLOR,nonoccluded,291,103,85,188,0.547872,0.353952,0.430063
8,FOOD,nonoccluded,195,125,193,70,0.393082,0.641026,0.487329
9,DRINK,nonoccluded,163,39,21,124,0.650000,0.239264,0.349776
0,GREETING,occluded,150,98,103,52,0.487562,0.653333,0.558405
1,SURVIVAL,occluded,111,51,31,60,0.621951,0.459459,0.528497
2,NUMBER,occluded,58,13,26,45,0.333333,0.224138,0.268041
3,CALENDAR,occluded,434,141,137,293,0.507194,0.324885,0.396067
4,DAYS,occluded,129,50,53,79,0.485437,0.387597,0.431034
5,FAMILY,occluded,220,91,77,129,0.541667,0.413636,0.469072
6,RELATIONSHIPS,occluded,197,78,52,119,0.600000,0.395939,0.477064
7,COLOR,occluded,188,73,73,115,0.500000,0.388298,0.437126
8,FOOD,occluded,147,90,152,57,0.371901,0.612245,0.462725
9,DRINK,occluded,202,74,37,128,0.666667,0.366337,0.472843
