Category ID,Category Label,Occlusion,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
0,GREETING,nonoccluded,216,195,39,21,0.833333,0.902778,0.866667
1,SURVIVAL,nonoccluded,266,235,62,31,0.791246,0.883459,0.834813
2,NUMBER,nonoccluded,280,260,58,20,0.817610,0.928571,0.869565
3,CALENDAR,nonoccluded,9,8,30,1,0.210526,0.888889,0.340426
4,DAYS,nonoccluded,236,206,36,30,0.851240,0.872881,0.861925
5,FAMILY,nonoccluded,157,137,46,20,0.748634,0.872611,0.805882
6,RELATIONSHIPS,nonoccluded,170,151,42,19,0.782383,0.888235,0.831956
7,COLOR,nonoccluded,291,265,54,26,0.830721,0.910653,0.868852
8,FOOD,nonoccluded,195,176,37,19,0.826291,0.902564,0.862745
9,DRINK,nonoccluded,163,141,61,22,0.698020,0.865031,0.772603
0,GREETING,occluded,150,134,25,16,0.842767,0.893333,0.867314
1,SURVIVAL,occluded,111,99,53,12,0.651316,0.891892,0.752852
2,NUMBER,occluded,58,53,35,5,0.602273,0.913793,0.726027
3,CALENDAR,occluded,434,384,89,50,0.811839,0.884793,0.846748
4,DAYS,occluded,129,115,37,14,0.756579,0.891473,0.818505
5,FAMILY,occluded,220,195,51,25,0.792683,0.886364,0.836910
6,RELATIONSHIPS,occluded,197,178,57,19,0.757447,0.903553,0.824074
7,COLOR,occluded,188,169,67,19,0.716102,0.898936,0.797170
8,FOOD,occluded,147,126,26,21,0.828947,0.857143,0.842809
9,DRINK,occluded,202,188,47,14,0.800000,0.930693,0.860412
