Category ID,Category Label,Occlusion,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
0,GREETING,nonoccluded,543,300,639,243,0.319489,0.552486,0.404858
1,SURVIVAL,nonoccluded,698,325,253,373,0.562284,0.465616,0.509404
2,NUMBER,nonoccluded,761,194,426,567,0.312903,0.254928,0.280956
3,CALENDAR,nonoccluded,11,0,689,11,0.000000,0.000000,0.000000
4,DAYS,nonoccluded,595,173,366,422,0.320965,0.290756,0.305115
5,FAMILY,nonoccluded,412,221,507,191,0.303571,0.536408,0.387719
6,RELATIONSHIPS,nonoccluded,417,107,333,310,0.243182,0.256595,0.249708
7,COLOR,nonoccluded,608,187,278,421,0.402151,0.307566,0.348555
8,FOOD,nonoccluded,510,307,680,203,0.311044,0.601961,0.410154
9,DRINK,nonoccluded,453,112,127,341,0.468619,0.247241,0.323699
0,GREETING,occluded,435,275,594,160,0.316456,0.632184,0.421779
1,SURVIVAL,occluded,295,132,236,163,0.358696,0.447458,0.398190
2,NUMBER,occluded,172,39,414,133,0.086093,0.226744,0.124800
3,CALENDAR,occluded,994,348,732,646,0.322222,0.350101,0.335583
4,DAYS,occluded,342,126,351,216,0.264151,0.368421,0.307692
5,FAMILY,occluded,558,239,450,319,0.346880,0.428315,0.383320
6,RELATIONSHIPS,occluded,526,210,337,316,0.383912,0.399240,0.391426
7,COLOR,occluded,374,141,299,233,0.320455,0.377005,0.346437
8,FOOD,occluded,399,262,646,137,0.288546,0.656642,0.400918
9,DRINK,occluded,519,148,133,371,0.526690,0.285164,0.370000
