gloss_id,gloss_label,iv3gru_tp,iv3gru_fp,iv3gru_fn,transformer_tp,transformer_fp,transformer_fn
0,GOOD MORNING,61,27,34,79,29,16
1,GOOD AFTERNOON,23,55,76,90,31,9
2,GOOD EVENING,39,50,57,86,34,10
3,HELLO,62,47,41,89,29,14
4,HOW ARE YOU,70,17,29,85,25,14
5,IM FINE,70,17,26,80,18,16
6,NICE TO MEET YOU,77,23,18,84,31,11
7,THANK YOU,69,17,28,89,26,8
8,YOURE WELCOME,53,22,49,89,18,13
9,SEE YOU TOMORROW,71,52,25,87,35,9
10,UNDERSTAND,53,21,46,88,24,11
11,DON’T UNDERSTAND,42,24,56,86,33,12
12,KNOW,40,19,56,84,50,12
13,DON’T KNOW,71,33,28,94,19,5
14,NO,74,52,23,82,109,15
15,YES,58,33,40,87,43,11
16,WRONG,84,34,18,89,27,13
17,CORRECT,81,18,28,94,32,15
18,SLOW,80,11,16,81,29,15
19,FAST,56,25,43,87,46,12
20,ONE,35,30,57,77,57,15
21,TWO,52,57,37,80,27,9
22,THREE,42,28,54,78,41,18
23,FOUR,18,62,75,86,13,7
24,FIVE,30,33,63,89,11,4
25,SIX,27,41,69,84,38,12
26,SEVEN,8,50,88,87,20,9
27,EIGHT,1,30,89,85,95,5
28,NINE,28,56,66,81,21,13
29,TEN,37,43,57,84,75,10
30,JANUARY,18,44,59,69,108,8
31,FEBRUARY,44,47,41,73,30,12
32,MARCH,47,50,39,71,48,15
33,APRIL,36,34,57,77,49,16
34,MAY,15,42,75,83,27,7
35,JUNE,0,34,80,75,21,5
36,JULY,2,56,83,79,35,6
37,AUGUST,28,67,42,61,31,9
38,SEPTEMBER,55,84,32,72,29,15
39,OCTOBER,27,68,59,71,36,15
40,NOVEMBER,40,39,43,73,20,10
41,DECEMBER,56,47,27,73,26,10
42,MONDAY,25,28,67,84,40,8
43,TUESDAY,42,45,52,84,25,10
44,WEDNESDAY,77,97,17,87,12,7
45,THURSDAY,83,43,15,96,10,2
46,FRIDAY,35,20,58,85,8,8
47,SATURDAY,73,20,20,80,15,13
48,SUNDAY,73,27,20,80,27,13
49,TODAY,64,27,27,80,21,11
50,TOMORROW,56,49,40,78,52,18
51,YESTERDAY,9,26,84,82,27,11
52,FATHER,43,20,51,78,28,16
53,MOTHER,17,25,79,73,94,23
54,SON,31,16,65,84,24,12
55,DAUGHTER,75,17,31,96,50,10
56,GRANDFATHER,73,14,26,85,22,14
57,GRANDMOTHER,76,62,20,87,32,9
58,UNCLE,71,27,26,82,18,15
59,AUNTIE,52,29,45,87,67,10
60,COUSIN,70,43,25,79,32,16
61,PARENTS,71,13,23,78,37,16
62,BOY,38,10,54,78,21,14
63,GIRL,60,79,42,92,37,10
64,MAN,28,24,62,79,22,11
65,WOMAN,71,27,25,84,28,12
66,DEAF,71,73,24,79,99,16
67,HARD OF HEARING,64,18,28,79,55,13
68,WEELCHAIR PERSON,28,8,71,89,30,10
69,BLIND,60,21,32,84,46,8
70,DEAF BLIND,63,57,29,78,40,14
71,MARRIED,80,33,13,86,37,7
72,BLUE,56,19,16,65,16,7
73,GREEN,61,35,14,64,23,11
74,RED,27,14,47,62,72,12
75,BROWN,59,15,17,65,19,11
76,BLACK,58,13,17,66,17,9
77,WHITE,24,22,59,74,71,9
78,YELLOW,35,21,43,70,22,8
79,ORANGE,44,14,33,69,47,8
80,GRAY,65,11,11,67,15,9
81,PINK,48,32,28,68,49,8
82,VIOLET,62,13,11,64,10,9
83,LIGHT,63,20,10,64,30,9
84,DARK,67,14,7,64,18,10
85,BREAD,78,28,13,88,39,3
86,EGG,64,18,25,79,22,10
87,FISH,73,16,19,81,26,11
88,MEAT,72,19,20,82,18,10
89,CHICKEN,68,20,24,79,16,13
90,SPAGHETTI,67,26,25,85,39,7
91,RICE,67,33,21,83,20,5
92,LONGANISA,57,46,32,77,21,12
93,SHRIMP,64,27,25,79,28,10
94,CRAB,79,22,16,87,13,8
95,HOT,60,24,35,85,68,10
96,COLD,82,10,18,92,16,8
97,JUICE,73,28,25,83,43,15
98,MILK,64,47,35,91,80,8
99,COFFEE,72,18,24,85,27,11
100,TEA,84,27,15,87,19,12
101,BEER,77,15,19,86,23,10
102,WINE,54,28,41,84,26,11
103,SUGAR,32,32,66,90,49,8
104,NO SUGAR,59,17,37,81,41,15
