Category,Transformer_TP,Transformer_FP,Transformer_FN,Transformer_Precision,Transformer_Recall,Transformer_F1,IV3-GRU_TP,IV3-GRU_FP,IV3-GRU_FN,IV3-GRU_Precision,IV3-GRU_Recall,IV3-GRU_F1
0,329,64,37,0.837150,0.898907,0.866930,221,227,145,0.493304,0.603825,0.542998
1,334,115,43,0.743875,0.885942,0.808717,165,78,212,0.679012,0.437666,0.532258
2,313,93,25,0.770936,0.926036,0.841398,69,109,269,0.387640,0.204142,0.267442
3,392,119,51,0.767123,0.884876,0.821803,142,184,301,0.435583,0.320542,0.369311
4,321,73,44,0.814721,0.879452,0.845850,122,117,243,0.510460,0.334247,0.403974
5,332,97,45,0.773893,0.880637,0.823821,183,180,194,0.504132,0.485411,0.494595
6,329,99,38,0.768692,0.896458,0.827673,122,99,245,0.552036,0.332425,0.414966
7,434,121,45,0.781982,0.906054,0.839458,176,158,303,0.526946,0.367432,0.432964
8,302,63,40,0.827397,0.883041,0.854314,215,345,127,0.383929,0.628655,0.476718
9,329,108,36,0.752860,0.901370,0.820449,113,58,252,0.660819,0.309589,0.421642
