Gloss,Transformer_TP,Transformer_FP,Transformer_FN,Transformer_Precision,Transformer_Recall,Transformer_F1,IV3-GRU_TP,IV3-GRU_FP,IV3-GRU_FN,IV3-GRU_Precision,IV3-GRU_Recall,IV3-GRU_F1
0,79,29,16,0.731481,0.831579,0.778325,61,27,34,0.693182,0.642105,0.666667
1,90,31,9,0.743802,0.909091,0.818182,23,55,76,0.294872,0.232323,0.259887
2,86,34,10,0.716667,0.895833,0.796296,39,50,57,0.438202,0.406250,0.421622
3,89,29,14,0.754237,0.864078,0.805430,62,47,41,0.568807,0.601942,0.584906
4,85,25,14,0.772727,0.858586,0.813397,70,17,29,0.804598,0.707071,0.752688
5,80,18,16,0.816327,0.833333,0.824742,70,17,26,0.804598,0.729167,0.765027
6,84,31,11,0.730435,0.884211,0.800000,77,23,18,0.770000,0.810526,0.789744
7,89,26,8,0.773913,0.917526,0.839623,69,17,28,0.802326,0.711340,0.754098
8,89,18,13,0.831776,0.872549,0.851675,53,22,49,0.706667,0.519608,0.598870
9,87,35,9,0.713115,0.906250,0.798165,71,52,25,0.577236,0.739583,0.648402
10,88,24,11,0.785714,0.888889,0.834123,53,21,46,0.716216,0.535354,0.612717
11,86,33,12,0.722689,0.877551,0.792627,42,24,56,0.636364,0.428571,0.512195
12,84,50,12,0.626866,0.875000,0.730435,40,19,56,0.677966,0.416667,0.516129
13,94,19,5,0.831858,0.949495,0.886792,71,33,28,0.682692,0.717172,0.699507
14,82,109,15,0.429319,0.845361,0.569444,74,52,23,0.587302,0.762887,0.663677
15,87,43,11,0.669231,0.887755,0.763158,58,33,40,0.637363,0.591837,0.613757
16,89,27,13,0.767241,0.872549,0.816514,84,34,18,0.711864,0.823529,0.763636
17,94,32,15,0.746032,0.862385,0.800000,81,18,28,0.818182,0.743119,0.778846
18,81,29,15,0.736364,0.843750,0.786408,80,11,16,0.879121,0.833333,0.855615
19,87,46,12,0.654135,0.878788,0.750000,56,25,43,0.691358,0.565657,0.622222
20,77,57,15,0.574627,0.836957,0.681416,35,30,57,0.538462,0.380435,0.445860
21,80,27,9,0.747664,0.898876,0.816327,52,57,37,0.477064,0.584270,0.525253
22,78,41,18,0.655462,0.812500,0.725581,42,28,54,0.600000,0.437500,0.506024
23,86,13,7,0.868687,0.924731,0.895833,18,62,75,0.225000,0.193548,0.208092
24,89,11,4,0.890000,0.956989,0.922280,30,33,63,0.476190,0.322581,0.384615
25,84,38,12,0.688525,0.875000,0.770642,27,41,69,0.397059,0.281250,0.329268
26,87,20,9,0.813084,0.906250,0.857143,8,50,88,0.137931,0.083333,0.103896
27,85,95,5,0.472222,0.944444,0.629630,1,30,89,0.032258,0.011111,0.016529
28,81,21,13,0.794118,0.861702,0.826531,28,56,66,0.333333,0.297872,0.314607
29,84,75,10,0.528302,0.893617,0.664032,37,43,57,0.462500,0.393617,0.425287
30,69,108,8,0.389831,0.896104,0.543307,18,44,59,0.290323,0.233766,0.258993
31,73,30,12,0.708738,0.858824,0.776596,44,47,41,0.483516,0.517647,0.500000
32,71,48,15,0.596639,0.825581,0.692683,47,50,39,0.484536,0.546512,0.513661
33,77,49,16,0.611111,0.827957,0.703196,36,34,57,0.514286,0.387097,0.441718
34,83,27,7,0.754545,0.922222,0.830000,15,42,75,0.263158,0.166667,0.204082
35,75,21,5,0.781250,0.937500,0.852273,0,34,80,0.000000,0.000000,0.000000
36,79,35,6,0.692982,0.929412,0.793970,2,56,83,0.034483,0.023529,0.027972
37,61,31,9,0.663043,0.871429,0.753086,28,67,42,0.294737,0.400000,0.339394
38,72,29,15,0.712871,0.827586,0.765957,55,84,32,0.395683,0.632184,0.486726
39,71,36,15,0.663551,0.825581,0.735751,27,68,59,0.284211,0.313953,0.298343
40,73,20,10,0.784946,0.879518,0.829545,40,39,43,0.506329,0.481928,0.493827
41,73,26,10,0.737374,0.879518,0.802198,56,47,27,0.543689,0.674699,0.602151
42,84,40,8,0.677419,0.913043,0.777778,25,28,67,0.471698,0.271739,0.344828
43,84,25,10,0.770642,0.893617,0.827586,42,45,52,0.482759,0.446809,0.464088
44,87,12,7,0.878788,0.925532,0.901554,77,97,17,0.442529,0.819149,0.574627
45,96,10,2,0.905660,0.979592,0.941176,83,43,15,0.658730,0.846939,0.741071
46,85,8,8,0.913978,0.913978,0.913978,35,20,58,0.636364,0.376344,0.472973
47,80,15,13,0.842105,0.860215,0.851064,73,20,20,0.784946,0.784946,0.784946
48,80,27,13,0.747664,0.860215,0.800000,73,27,20,0.730000,0.784946,0.756477
49,80,21,11,0.792079,0.879121,0.833333,64,27,27,0.703297,0.703297,0.703297
50,78,52,18,0.600000,0.812500,0.690265,56,49,40,0.533333,0.583333,0.557214
51,82,27,11,0.752294,0.881720,0.811881,9,26,84,0.257143,0.096774,0.140625
52,78,28,16,0.735849,0.829787,0.780000,43,20,51,0.682540,0.457447,0.547771
53,73,94,23,0.437126,0.760417,0.555133,17,25,79,0.404762,0.177083,0.246377
54,84,24,12,0.777778,0.875000,0.823529,31,16,65,0.659574,0.322917,0.433566
55,96,50,10,0.657534,0.905660,0.761905,75,17,31,0.815217,0.707547,0.757576
56,85,22,14,0.794393,0.858586,0.825243,73,14,26,0.839080,0.737374,0.784946
57,87,32,9,0.731092,0.906250,0.809302,76,62,20,0.550725,0.791667,0.649573
58,82,18,15,0.820000,0.845361,0.832487,71,27,26,0.724490,0.731959,0.728205
59,87,67,10,0.564935,0.896907,0.693227,52,29,45,0.641975,0.536082,0.584270
60,79,32,16,0.711712,0.831579,0.766990,70,43,25,0.619469,0.736842,0.673077
61,78,37,16,0.678261,0.829787,0.746411,71,13,23,0.845238,0.755319,0.797753
62,78,21,14,0.787879,0.847826,0.816754,38,10,54,0.791667,0.413043,0.542857
63,92,37,10,0.713178,0.901961,0.796537,60,79,42,0.431655,0.588235,0.497925
64,79,22,11,0.782178,0.877778,0.827225,28,24,62,0.538462,0.311111,0.394366
65,84,28,12,0.750000,0.875000,0.807692,71,27,25,0.724490,0.739583,0.731959
66,79,99,16,0.443820,0.831579,0.578755,71,73,24,0.493056,0.747368,0.594142
67,79,55,13,0.589552,0.858696,0.699115,64,18,28,0.780488,0.695652,0.735632
68,89,30,10,0.747899,0.898990,0.816514,28,8,71,0.777778,0.282828,0.414815
69,84,46,8,0.646154,0.913043,0.756757,60,21,32,0.740741,0.652174,0.693642
70,78,40,14,0.661017,0.847826,0.742857,63,57,29,0.525000,0.684783,0.594340
71,86,37,7,0.699187,0.924731,0.796296,80,33,13,0.707965,0.860215,0.776699
72,65,16,7,0.802469,0.902778,0.849673,56,19,16,0.746667,0.777778,0.761905
73,64,23,11,0.735632,0.853333,0.790123,61,35,14,0.635417,0.813333,0.713450
74,62,72,12,0.462687,0.837838,0.596154,27,14,47,0.658537,0.364865,0.469565
75,65,19,11,0.773810,0.855263,0.812500,59,15,17,0.797297,0.776316,0.786667
76,66,17,9,0.795181,0.880000,0.835443,58,13,17,0.816901,0.773333,0.794521
77,74,71,9,0.510345,0.891566,0.649123,24,22,59,0.521739,0.289157,0.372093
78,70,22,8,0.760870,0.897436,0.823529,35,21,43,0.625000,0.448718,0.522388
79,69,47,8,0.594828,0.896104,0.715026,44,14,33,0.758621,0.571429,0.651852
80,67,15,9,0.817073,0.881579,0.848101,65,11,11,0.855263,0.855263,0.855263
81,68,49,8,0.581197,0.894737,0.704663,48,32,28,0.600000,0.631579,0.615385
82,64,10,9,0.864865,0.876712,0.870748,62,13,11,0.826667,0.849315,0.837838
83,64,30,9,0.680851,0.876712,0.766467,63,20,10,0.759036,0.863014,0.807692
84,64,18,10,0.780488,0.864865,0.820513,67,14,7,0.827160,0.905405,0.864516
85,88,39,3,0.692913,0.967033,0.807339,78,28,13,0.735849,0.857143,0.791878
86,79,22,10,0.782178,0.887640,0.831579,64,18,25,0.780488,0.719101,0.748538
87,81,26,11,0.757009,0.880435,0.814070,73,16,19,0.820225,0.793478,0.806630
88,82,18,10,0.820000,0.891304,0.854167,72,19,20,0.791209,0.782609,0.786885
89,79,16,13,0.831579,0.858696,0.844920,68,20,24,0.772727,0.739130,0.755556
90,85,39,7,0.685484,0.923913,0.787037,67,26,25,0.720430,0.728261,0.724324
91,83,20,5,0.805825,0.943182,0.869110,67,33,21,0.670000,0.761364,0.712766
92,77,21,12,0.785714,0.865169,0.823529,57,46,32,0.553398,0.640449,0.593750
93,79,28,10,0.738318,0.887640,0.806122,64,27,25,0.703297,0.719101,0.711111
94,87,13,8,0.870000,0.915789,0.892308,79,22,16,0.782178,0.831579,0.806122
95,85,68,10,0.555556,0.894737,0.685484,60,24,35,0.714286,0.631579,0.670391
96,92,16,8,0.851852,0.920000,0.884615,82,10,18,0.891304,0.820000,0.854167
97,83,43,15,0.658730,0.846939,0.741071,73,28,25,0.722772,0.744898,0.733668
98,91,80,8,0.532164,0.919192,0.674074,64,47,35,0.576577,0.646465,0.609524
99,85,27,11,0.758929,0.885417,0.817308,72,18,24,0.800000,0.750000,0.774194
100,87,19,12,0.820755,0.878788,0.848780,84,27,15,0.756757,0.848485,0.800000
101,86,23,10,0.788991,0.895833,0.839024,77,15,19,0.836957,0.802083,0.819149
102,84,26,11,0.763636,0.884211,0.819512,54,28,41,0.658537,0.568421,0.610169
103,90,49,8,0.647482,0.918367,0.759494,32,32,66,0.500000,0.326531,0.395062
104,81,41,15,0.663934,0.843750,0.743119,59,17,37,0.776316,0.614583,0.686047
