File Name,Frame Range,Ground Truth Gloss/Category,Predicted Gloss/Category,Match Status
continuous_0001_S0_strategy2.npz,0-183,-,SURVIVAL,FP
continuous_0001_S0_strategy2.npz,183-366,GREETING,GREETING,TP
continuous_0001_S0_strategy2.npz,366-732,FAMILY,FAMILY,TP
continuous_0001_S0_strategy2.npz,0-120,DAYS,-,FN
continuous_0001_S0_strategy2.npz,120-241,SURVIVAL,-,FN
continuous_0001_S0_strategy2.npz,483-604,DRINK,-,FN
continuous_0001_S0_strategy2.npz,604-725,RELATIONSHIPS,-,FN
continuous_0002_S0_strategy2.npz,0-291,DRINK,DRINK,TP
continuous_0002_S0_strategy2.npz,291-585,FAMILY,FAMILY,TP
continuous_0002_S0_strategy2.npz,585-732,COLOR,CALENDAR,FP
continuous_0002_S0_strategy2.npz,120-241,NUMBER,-,FN
continuous_0002_S0_strategy2.npz,362-483,CALENDAR,-,FN
continuous_0002_S0_strategy2.npz,604-725,DAYS,-,FN
continuous_0002_S0_strategy2.npz,483-604,COLOR,CALENDAR,FN
continuous_0003_S0_strategy2.npz,0-121,-,CALENDAR,FP
continuous_0003_S0_strategy2.npz,121-487,FOOD,FOOD,TP
continuous_0003_S0_strategy2.npz,487-609,FAMILY,FAMILY,TP
continuous_0003_S0_strategy2.npz,609-732,DAYS,DAYS,TP
continuous_0003_S0_strategy2.npz,0-120,CALENDAR,-,FN
continuous_0003_S0_strategy2.npz,241-362,SURVIVAL,-,FN
continuous_0003_S0_strategy2.npz,362-483,COLOR,-,FN
continuous_0004_S0_strategy2.npz,0-208,SURVIVAL,SURVIVAL,TP
continuous_0004_S0_strategy2.npz,208-312,-,CALENDAR,FP
continuous_0004_S0_strategy2.npz,312-417,DAYS,DAYS,TP
continuous_0004_S0_strategy2.npz,417-522,COLOR,COLOR,TP
continuous_0004_S0_strategy2.npz,522-627,FAMILY,FAMILY,TP
continuous_0004_S0_strategy2.npz,627-732,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0004_S0_strategy2.npz,120-241,CALENDAR,-,FN
continuous_0005_S0_strategy2.npz,243-366,DAYS,CALENDAR,FP
continuous_0005_S0_strategy2.npz,366-487,-,DRINK,FP
continuous_0005_S0_strategy2.npz,487-853,FAMILY,DRINK,FP
continuous_0005_S0_strategy2.npz,0-120,NUMBER,-,FN
continuous_0005_S0_strategy2.npz,120-241,SURVIVAL,-,FN
continuous_0005_S0_strategy2.npz,362-483,DRINK,-,FN
continuous_0005_S0_strategy2.npz,604-725,CALENDAR,-,FN
continuous_0005_S0_strategy2.npz,725-846,FOOD,-,FN
continuous_0005_S0_strategy2.npz,241-362,DAYS,CALENDAR,FN
continuous_0005_S0_strategy2.npz,483-604,FAMILY,DRINK,FN
continuous_0006_S0_strategy2.npz,105-532,FOOD,FOOD,TP
continuous_0006_S0_strategy2.npz,532-747,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0006_S0_strategy2.npz,747-853,COLOR,COLOR,TP
continuous_0006_S0_strategy2.npz,0-120,FAMILY,-,FN
continuous_0006_S0_strategy2.npz,120-241,CALENDAR,-,FN
continuous_0006_S0_strategy2.npz,241-362,DRINK,-,FN
continuous_0006_S0_strategy2.npz,483-604,SURVIVAL,-,FN
continuous_0007_S0_strategy2.npz,103-208,-,FAMILY,FP
continuous_0007_S0_strategy2.npz,208-312,FAMILY,FAMILY,TP
continuous_0007_S0_strategy2.npz,312-522,-,FAMILY,FP
continuous_0007_S0_strategy2.npz,522-627,-,DRINK,FP
continuous_0007_S0_strategy2.npz,627-732,-,NUMBER,FP
continuous_0007_S0_strategy2.npz,0-120,RELATIONSHIPS,-,FN
continuous_0007_S0_strategy2.npz,241-362,DRINK,-,FN
continuous_0007_S0_strategy2.npz,362-483,COLOR,-,FN
continuous_0007_S0_strategy2.npz,483-604,NUMBER,-,FN
continuous_0007_S0_strategy2.npz,604-725,DAYS,-,FN
continuous_0008_S0_strategy2.npz,208-312,-,DAYS,FP
continuous_0008_S0_strategy2.npz,312-417,-,SURVIVAL,FP
continuous_0008_S0_strategy2.npz,417-627,COLOR,FOOD,FP
