File Name,Frame Range,Ground Truth Gloss/Category,Predicted Gloss/Category,Match Status
continuous_0001_S0_strategy2.npz,0-103,DAYS,DAYS,TP
continuous_0001_S0_strategy2.npz,103-208,SURVIVAL,SURVIVAL,TP
continuous_0001_S0_strategy2.npz,208-312,GREETING,GREETING,TP
continuous_0001_S0_strategy2.npz,312-522,FAMILY,FAMILY,TP
continuous_0001_S0_strategy2.npz,522-627,DRINK,DRINK,TP
continuous_0001_S0_strategy2.npz,627-732,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0002_S0_strategy2.npz,0-145,DRINK,DRINK,TP
continuous_0002_S0_strategy2.npz,145-291,NUMBER,NUMBER,TP
continuous_0002_S0_strategy2.npz,291-438,FAMILY,FAMILY,TP
continuous_0002_S0_strategy2.npz,438-511,CALENDAR,CALENDAR,TP
continuous_0002_S0_strategy2.npz,511-585,COLOR,COLOR,TP
continuous_0002_S0_strategy2.npz,585-657,-,SURVIVAL,FP
continuous_0002_S0_strategy2.npz,657-732,DAYS,DAYS,TP
continuous_0003_S0_strategy2.npz,0-121,CALENDAR,CALENDAR,TP
continuous_0003_S0_strategy2.npz,121-243,FOOD,FOOD,TP
continuous_0003_S0_strategy2.npz,243-366,SURVIVAL,SURVIVAL,TP
continuous_0003_S0_strategy2.npz,366-487,COLOR,COLOR,TP
continuous_0003_S0_strategy2.npz,487-609,FAMILY,FAMILY,TP
continuous_0003_S0_strategy2.npz,609-732,DAYS,DAYS,TP
continuous_0004_S0_strategy2.npz,0-103,SURVIVAL,SURVIVAL,TP
continuous_0004_S0_strategy2.npz,103-208,-,CALENDAR,FP
continuous_0004_S0_strategy2.npz,208-312,CALENDAR,CALENDAR,TP
continuous_0004_S0_strategy2.npz,312-417,DAYS,DAYS,TP
continuous_0004_S0_strategy2.npz,417-522,COLOR,COLOR,TP
continuous_0004_S0_strategy2.npz,522-627,FAMILY,FAMILY,TP
continuous_0004_S0_strategy2.npz,627-732,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0005_S0_strategy2.npz,0-76,NUMBER,NUMBER,TP
continuous_0005_S0_strategy2.npz,76-231,SURVIVAL,SURVIVAL,TP
continuous_0005_S0_strategy2.npz,231-387,DAYS,DAYS,TP
continuous_0005_S0_strategy2.npz,387-465,DRINK,DRINK,TP
continuous_0005_S0_strategy2.npz,465-543,FAMILY,FAMILY,TP
continuous_0005_S0_strategy2.npz,543-621,-,CALENDAR,FP
continuous_0005_S0_strategy2.npz,621-775,-,CALENDAR,FP
continuous_0005_S0_strategy2.npz,775-853,FOOD,FOOD,TP
continuous_0005_S0_strategy2.npz,604-725,CALENDAR,-,FN
continuous_0006_S0_strategy2.npz,0-141,FAMILY,FAMILY,TP
continuous_0006_S0_strategy2.npz,141-283,CALENDAR,CALENDAR,TP
continuous_0006_S0_strategy2.npz,283-426,DRINK,DRINK,TP
continuous_0006_S0_strategy2.npz,426-498,FOOD,FOOD,TP
continuous_0006_S0_strategy2.npz,498-568,SURVIVAL,SURVIVAL,TP
continuous_0006_S0_strategy2.npz,568-639,-,DRINK,FP
continuous_0006_S0_strategy2.npz,639-781,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0006_S0_strategy2.npz,781-853,COLOR,COLOR,TP
continuous_0007_S0_strategy2.npz,0-121,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0007_S0_strategy2.npz,121-243,FAMILY,FAMILY,TP
