File Name,Frame Range,Ground Truth Gloss/Category,Predicted Gloss/Category,Match Status
continuous_0001_S0_strategy2.npz,0-183,-,NO,FP
continuous_0001_S0_strategy2.npz,183-366,THANK YOU,THANK YOU,TP
continuous_0001_S0_strategy2.npz,366-732,PARENTS,PARENTS,TP
continuous_0001_S0_strategy2.npz,0-120,MONDAY,-,FN
continuous_0001_S0_strategy2.npz,120-241,NO,-,FN
continuous_0001_S0_strategy2.npz,483-604,BEER,-,FN
continuous_0001_S0_strategy2.npz,604-725,BOY,-,FN
continuous_0002_S0_strategy2.npz,0-291,COLD,COLD,TP
continuous_0002_S0_strategy2.npz,291-585,GRANDFATHER,GRANDFATHER,TP
continuous_0002_S0_strategy2.npz,585-732,LIGHT,LIGHT,TP
continuous_0002_S0_strategy2.npz,120-241,SEVEN,-,FN
continuous_0002_S0_strategy2.npz,362-483,JANUARY,-,FN
continuous_0002_S0_strategy2.npz,604-725,TOMORROW,-,FN
continuous_0003_S0_strategy2.npz,0-121,-,SEPTEMBER,FP
continuous_0003_S0_strategy2.npz,121-487,SHRIMP,SHRIMP,TP
continuous_0003_S0_strategy2.npz,487-609,COUSIN,COUSIN,TP
continuous_0003_S0_strategy2.npz,609-732,SUNDAY,SUNDAY,TP
continuous_0003_S0_strategy2.npz,0-120,APRIL,-,FN
continuous_0003_S0_strategy2.npz,241-362,CORRECT,-,FN
continuous_0003_S0_strategy2.npz,362-483,YELLOW,-,FN
continuous_0004_S0_strategy2.npz,0-208,SLOW,SLOW,TP
continuous_0004_S0_strategy2.npz,208-312,-,SEPTEMBER,FP
continuous_0004_S0_strategy2.npz,312-417,WEDNESDAY,WEDNESDAY,TP
continuous_0004_S0_strategy2.npz,417-522,ORANGE,ORANGE,TP
continuous_0004_S0_strategy2.npz,522-627,FATHER,FATHER,TP
continuous_0004_S0_strategy2.npz,627-732,BLIND,BLIND,TP
continuous_0004_S0_strategy2.npz,120-241,NOVEMBER,-,FN
continuous_0005_S0_strategy2.npz,243-366,SATURDAY,SATURDAY,TP
continuous_0005_S0_strategy2.npz,366-487,-,WINE,FP
continuous_0005_S0_strategy2.npz,487-853,DAUGHTER,DAUGHTER,TP
continuous_0005_S0_strategy2.npz,0-120,SEVEN,-,FN
continuous_0005_S0_strategy2.npz,120-241,KNOW,-,FN
continuous_0005_S0_strategy2.npz,362-483,WINE,-,FN
continuous_0005_S0_strategy2.npz,604-725,AUGUST,-,FN
