File Name,Frame Range,Ground Truth Gloss/Category,Predicted Gloss/Category,Match Status
continuous_0001_S0_strategy2.npz,0-103,MONDAY,MONDAY,TP
continuous_0001_S0_strategy2.npz,103-208,NO,NO,TP
continuous_0001_S0_strategy2.npz,208-312,THANK YOU,THANK YOU,TP
continuous_0001_S0_strategy2.npz,312-522,PARENTS,PARENTS,TP
continuous_0001_S0_strategy2.npz,522-627,BEER,BEER,TP
continuous_0001_S0_strategy2.npz,627-732,BOY,BOY,TP
continuous_0002_S0_strategy2.npz,0-145,COLD,COLD,TP
continuous_0002_S0_strategy2.npz,145-291,SEVEN,SEVEN,TP
continuous_0002_S0_strategy2.npz,291-438,GRANDFATHER,GRANDFATHER,TP
continuous_0002_S0_strategy2.npz,438-511,JANUARY,JANUARY,TP
continuous_0002_S0_strategy2.npz,511-585,LIGHT,LIGHT,TP
continuous_0002_S0_strategy2.npz,585-657,-,NO,FP
continuous_0002_S0_strategy2.npz,657-732,TOMORROW,TOMORROW,TP
continuous_0003_S0_strategy2.npz,0-121,APRIL,APRIL,TP
continuous_0003_S0_strategy2.npz,121-243,SHRIMP,SHRIMP,TP
continuous_0003_S0_strategy2.npz,243-366,CORRECT,CORRECT,TP
continuous_0003_S0_strategy2.npz,366-487,YELLOW,YELLOW,TP
continuous_0003_S0_strategy2.npz,487-609,COUSIN,COUSIN,TP
continuous_0003_S0_strategy2.npz,609-732,SUNDAY,SUNDAY,TP
continuous_0004_S0_strategy2.npz,0-103,SLOW,SLOW,TP
continuous_0004_S0_strategy2.npz,103-208,-,APRIL,FP
continuous_0004_S0_strategy2.npz,208-312,NOVEMBER,NOVEMBER,TP
continuous_0004_S0_strategy2.npz,312-417,WEDNESDAY,WEDNESDAY,TP
continuous_0004_S0_strategy2.npz,417-522,ORANGE,ORANGE,TP
continuous_0004_S0_strategy2.npz,522-627,FATHER,FATHER,TP
continuous_0004_S0_strategy2.npz,627-732,BLIND,BLIND,TP
