File Name,Ground Truth Sequence,Predicted Sequence,TP,FP,FN,Precision,Recall,F1-score
continuous_0001_S0_strategy2.npz,4 -> 1 -> 0 -> 5 -> 9 -> 6,1 -> 0 -> 5,2,1,4,0.666667,0.333333,0.444444
continuous_0002_S0_strategy2.npz,9 -> 2 -> 5 -> 3 -> 7 -> 4,9 -> 5 -> 3,2,1,4,0.666667,0.333333,0.444444
continuous_0003_S0_strategy2.npz,3 -> 8 -> 1 -> 7 -> 5 -> 4,3 -> 8 -> 5 -> 4,3,1,3,0.750000,0.500000,0.600000
continuous_0004_S0_strategy2.npz,1 -> 3 -> 4 -> 7 -> 5 -> 6,1 -> 3 -> 4 -> 7 -> 5 -> 6,5,1,1,0.833333,0.833333,0.833333
continuous_0005_S0_strategy2.npz,2 -> 1 -> 4 -> 9 -> 5 -> 3 -> 8,3 -> 9 -> 9,0,3,7,0.000000,0.000000,0.000000
continuous_0006_S0_strategy2.npz,5 -> 3 -> 9 -> 8 -> 1 -> 6 -> 7,8 -> 6 -> 7,3,0,4,1.000000,0.428571,0.600000
continuous_0007_S0_strategy2.npz,6 -> 5 -> 9 -> 7 -> 2 -> 4,5 -> 5 -> 5 -> 9 -> 2,1,4,5,0.200000,0.166667,0.181818
continuous_0008_S0_strategy2.npz,6 -> 3 -> 4 -> 1 -> 7 -> 0,4 -> 1 -> 8 -> 0,1,3,5,0.250000,0.166667,0.200000
continuous_0009_S0_strategy2.npz,8 -> 2 -> 7 -> 3 -> 5 -> 9 -> 6,8 -> 2 -> 7 -> 5 -> 8 -> 8 -> 9,1,6,6,0.142857,0.142857,0.142857
continuous_0010_S0_strategy2.npz,0 -> 6 -> 5 -> 2 -> 9 -> 7,0 -> 5 -> 0 -> 9 -> 8,2,3,4,0.400000,0.333333,0.363636
continuous_0011_S0_strategy2.npz,6 -> 0 -> 5 -> 7 -> 9 -> 2 -> 8,6 -> 6 -> 7 -> 2,1,3,6,0.250000,0.142857,0.181818
continuous_0012_S0_strategy2.npz,4 -> 3 -> 7 -> 0 -> 9 -> 5,4 -> 7 -> 9 -> 5,2,2,4,0.500000,0.333333,0.400000
continuous_0013_S0_strategy2.npz,9 -> 8 -> 3 -> 0 -> 1 -> 6,9 -> 8 -> 0 -> 1,4,0,2,1.000000,0.666667,0.800000
continuous_0014_S0_strategy2.npz,1 -> 2 -> 6 -> 0 -> 4 -> 3,1 -> 8 -> 0,1,2,5,0.333333,0.166667,0.222222
continuous_0015_S0_strategy2.npz,9 -> 6 -> 3 -> 4 -> 7 -> 5,8 -> 6 -> 3 -> 4 -> 7 -> 5,4,2,2,0.666667,0.666667,0.666667
continuous_0016_S0_strategy2.npz,2 -> 4 -> 3 -> 9 -> 0 -> 1 -> 7,2 -> 2 -> 4 -> 9 -> 0 -> 1,4,2,3,0.666667,0.571429,0.615385
continuous_0017_S0_strategy2.npz,2 -> 7 -> 4 -> 1 -> 3 -> 0,2 -> 7 -> 4 -> 4 -> 3,2,3,4,0.400000,0.333333,0.363636
continuous_0018_S0_strategy2.npz,2 -> 8 -> 7 -> 0 -> 1 -> 9 -> 3,8 -> 9,2,0,5,1.000000,0.285714,0.444444
continuous_0019_S0_strategy2.npz,1 -> 8 -> 0 -> 3 -> 2 -> 7,1 -> 8 -> 2 -> 7,3,1,3,0.750000,0.500000,0.600000
continuous_0020_S0_strategy2.npz,2 -> 0 -> 1 -> 8 -> 3 -> 2 -> 8,2 -> 0 -> 1 -> 0 -> 3 -> 8,4,2,3,0.666667,0.571429,0.615385
continuous_0021_S0_strategy2.npz,1 -> 0,1 -> 0,2,0,0,1.000000,1.000000,1.000000
continuous_0022_S0_strategy2.npz,0,,0,0,1,0.000000,0.000000,0.000000
continuous_0023_S1_strategy2.npz,4 -> 1 -> 2 -> 0 -> 5 -> 9,4 -> 5,1,1,5,0.500000,0.166667,0.250000
continuous_0024_S1_strategy2.npz,5 -> 0 -> 9 -> 7 -> 6 -> 1 -> 3,6 -> 6 -> 0 -> 0 -> 9 -> 8 -> 5,0,7,7,0.000000,0.000000,0.000000
continuous_0025_S1_strategy2.npz,0 -> 8 -> 6 -> 3 -> 2 -> 1,5 -> 8 -> 6 -> 2 -> 1,4,1,2,0.800000,0.666667,0.727273
continuous_0026_S1_strategy2.npz,5 -> 9 -> 3 -> 8 -> 6 -> 4 -> 2,5 -> 9 -> 3 -> 8 -> 8 -> 4,4,2,3,0.666667,0.571429,0.615385
continuous_0027_S1_strategy2.npz,9 -> 7 -> 8 -> 3 -> 2 -> 1,1 -> 8 -> 8 -> 3 -> 2 -> 1,2,4,4,0.333333,0.333333,0.333333
continuous_0028_S1_strategy2.npz,1 -> 7 -> 8 -> 6 -> 5 -> 0 -> 9,1 -> 7 -> 3 -> 7 -> 5 -> 0,2,4,5,0.333333,0.285714,0.307692
continuous_0029_S1_strategy2.npz,8 -> 6 -> 2 -> 7 -> 5 -> 3,8 -> 2 -> 8 -> 8,1,3,5,0.250000,0.166667,0.200000
continuous_0030_S1_strategy2.npz,7 -> 6 -> 3 -> 2 -> 4 -> 9 -> 0,2 -> 4 -> 9 -> 0,2,2,5,0.500000,0.285714,0.363636
continuous_0031_S1_strategy2.npz,1 -> 3 -> 8 -> 6 -> 2 -> 9 -> 7,1 -> 8 -> 2 -> 9 -> 3,3,2,4,0.600000,0.428571,0.500000
continuous_0032_S1_strategy2.npz,0 -> 5 -> 9 -> 3 -> 6 -> 2 -> 1,0 -> 6 -> 9 -> 3 -> 6,4,1,3,0.800000,0.571429,0.666667
continuous_0033_S1_strategy2.npz,6 -> 4 -> 2 -> 9 -> 0 -> 5,4 -> 4 -> 2 -> 7 -> 0 -> 5,1,5,5,0.166667,0.166667,0.166667
continuous_0034_S1_strategy2.npz,0 -> 4 -> 6 -> 2 -> 1 -> 8 -> 5,0 -> 4 -> 6 -> 1 -> 8 -> 5,6,0,1,1.000000,0.857143,0.923077
continuous_0035_S1_strategy2.npz,4 -> 1 -> 0 -> 6 -> 2 -> 7,5 -> 5 -> 0 -> 6 -> 2 -> 5,2,4,4,0.333333,0.333333,0.333333
continuous_0036_S1_strategy2.npz,5 -> 6 -> 1 -> 9 -> 3 -> 4,5 -> 6 -> 1 -> 9 -> 3,4,1,2,0.800000,0.666667,0.727273
