File Name,Ground Truth Sequence,Predicted Sequence,TP,FP,FN,Precision,Recall,F1-score
continuous_0001_S0_strategy2.npz,42 -> 14 -> 7 -> 61 -> 101 -> 62,14 -> 7 -> 61 -> 95,2,2,4,0.500000,0.333333,0.400000
continuous_0002_S0_strategy2.npz,96 -> 26 -> 56 -> 30 -> 83 -> 50,96 -> 25 -> 56 -> 83,3,1,3,0.750000,0.500000,0.600000
continuous_0003_S0_strategy2.npz,33 -> 93 -> 17 -> 78 -> 60 -> 48,38 -> 93 -> 60 -> 48,3,1,3,0.750000,0.500000,0.600000
continuous_0004_S0_strategy2.npz,18 -> 40 -> 44 -> 79 -> 52 -> 69,18 -> 38 -> 44 -> 79 -> 52 -> 69,5,1,1,0.833333,0.833333,0.833333
continuous_0005_S0_strategy2.npz,26 -> 12 -> 47 -> 102 -> 55 -> 37 -> 89,47 -> 102 -> 55,2,1,5,0.666667,0.285714,0.400000
continuous_0006_S0_strategy2.npz,54 -> 36 -> 101 -> 87 -> 19 -> 65 -> 82,87 -> 65 -> 82,3,0,4,1.000000,0.428571,0.600000
continuous_0007_S0_strategy2.npz,64 -> 59 -> 99 -> 73 -> 24 -> 51,65 -> 64 -> 59 -> 60 -> 73 -> 24,1,5,5,0.166667,0.166667,0.166667
continuous_0008_S0_strategy2.npz,68 -> 37 -> 45 -> 11 -> 80 -> 6,45 -> 11 -> 80 -> 6,2,2,4,0.500000,0.333333,0.400000
continuous_0009_S0_strategy2.npz,91 -> 22 -> 74 -> 34 -> 61 -> 97 -> 63,91 -> 22 -> 81 -> 61 -> 100 -> 97 -> 63,2,5,5,0.285714,0.285714,0.285714
continuous_0010_S0_strategy2.npz,7 -> 62 -> 58 -> 29 -> 95 -> 75,7 -> 59 -> 29 -> 95 -> 75,4,1,2,0.800000,0.666667,0.727273
continuous_0011_S0_strategy2.npz,70 -> 4 -> 53 -> 76 -> 104 -> 21 -> 88,66 -> 70 -> 61 -> 76 -> 104 -> 44,1,5,6,0.166667,0.142857,0.153846
continuous_0012_S0_strategy2.npz,43 -> 41 -> 82 -> 3 -> 103 -> 60,43 -> 82 -> 103 -> 60,2,2,4,0.500000,0.333333,0.400000
