File Name,Ground Truth Sequence,Predicted Sequence,TP,FP,FN,Precision,Recall,F1-score
continuous_0001_S0_strategy2.npz,42 -> 14 -> 7 -> 61 -> 101 -> 62,42 -> 14 -> 7 -> 61 -> 101 -> 62,6,0,0,1.000000,1.000000,1.000000
continuous_0002_S0_strategy2.npz,96 -> 26 -> 56 -> 30 -> 83 -> 50,96 -> 26 -> 56 -> 30 -> 83 -> 14 -> 50,6,1,0,0.857143,1.000000,0.923077
continuous_0003_S0_strategy2.npz,33 -> 93 -> 17 -> 78 -> 60 -> 48,33 -> 93 -> 17 -> 78 -> 60 -> 48,6,0,0,1.000000,1.000000,1.000000
continuous_0004_S0_strategy2.npz,18 -> 40 -> 44 -> 79 -> 52 -> 69,18 -> 33 -> 40 -> 44 -> 79 -> 52 -> 69,6,1,0,0.857143,1.000000,0.923077
continuous_0005_S0_strategy2.npz,26 -> 12 -> 47 -> 102 -> 55 -> 37 -> 89,26 -> 12 -> 47 -> 102 -> 55 -> 37 -> 31 -> 89,6,2,1,0.750000,0.857143,0.800000
continuous_0006_S0_strategy2.npz,54 -> 36 -> 101 -> 87 -> 19 -> 65 -> 82,54 -> 36 -> 101 -> 87 -> 19 -> 98 -> 65 -> 82,7,1,0,0.875000,1.000000,0.933333
continuous_0007_S0_strategy2.npz,64 -> 59 -> 99 -> 73 -> 24 -> 51,64 -> 59 -> 99 -> 73 -> 24 -> 51,6,0,0,1.000000,1.000000,1.000000
continuous_0008_S0_strategy2.npz,68 -> 37 -> 45 -> 11 -> 80 -> 6,68 -> 37 -> 45 -> 11 -> 80 -> 6,6,0,0,1.000000,1.000000,1.000000
continuous_0009_S0_strategy2.npz,91 -> 22 -> 74 -> 34 -> 61 -> 97 -> 63,91 -> 22 -> 74 -> 34 -> 61 -> 97 -> 63,7,0,0,1.000000,1.000000,1.000000
continuous_0010_S0_strategy2.npz,7 -> 62 -> 58 -> 29 -> 95 -> 75,7 -> 86 -> 62 -> 58 -> 29 -> 95 -> 75,6,1,0,0.857143,1.000000,0.923077
continuous_0011_S0_strategy2.npz,70 -> 4 -> 53 -> 76 -> 104 -> 21 -> 88,70 -> 9 -> 4 -> 53 -> 76 -> 104 -> 21 -> 71 -> 88,7,2,0,0.777778,1.000000,0.875000
continuous_0012_S0_strategy2.npz,43 -> 41 -> 82 -> 3 -> 103 -> 60,43 -> 41 -> 82 -> 3 -> 103 -> 60,6,0,0,1.000000,1.000000,1.000000
continuous_0013_S0_strategy2.npz,98 -> 90 -> 34 -> 0 -> 11 -> 67,98 -> 74 -> 90 -> 34 -> 29 -> 0 -> 22 -> 11 -> 67,6,3,0,0.666667,1.000000,0.800000
continuous_0014_S0_strategy2.npz,13 -> 27 -> 71 -> 5 -> 42 -> 32,13 -> 27 -> 71 -> 5 -> 57 -> 42 -> 32,4,3,2,0.571429,0.666667,0.615385
continuous_0015_S0_strategy2.npz,100 -> 66 -> 39 -> 49 -> 72 -> 57,100 -> 66 -> 19 -> 39 -> 49 -> 72 -> 57,6,1,0,0.857143,1.000000,0.923077
continuous_0016_S0_strategy2.npz,21 -> 48 -> 35 -> 96 -> 8 -> 16 -> 81,21 -> 48 -> 31 -> 35 -> 96 -> 8 -> 16 -> 81,6,2,1,0.750000,0.857143,0.800000
continuous_0017_S0_strategy2.npz,25 -> 84 -> 46 -> 10 -> 38 -> 2,25 -> 84 -> 46 -> 10 -> 38 -> 29 -> 2,6,1,0,0.857143,1.000000,0.923077
continuous_0018_S0_strategy2.npz,27 -> 85 -> 77 -> 1 -> 17 -> 95 -> 36,27 -> 85 -> 77 -> 1 -> 17 -> 95 -> 36,6,1,1,0.857143,0.857143,0.857143
continuous_0019_S0_strategy2.npz,15 -> 86 -> 2 -> 31 -> 23 -> 80,15 -> 86 -> 2 -> 31 -> 23 -> 80,6,0,0,1.000000,1.000000,1.000000
continuous_0020_S0_strategy2.npz,20 -> 9 -> 15 -> 94 -> 41 -> 28 -> 92,20 -> 102 -> 9 -> 15 -> 94 -> 41 -> 28 -> 92,7,1,0,0.875000,1.000000,0.933333
continuous_0021_S0_strategy2.npz,19 -> 3,19 -> 3,2,0,0,1.000000,1.000000,1.000000
continuous_0022_S0_strategy2.npz,6,6,1,0,0,1.000000,1.000000,1.000000
continuous_0023_S1_strategy2.npz,44 -> 11 -> 29 -> 4 -> 54 -> 102,44 -> 11 -> 29 -> 4 -> 54 -> 67 -> 102,5,2,1,0.714286,0.833333,0.769231
continuous_0024_S1_strategy2.npz,57 -> 1 -> 95 -> 84 -> 65 -> 15 -> 35,57 -> 1 -> 95 -> 84 -> 65 -> 15 -> 35,7,0,0,1.000000,1.000000,1.000000
continuous_0025_S1_strategy2.npz,3 -> 92 -> 67 -> 36 -> 25 -> 13,3 -> 92 -> 67 -> 32 -> 36 -> 41 -> 25 -> 13,6,2,0,0.750000,1.000000,0.857143
continuous_0026_S1_strategy2.npz,58 -> 101 -> 32 -> 86 -> 67 -> 47 -> 20,58 -> 101 -> 32 -> 86 -> 67 -> 47 -> 20,7,0,0,1.000000,1.000000,1.000000
continuous_0027_S1_strategy2.npz,96 -> 73 -> 90 -> 31 -> 23 -> 10,96 -> 73 -> 74 -> 90 -> 31 -> 34 -> 23 -> 10,5,3,1,0.625000,0.833333,0.714286
continuous_0028_S1_strategy2.npz,18 -> 84 -> 85 -> 69 -> 59 -> 6 -> 99,18 -> 84 -> 85 -> 69 -> 9 -> 59 -> 6 -> 99,5,3,2,0.625000,0.714286,0.666667
continuous_0029_S1_strategy2.npz,91 -> 64 -> 22 -> 75 -> 55 -> 39,91 -> 64 -> 22 -> 75 -> 55 -> 39,6,0,0,1.000000,1.000000,1.000000
continuous_0030_S1_strategy2.npz,74 -> 68 -> 34 -> 28 -> 42 -> 97 -> 0,74 -> 68 -> 28 -> 42 -> 97 -> 0,6,0,1,1.000000,0.857143,0.923077
continuous_0031_S1_strategy2.npz,14 -> 41 -> 93 -> 62 -> 24 -> 104 -> 83,14 -> 41 -> 93 -> 62 -> 24 -> 14 -> 104 -> 83,4,4,3,0.500000,0.571429,0.533333
continuous_0032_S1_strategy2.npz,4 -> 53 -> 100 -> 41 -> 63 -> 27 -> 11,4 -> 53 -> 100 -> 41 -> 63 -> 27 -> 11,7,0,0,1.000000,1.000000,1.000000
continuous_0033_S1_strategy2.npz,62 -> 43 -> 23 -> 103 -> 2 -> 58,62 -> 43 -> 23 -> 103 -> 1 -> 2 -> 58,6,1,0,0.857143,1.000000,0.923077
continuous_0034_S1_strategy2.npz,7 -> 48 -> 66 -> 25 -> 16 -> 93 -> 56,7 -> 13 -> 48 -> 66 -> 25 -> 16 -> 90 -> 93 -> 56,7,2,0,0.777778,1.000000,0.875000
continuous_0035_S1_strategy2.npz,50 -> 12 -> 5 -> 70 -> 21 -> 76,50 -> 12 -> 5 -> 70 -> 95 -> 21 -> 76,6,1,0,0.857143,1.000000,0.923077
continuous_0036_S1_strategy2.npz,57 -> 71 -> 17 -> 98 -> 30 -> 49,57 -> 71 -> 17 -> 98 -> 30 -> 49,6,0,0,1.000000,1.000000,1.000000
continuous_0037_S1_strategy2.npz,88 -> 19 -> 103 -> 78 -> 52 -> 38 -> 45,88 -> 59 -> 19 -> 103 -> 78 -> 52 -> 38 -> 45,7,1,0,0.875000,1.000000,0.933333
continuous_0038_S1_strategy2.npz,60 -> 19 -> 89 -> 6 -> 33 -> 51,60 -> 19 -> 89 -> 6 -> 34 -> 33 -> 95 -> 51,4,4,2,0.500000,0.666667,0.571429
