Gloss ID,Gloss Label,Occlusion,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
0,GOOD MORNING,nonoccluded,59,41,17,18,0.706897,0.694915,0.700855
1,GOOD AFTERNOON,nonoccluded,82,18,30,64,0.375000,0.219512,0.276923
2,GOOD EVENING,nonoccluded,74,34,38,40,0.472222,0.459459,0.465753
3,HELLO,nonoccluded,80,43,35,37,0.551282,0.537500,0.544304
4,HOW ARE YOU,nonoccluded,55,39,10,16,0.795918,0.709091,0.750000
5,IM FINE,nonoccluded,96,70,12,26,0.853659,0.729167,0.786517
6,NICE TO MEET YOU,nonoccluded,8,5,9,3,0.357143,0.625000,0.454545
7,THANK YOU,nonoccluded,74,53,6,21,0.898305,0.716216,0.796992
8,YOURE WELCOME,nonoccluded,15,8,9,7,0.470588,0.533333,0.500000
9,SEE YOU TOMORROW,nonoccluded,0,0,25,0,0.000000,0.000000,0.000000
10,UNDERSTAND,nonoccluded,99,53,15,46,0.779412,0.535354,0.634731
11,DON’T UNDERSTAND,nonoccluded,95,41,16,54,0.719298,0.431579,0.539474
12,KNOW,nonoccluded,94,40,14,54,0.740741,0.425532,0.540541
13,DON’T KNOW,nonoccluded,70,50,20,20,0.714286,0.714286,0.714286
14,NO,nonoccluded,97,74,37,23,0.666667,0.762887,0.711538
15,YES,nonoccluded,96,58,21,38,0.734177,0.604167,0.662857
16,WRONG,nonoccluded,0,0,14,0,0.000000,0.000000,0.000000
17,CORRECT,nonoccluded,16,12,10,4,0.545455,0.750000,0.631579
18,SLOW,nonoccluded,43,33,6,10,0.846154,0.767442,0.804878
19,FAST,nonoccluded,88,51,17,37,0.750000,0.579545,0.653846
20,ONE,nonoccluded,72,32,15,40,0.680851,0.444444,0.537815
21,TWO,nonoccluded,73,44,33,29,0.571429,0.602740,0.586667
22,THREE,nonoccluded,79,37,21,42,0.637931,0.468354,0.540146
23,FOUR,nonoccluded,70,13,40,57,0.245283,0.185714,0.211382
24,FIVE,nonoccluded,69,22,25,47,0.468085,0.318841,0.379310
25,SIX,nonoccluded,86,25,28,61,0.471698,0.290698,0.359712
26,SEVEN,nonoccluded,78,5,33,73,0.131579,0.064103,0.086207
27,EIGHT,nonoccluded,79,1,26,78,0.037037,0.012658,0.018868
28,NINE,nonoccluded,79,21,35,58,0.375000,0.265823,0.311111
29,TEN,nonoccluded,76,27,27,49,0.500000,0.355263,0.415385
30,JANUARY,nonoccluded,0,0,10,0,0.000000,0.000000,0.000000
31,FEBRUARY,nonoccluded,0,0,13,0,0.000000,0.000000,0.000000
32,MARCH,nonoccluded,0,0,9,0,0.000000,0.000000,0.000000
33,APRIL,nonoccluded,4,0,12,4,0.000000,0.000000,0.000000
34,MAY,nonoccluded,1,0,9,1,0.000000,0.000000,0.000000
35,JUNE,nonoccluded,0,0,5,0,0.000000,0.000000,0.000000
36,JULY,nonoccluded,0,0,13,0,0.000000,0.000000,0.000000
37,AUGUST,nonoccluded,1,0,17,1,0.000000,0.000000,0.000000
38,SEPTEMBER,nonoccluded,0,0,19,0,0.000000,0.000000,0.000000
39,OCTOBER,nonoccluded,1,0,16,1,0.000000,0.000000,0.000000
40,NOVEMBER,nonoccluded,2,0,15,2,0.000000,0.000000,0.000000
41,DECEMBER,nonoccluded,2,0,12,2,0.000000,0.000000,0.000000
42,MONDAY,nonoccluded,45,9,13,36,0.409091,0.200000,0.268657
43,TUESDAY,nonoccluded,53,26,19,27,0.577778,0.490566,0.530612
44,WEDNESDAY,nonoccluded,64,49,61,15,0.445455,0.765625,0.563218
45,THURSDAY,nonoccluded,57,45,26,12,0.633803,0.789474,0.703125
46,FRIDAY,nonoccluded,51,17,12,34,0.586207,0.333333,0.425000
47,SATURDAY,nonoccluded,48,37,12,11,0.755102,0.770833,0.762887
48,SUNDAY,nonoccluded,43,31,14,12,0.688889,0.720930,0.704545
49,TODAY,nonoccluded,90,63,18,27,0.777778,0.700000,0.736842
50,TOMORROW,nonoccluded,66,35,23,31,0.603448,0.530303,0.564516
51,YESTERDAY,nonoccluded,78,8,18,70,0.307692,0.102564,0.153846
52,FATHER,nonoccluded,46,20,11,26,0.645161,0.434783,0.519481
53,MOTHER,nonoccluded,14,0,10,14,0.000000,0.000000,0.000000
54,SON,nonoccluded,6,2,5,4,0.285714,0.333333,0.307692
55,DAUGHTER,nonoccluded,31,21,8,10,0.724138,0.677419,0.700000
56,GRANDFATHER,nonoccluded,11,9,7,2,0.562500,0.818182,0.666667
57,GRANDMOTHER,nonoccluded,14,12,20,2,0.375000,0.857143,0.521739
58,UNCLE,nonoccluded,96,71,21,25,0.771739,0.739583,0.755319
59,AUNTIE,nonoccluded,96,52,23,44,0.693333,0.541667,0.608187
60,COUSIN,nonoccluded,95,70,29,25,0.707071,0.736842,0.721649
61,PARENTS,nonoccluded,3,1,5,2,0.166667,0.333333,0.222222
62,BOY,nonoccluded,54,30,3,24,0.909091,0.555556,0.689655
63,GIRL,nonoccluded,65,43,43,22,0.500000,0.661538,0.569536
64,MAN,nonoccluded,51,13,12,38,0.520000,0.254902,0.342105
65,WOMAN,nonoccluded,47,31,18,16,0.632653,0.659574,0.645833
66,DEAF,nonoccluded,15,10,28,5,0.263158,0.666667,0.377358
67,HARD OF HEARING,nonoccluded,56,42,8,14,0.840000,0.750000,0.792453
68,WEELCHAIR PERSON,nonoccluded,99,28,6,71,0.823529,0.282828,0.421053
69,BLIND,nonoccluded,0,0,9,0,0.000000,0.000000,0.000000
70,DEAF BLIND,nonoccluded,1,0,19,1,0.000000,0.000000,0.000000
71,MARRIED,nonoccluded,29,27,16,2,0.627907,0.931034,0.750000
72,BLUE,nonoccluded,68,56,7,12,0.888889,0.823529,0.854962
73,GREEN,nonoccluded,72,60,25,12,0.705882,0.833333,0.764331
74,RED,nonoccluded,14,3,7,11,0.300000,0.214286,0.250000
75,BROWN,nonoccluded,71,54,12,17,0.818182,0.760563,0.788321
76,BLACK,nonoccluded,20,14,6,6,0.700000,0.700000,0.700000
77,WHITE,nonoccluded,81,23,13,58,0.638889,0.283951,0.393162
78,YELLOW,nonoccluded,76,33,12,43,0.733333,0.434211,0.545455
79,ORANGE,nonoccluded,73,41,11,32,0.788462,0.561644,0.656000
80,GRAY,nonoccluded,74,63,5,11,0.926471,0.851351,0.887324
81,PINK,nonoccluded,0,0,11,0,0.000000,0.000000,0.000000
82,VIOLET,nonoccluded,51,44,8,7,0.846154,0.862745,0.854369
83,LIGHT,nonoccluded,7,5,11,2,0.312500,0.714286,0.434783
84,DARK,nonoccluded,1,1,6,0,0.142857,1.000000,0.250000
