Gloss ID,Gloss Label,Occlusion,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
0,GOOD MORNING,nonoccluded,25,23,7,2,0.766667,0.920000,0.836364
1,GOOD AFTERNOON,nonoccluded,32,31,4,1,0.885714,0.968750,0.925373
2,GOOD EVENING,nonoccluded,31,31,2,0,0.939394,1.000000,0.968750
3,HELLO,nonoccluded,31,29,3,2,0.906250,0.935484,0.920635
4,HOW ARE YOU,nonoccluded,21,19,3,2,0.863636,0.904762,0.883721
5,IM FINE,nonoccluded,36,32,2,4,0.941176,0.888889,0.914286
6,NICE TO MEET YOU,nonoccluded,6,6,6,0,0.500000,1.000000,0.666667
7,THANK YOU,nonoccluded,27,23,5,4,0.821429,0.851852,0.836364
8,YOURE WELCOME,nonoccluded,6,5,2,1,0.714286,0.833333,0.769231
9,SEE YOU TOMORROW,nonoccluded,1,1,3,0,0.250000,1.000000,0.400000
10,UNDERSTAND,nonoccluded,33,28,6,5,0.823529,0.848485,0.835821
11,DON’T UNDERSTAND,nonoccluded,34,31,4,3,0.885714,0.911765,0.898551
12,KNOW,nonoccluded,35,33,9,2,0.785714,0.942857,0.857143
13,DON’T KNOW,nonoccluded,27,24,6,3,0.800000,0.888889,0.842105
14,NO,nonoccluded,36,33,10,3,0.767442,0.916667,0.835443
15,YES,nonoccluded,38,35,12,3,0.744681,0.921053,0.823529
16,WRONG,nonoccluded,0,0,1,0,0.000000,0.000000,0.000000
17,CORRECT,nonoccluded,10,9,1,1,0.900000,0.900000,0.900000
18,SLOW,nonoccluded,18,17,1,1,0.944444,0.944444,0.944444
19,FAST,nonoccluded,35,29,6,6,0.828571,0.828571,0.828571
20,ONE,nonoccluded,27,26,5,1,0.838710,0.962963,0.896552
21,TWO,nonoccluded,26,24,2,2,0.923077,0.923077,0.923077
22,THREE,nonoccluded,29,28,6,1,0.823529,0.965517,0.888889
23,FOUR,nonoccluded,24,23,1,1,0.958333,0.958333,0.958333
24,FIVE,nonoccluded,26,25,2,1,0.925926,0.961538,0.943396
25,SIX,nonoccluded,33,31,1,2,0.968750,0.939394,0.953846
26,SEVEN,nonoccluded,31,31,4,0,0.885714,1.000000,0.939394
27,EIGHT,nonoccluded,29,27,15,2,0.642857,0.931034,0.760563
28,NINE,nonoccluded,27,25,3,2,0.892857,0.925926,0.909091
29,TEN,nonoccluded,28,25,12,3,0.675676,0.892857,0.769231
30,JANUARY,nonoccluded,0,0,7,0,0.000000,0.000000,0.000000
31,FEBRUARY,nonoccluded,0,0,2,0,0.000000,0.000000,0.000000
32,MARCH,nonoccluded,1,1,2,0,0.333333,1.000000,0.500000
33,APRIL,nonoccluded,2,2,5,0,0.285714,1.000000,0.444444
34,MAY,nonoccluded,1,0,2,1,0.000000,0.000000,0.000000
35,JUNE,nonoccluded,0,0,2,0,0.000000,0.000000,0.000000
36,JULY,nonoccluded,1,1,2,0,0.333333,1.000000,0.500000
37,AUGUST,nonoccluded,1,1,2,0,0.333333,1.000000,0.500000
38,SEPTEMBER,nonoccluded,1,1,1,0,0.500000,1.000000,0.666667
39,OCTOBER,nonoccluded,0,0,2,0,0.000000,0.000000,0.000000
40,NOVEMBER,nonoccluded,0,0,1,0,0.000000,0.000000,0.000000
41,DECEMBER,nonoccluded,2,2,2,0,0.500000,1.000000,0.666667
42,MONDAY,nonoccluded,20,19,5,1,0.791667,0.950000,0.863636
43,TUESDAY,nonoccluded,19,19,1,0,0.950000,1.000000,0.974359
44,WEDNESDAY,nonoccluded,23,19,2,4,0.904762,0.826087,0.863636
45,THURSDAY,nonoccluded,23,23,4,0,0.851852,1.000000,0.920000
46,FRIDAY,nonoccluded,24,22,1,2,0.956522,0.916667,0.936170
47,SATURDAY,nonoccluded,21,21,1,0,0.954545,1.000000,0.976744
48,SUNDAY,nonoccluded,18,15,3,3,0.833333,0.833333,0.833333
49,TODAY,nonoccluded,35,28,6,7,0.823529,0.800000,0.811594
50,TOMORROW,nonoccluded,23,21,8,2,0.724138,0.913043,0.807692
51,YESTERDAY,nonoccluded,30,29,2,1,0.935484,0.966667,0.950820
52,FATHER,nonoccluded,21,16,3,5,0.842105,0.761905,0.800000
53,MOTHER,nonoccluded,5,1,10,4,0.090909,0.200000,0.125000
54,SON,nonoccluded,2,2,2,0,0.500000,1.000000,0.666667
55,DAUGHTER,nonoccluded,7,6,2,1,0.750000,0.857143,0.800000
56,GRANDFATHER,nonoccluded,3,3,1,0,0.750000,1.000000,0.857143
57,GRANDMOTHER,nonoccluded,6,4,4,2,0.500000,0.666667,0.571429
58,UNCLE,nonoccluded,38,36,2,2,0.947368,0.947368,0.947368
59,AUNTIE,nonoccluded,36,34,11,2,0.755556,0.944444,0.839506
60,COUSIN,nonoccluded,38,38,2,0,0.950000,1.000000,0.974359
61,PARENTS,nonoccluded,1,1,2,0,0.333333,1.000000,0.500000
62,BOY,nonoccluded,22,21,2,1,0.913043,0.954545,0.933333
