Gloss ID,Gloss Label,Occlusion,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
0,GOOD MORNING,nonoccluded,59,41,27,18,0.602941,0.694915,0.645669
1,GOOD AFTERNOON,nonoccluded,82,18,55,64,0.246575,0.219512,0.232258
2,GOOD EVENING,nonoccluded,74,34,50,40,0.404762,0.459459,0.430380
3,HELLO,nonoccluded,80,43,47,37,0.477778,0.537500,0.505882
4,HOW ARE YOU,nonoccluded,55,39,17,16,0.696429,0.709091,0.702703
5,IM FINE,nonoccluded,96,70,17,26,0.804598,0.729167,0.765027
6,NICE TO MEET YOU,nonoccluded,8,5,23,3,0.178571,0.625000,0.277778
7,THANK YOU,nonoccluded,74,53,17,21,0.757143,0.716216,0.736111
8,YOURE WELCOME,nonoccluded,15,8,22,7,0.266667,0.533333,0.355556
9,SEE YOU TOMORROW,nonoccluded,0,0,52,0,0.000000,0.000000,0.000000
10,UNDERSTAND,nonoccluded,99,53,21,46,0.716216,0.535354,0.612717
11,DON’T UNDERSTAND,nonoccluded,95,41,24,54,0.630769,0.431579,0.512500
12,KNOW,nonoccluded,94,40,19,54,0.677966,0.425532,0.522876
13,DON’T KNOW,nonoccluded,70,50,33,20,0.602410,0.714286,0.653595
14,NO,nonoccluded,97,74,52,23,0.587302,0.762887,0.663677
15,YES,nonoccluded,96,58,33,38,0.637363,0.604167,0.620321
16,WRONG,nonoccluded,0,0,34,0,0.000000,0.000000,0.000000
17,CORRECT,nonoccluded,16,12,18,4,0.400000,0.750000,0.521739
18,SLOW,nonoccluded,43,33,11,10,0.750000,0.767442,0.758621
19,FAST,nonoccluded,88,51,25,37,0.671053,0.579545,0.621951
20,ONE,nonoccluded,72,32,30,40,0.516129,0.444444,0.477612
21,TWO,nonoccluded,73,44,57,29,0.435644,0.602740,0.505747
22,THREE,nonoccluded,79,37,28,42,0.569231,0.468354,0.513889
23,FOUR,nonoccluded,70,13,62,57,0.173333,0.185714,0.179310
24,FIVE,nonoccluded,69,22,33,47,0.400000,0.318841,0.354839
25,SIX,nonoccluded,86,25,41,61,0.378788,0.290698,0.328947
26,SEVEN,nonoccluded,78,5,50,73,0.090909,0.064103,0.075188
27,EIGHT,nonoccluded,79,1,30,78,0.032258,0.012658,0.018182
28,NINE,nonoccluded,79,21,56,58,0.272727,0.265823,0.269231
29,TEN,nonoccluded,76,27,43,49,0.385714,0.355263,0.369863
30,JANUARY,nonoccluded,0,0,44,0,0.000000,0.000000,0.000000
31,FEBRUARY,nonoccluded,0,0,47,0,0.000000,0.000000,0.000000
32,MARCH,nonoccluded,0,0,50,0,0.000000,0.000000,0.000000
33,APRIL,nonoccluded,4,0,34,4,0.000000,0.000000,0.000000
34,MAY,nonoccluded,1,0,42,1,0.000000,0.000000,0.000000
35,JUNE,nonoccluded,0,0,34,0,0.000000,0.000000,0.000000
36,JULY,nonoccluded,0,0,56,0,0.000000,0.000000,0.000000
37,AUGUST,nonoccluded,1,0,67,1,0.000000,0.000000,0.000000
38,SEPTEMBER,nonoccluded,0,0,84,0,0.000000,0.000000,0.000000
39,OCTOBER,nonoccluded,1,0,68,1,0.000000,0.000000,0.000000
40,NOVEMBER,nonoccluded,2,0,39,2,0.000000,0.000000,0.000000
41,DECEMBER,nonoccluded,2,0,47,2,0.000000,0.000000,0.000000
42,MONDAY,nonoccluded,45,9,28,36,0.243243,0.200000,0.219512
43,TUESDAY,nonoccluded,53,26,45,27,0.366197,0.490566,0.419355
44,WEDNESDAY,nonoccluded,64,49,97,15,0.335616,0.765625,0.466667
45,THURSDAY,nonoccluded,57,45,43,12,0.511364,0.789474,0.620690
46,FRIDAY,nonoccluded,51,17,20,34,0.459459,0.333333,0.386364
47,SATURDAY,nonoccluded,48,37,20,11,0.649123,0.770833,0.704762
48,SUNDAY,nonoccluded,43,31,27,12,0.534483,0.720930,0.613861
49,TODAY,nonoccluded,90,63,27,27,0.700000,0.700000,0.700000
50,TOMORROW,nonoccluded,66,35,49,31,0.416667,0.530303,0.466667
51,YESTERDAY,nonoccluded,78,8,26,70,0.235294,0.102564,0.142857
52,FATHER,nonoccluded,46,20,20,26,0.500000,0.434783,0.465116
53,MOTHER,nonoccluded,14,0,25,14,0.000000,0.000000,0.000000
54,SON,nonoccluded,6,2,16,4,0.111111,0.333333,0.166667
55,DAUGHTER,nonoccluded,31,21,17,10,0.552632,0.677419,0.608696
56,GRANDFATHER,nonoccluded,11,9,14,2,0.391304,0.818182,0.529412
57,GRANDMOTHER,nonoccluded,14,12,62,2,0.162162,0.857143,0.272727
58,UNCLE,nonoccluded,96,71,27,25,0.724490,0.739583,0.731959
59,AUNTIE,nonoccluded,96,52,29,44,0.641975,0.541667,0.587571
60,COUSIN,nonoccluded,95,70,43,25,0.619469,0.736842,0.673077
61,PARENTS,nonoccluded,3,1,13,2,0.071429,0.333333,0.117647
62,BOY,nonoccluded,54,30,10,24,0.750000,0.555556,0.638298
63,GIRL,nonoccluded,65,43,79,22,0.352459,0.661538,0.459893
64,MAN,nonoccluded,51,13,24,38,0.351351,0.254902,0.295455
65,WOMAN,nonoccluded,47,31,27,16,0.534483,0.659574,0.590476
66,DEAF,nonoccluded,15,10,73,5,0.120482,0.666667,0.204082
67,HARD OF HEARING,nonoccluded,56,42,18,14,0.700000,0.750000,0.724138
68,WEELCHAIR PERSON,nonoccluded,99,28,8,71,0.777778,0.282828,0.414815
69,BLIND,nonoccluded,0,0,21,0,0.000000,0.000000,0.000000
70,DEAF BLIND,nonoccluded,1,0,57,1,0.000000,0.000000,0.000000
71,MARRIED,nonoccluded,29,27,33,2,0.450000,0.931034,0.606742
72,BLUE,nonoccluded,68,56,19,12,0.746667,0.823529,0.783217
73,GREEN,nonoccluded,72,60,35,12,0.631579,0.833333,0.718563
74,RED,nonoccluded,14,3,14,11,0.176471,0.214286,0.193548
75,BROWN,nonoccluded,71,54,15,17,0.782609,0.760563,0.771429
76,BLACK,nonoccluded,20,14,13,6,0.518519,0.700000,0.595745
77,WHITE,nonoccluded,81,23,22,58,0.511111,0.283951,0.365079
78,YELLOW,nonoccluded,76,33,21,43,0.611111,0.434211,0.507692
79,ORANGE,nonoccluded,73,41,14,32,0.745455,0.561644,0.640625
80,GRAY,nonoccluded,74,63,11,11,0.851351,0.851351,0.851351
81,PINK,nonoccluded,0,0,32,0,0.000000,0.000000,0.000000
82,VIOLET,nonoccluded,51,44,13,7,0.771930,0.862745,0.814815
83,LIGHT,nonoccluded,7,5,20,2,0.200000,0.714286,0.312500
84,DARK,nonoccluded,1,1,14,0,0.066667,1.000000,0.125000
85,BREAD,nonoccluded,18,16,28,2,0.363636,0.888889,0.516129
86,EGG,nonoccluded,68,47,18,21,0.723077,0.691176,0.706767
87,FISH,nonoccluded,80,63,16,17,0.797468,0.787500,0.792453
88,MEAT,nonoccluded,17,12,19,5,0.387097,0.705882,0.500000
89,CHICKEN,nonoccluded,70,55,20,15,0.733333,0.785714,0.758621
90,SPAGHETTI,nonoccluded,0,0,26,0,0.000000,0.000000,0.000000
91,RICE,nonoccluded,50,39,33,11,0.541667,0.780000,0.639344
92,LONGANISA,nonoccluded,64,43,46,21,0.483146,0.671875,0.562092
93,SHRIMP,nonoccluded,48,36,27,12,0.571429,0.750000,0.648649
94,CRAB,nonoccluded,95,79,22,16,0.782178,0.831579,0.806122
95,HOT,nonoccluded,4,1,24,3,0.040000,0.250000,0.068966
96,COLD,nonoccluded,80,65,10,15,0.866667,0.812500,0.838710
97,JUICE,nonoccluded,33,25,28,8,0.471698,0.757576,0.581395
98,MILK,nonoccluded,93,59,47,34,0.556604,0.634409,0.592965
99,COFFEE,nonoccluded,55,42,18,13,0.700000,0.763636,0.730435
100,TEA,nonoccluded,31,24,27,7,0.470588,0.774194,0.585366
101,BEER,nonoccluded,43,34,15,9,0.693878,0.790698,0.739130
102,WINE,nonoccluded,57,27,28,30,0.490909,0.473684,0.482143
103,SUGAR,nonoccluded,22,8,32,14,0.200000,0.363636,0.258065
104,NO SUGAR,nonoccluded,35,19,17,16,0.527778,0.542857,0.535211
0,GOOD MORNING,occluded,36,20,27,16,0.425532,0.555556,0.481928
1,GOOD AFTERNOON,occluded,17,5,55,12,0.083333,0.294118,0.129870
2,GOOD EVENING,occluded,22,5,50,17,0.090909,0.227273,0.129870
3,HELLO,occluded,23,19,47,4,0.287879,0.826087,0.426966
4,HOW ARE YOU,occluded,44,31,17,13,0.645833,0.704545,0.673913
5,IM FINE,occluded,0,0,17,0,0.000000,0.000000,0.000000
6,NICE TO MEET YOU,occluded,87,72,23,15,0.757895,0.827586,0.791209
7,THANK YOU,occluded,23,16,17,7,0.484848,0.695652,0.571429
8,YOURE WELCOME,occluded,87,45,22,42,0.671642,0.517241,0.584416
9,SEE YOU TOMORROW,occluded,96,71,52,25,0.577236,0.739583,0.648402
10,UNDERSTAND,occluded,0,0,21,0,0.000000,0.000000,0.000000
11,DON’T UNDERSTAND,occluded,3,1,24,2,0.040000,0.333333,0.071429
12,KNOW,occluded,2,0,19,2,0.000000,0.000000,0.000000
13,DON’T KNOW,occluded,29,21,33,8,0.388889,0.724138,0.506024
14,NO,occluded,0,0,52,0,0.000000,0.000000,0.000000
15,YES,occluded,2,0,33,2,0.000000,0.000000,0.000000
16,WRONG,occluded,102,84,34,18,0.711864,0.823529,0.763636
17,CORRECT,occluded,93,69,18,24,0.793103,0.741935,0.766667
18,SLOW,occluded,53,47,11,6,0.810345,0.886792,0.846847
19,FAST,occluded,11,5,25,6,0.166667,0.454545,0.243902
20,ONE,occluded,20,3,30,17,0.090909,0.150000,0.113208
21,TWO,occluded,16,8,57,8,0.123077,0.500000,0.197531
22,THREE,occluded,17,5,28,12,0.151515,0.294118,0.200000
23,FOUR,occluded,23,5,62,18,0.074627,0.217391,0.111111
24,FIVE,occluded,24,8,33,16,0.195122,0.333333,0.246154
25,SIX,occluded,10,2,41,8,0.046512,0.200000,0.075472
26,SEVEN,occluded,18,3,50,15,0.056604,0.166667,0.084507
27,EIGHT,occluded,11,0,30,11,0.000000,0.000000,0.000000
28,NINE,occluded,15,7,56,8,0.111111,0.466667,0.179487
29,TEN,occluded,18,10,43,8,0.188679,0.555556,0.281690
30,JANUARY,occluded,77,18,44,59,0.290323,0.233766,0.258993
31,FEBRUARY,occluded,85,44,47,41,0.483516,0.517647,0.500000
32,MARCH,occluded,86,47,50,39,0.484536,0.546512,0.513661
33,APRIL,occluded,89,36,34,53,0.514286,0.404494,0.452830
34,MAY,occluded,89,15,42,74,0.263158,0.168539,0.205479
35,JUNE,occluded,80,0,34,80,0.000000,0.000000,0.000000
36,JULY,occluded,85,2,56,83,0.034483,0.023529,0.027972
37,AUGUST,occluded,69,28,67,41,0.294737,0.405797,0.341463
38,SEPTEMBER,occluded,87,55,84,32,0.395683,0.632184,0.486726
39,OCTOBER,occluded,85,27,68,58,0.284211,0.317647,0.300000
40,NOVEMBER,occluded,81,40,39,41,0.506329,0.493827,0.500000
41,DECEMBER,occluded,81,56,47,25,0.543689,0.691358,0.608696
42,MONDAY,occluded,47,16,28,31,0.363636,0.340426,0.351648
43,TUESDAY,occluded,41,16,45,25,0.262295,0.390244,0.313725
44,WEDNESDAY,occluded,30,28,97,2,0.224000,0.933333,0.361290
45,THURSDAY,occluded,41,38,43,3,0.469136,0.926829,0.622951
46,FRIDAY,occluded,42,18,20,24,0.473684,0.428571,0.450000
47,SATURDAY,occluded,45,36,20,9,0.642857,0.800000,0.712871
48,SUNDAY,occluded,50,42,27,8,0.608696,0.840000,0.705882
49,TODAY,occluded,1,1,27,0,0.035714,1.000000,0.068966
50,TOMORROW,occluded,30,21,49,9,0.300000,0.700000,0.420000
51,YESTERDAY,occluded,15,1,26,14,0.037037,0.066667,0.047619
52,FATHER,occluded,48,23,20,25,0.534884,0.479167,0.505495
53,MOTHER,occluded,82,17,25,65,0.404762,0.207317,0.274194
54,SON,occluded,90,29,16,61,0.644444,0.322222,0.429630
55,DAUGHTER,occluded,75,54,17,21,0.760563,0.720000,0.739726
56,GRANDFATHER,occluded,88,64,14,24,0.820513,0.727273,0.771084
57,GRANDMOTHER,occluded,82,64,62,18,0.507937,0.780488,0.615385
58,UNCLE,occluded,1,0,27,1,0.000000,0.000000,0.000000
59,AUNTIE,occluded,1,0,29,1,0.000000,0.000000,0.000000
60,COUSIN,occluded,0,0,43,0,0.000000,0.000000,0.000000
61,PARENTS,occluded,91,70,13,21,0.843373,0.769231,0.804598
62,BOY,occluded,38,8,10,30,0.444444,0.210526,0.285714
63,GIRL,occluded,37,17,79,20,0.177083,0.459459,0.255639
64,MAN,occluded,39,15,24,24,0.384615,0.384615,0.384615
65,WOMAN,occluded,49,40,27,9,0.597015,0.816327,0.689655
66,DEAF,occluded,80,61,73,19,0.455224,0.762500,0.570093
67,HARD OF HEARING,occluded,36,22,18,14,0.550000,0.611111,0.578947
68,WEELCHAIR PERSON,occluded,0,0,8,0,0.000000,0.000000,0.000000
69,BLIND,occluded,92,60,21,32,0.740741,0.652174,0.693642
70,DEAF BLIND,occluded,91,63,57,28,0.525000,0.692308,0.597156
71,MARRIED,occluded,64,53,33,11,0.616279,0.828125,0.706667
72,BLUE,occluded,4,0,19,4,0.000000,0.000000,0.000000
73,GREEN,occluded,3,1,35,2,0.027778,0.333333,0.051282
74,RED,occluded,60,24,14,36,0.631579,0.400000,0.489796
75,BROWN,occluded,5,5,15,0,0.250000,1.000000,0.400000
76,BLACK,occluded,55,44,13,11,0.771930,0.800000,0.785714
77,WHITE,occluded,2,1,22,1,0.043478,0.500000,0.080000
78,YELLOW,occluded,2,2,21,0,0.086957,1.000000,0.160000
79,ORANGE,occluded,4,3,14,1,0.176471,0.750000,0.285714
80,GRAY,occluded,2,2,11,0,0.153846,1.000000,0.266667
81,PINK,occluded,76,48,32,28,0.600000,0.631579,0.615385
82,VIOLET,occluded,22,18,13,4,0.580645,0.818182,0.679245
83,LIGHT,occluded,66,58,20,8,0.743590,0.878788,0.805556
84,DARK,occluded,73,66,14,7,0.825000,0.904110,0.862745
85,BREAD,occluded,73,62,28,11,0.688889,0.849315,0.760736
86,EGG,occluded,21,17,18,4,0.485714,0.809524,0.607143
87,FISH,occluded,12,10,16,2,0.384615,0.833333,0.526316
88,MEAT,occluded,75,60,19,15,0.759494,0.800000,0.779221
89,CHICKEN,occluded,22,13,20,9,0.393939,0.590909,0.472727
90,SPAGHETTI,occluded,92,67,26,25,0.720430,0.728261,0.724324
91,RICE,occluded,38,28,33,10,0.459016,0.736842,0.565657
92,LONGANISA,occluded,25,14,46,11,0.233333,0.560000,0.329412
93,SHRIMP,occluded,41,28,27,13,0.509091,0.682927,0.583333
94,CRAB,occluded,0,0,22,0,0.000000,0.000000,0.000000
95,HOT,occluded,91,59,24,32,0.710843,0.648352,0.678161
96,COLD,occluded,20,17,10,3,0.629630,0.850000,0.723404
97,JUICE,occluded,65,48,28,17,0.631579,0.738462,0.680851
98,MILK,occluded,6,5,47,1,0.096154,0.833333,0.172414
99,COFFEE,occluded,41,30,18,11,0.625000,0.731707,0.674157
100,TEA,occluded,68,60,27,8,0.689655,0.882353,0.774194
101,BEER,occluded,53,43,15,10,0.741379,0.811321,0.774775
102,WINE,occluded,38,27,28,11,0.490909,0.710526,0.580645
103,SUGAR,occluded,76,24,32,52,0.428571,0.315789,0.363636
104,NO SUGAR,occluded,61,40,17,21,0.701754,0.655738,0.677966
