gloss_id,gloss_label,iv3gru_occluded_tp,iv3gru_occluded_fp,iv3gru_occluded_fn,iv3gru_occluded_count,iv3gru_nonoccluded_tp,iv3gru_nonoccluded_fp,iv3gru_nonoccluded_fn,iv3gru_nonoccluded_count,iv3gru_combined_tp,iv3gru_combined_fp,iv3gru_combined_fn,iv3gru_combined_count,transformer_occluded_tp,transformer_occluded_fp,transformer_occluded_fn,transformer_occluded_count,transformer_nonoccluded_tp,transformer_nonoccluded_fp,transformer_nonoccluded_fn,transformer_nonoccluded_count,transformer_combined_tp,transformer_combined_fp,transformer_combined_fn,transformer_combined_count
0,GOOD MORNING,20,27,16,36,41,27,18,59,61,27,34,95,31,29,5,36,48,29,11,59,79,29,16,95
1,GOOD AFTERNOON,5,55,12,17,18,55,64,82,23,55,76,99,15,31,2,17,75,31,7,82,90,31,9,99
2,GOOD EVENING,5,50,17,22,34,50,40,74,39,50,57,96,19,34,3,22,67,34,7,74,86,34,10,96
3,HELLO,19,47,4,23,43,47,37,80,62,47,41,103,21,29,2,23,68,29,12,80,89,29,14,103
4,HOW ARE YOU,31,17,13,44,39,17,16,55,70,17,29,99,39,25,5,44,46,25,9,55,85,25,14,99
5,IM FINE,0,17,0,0,70,17,26,96,70,17,26,96,0,18,0,0,80,18,16,96,80,18,16,96
6,NICE TO MEET YOU,72,23,15,87,5,23,3,8,77,23,18,95,77,31,10,87,7,31,1,8,84,31,11,95
7,THANK YOU,16,17,7,23,53,17,21,74,69,17,28,97,19,26,4,23,70,26,4,74,89,26,8,97
8,YOURE WELCOME,45,22,42,87,8,22,7,15,53,22,49,102,75,18,12,87,14,18,1,15,89,18,13,102
9,SEE YOU TOMORROW,71,52,25,96,0,52,0,0,71,52,25,96,87,35,9,96,0,35,0,0,87,35,9,96
10,UNDERSTAND,0,21,0,0,53,21,46,99,53,21,46,99,0,24,0,0,88,24,11,99,88,24,11,99
11,DON’T UNDERSTAND,1,24,2,3,41,24,54,95,42,24,56,98,1,33,2,3,85,33,10,95,86,33,12,98
12,KNOW,0,19,2,2,40,19,54,94,40,19,56,96,1,50,1,2,83,50,11,94,84,50,12,96
13,DON’T KNOW,21,33,8,29,50,33,20,70,71,33,28,99,28,19,1,29,66,19,4,70,94,19,5,99
14,NO,0,52,0,0,74,52,23,97,74,52,23,97,0,109,0,0,82,109,15,97,82,109,15,97
15,YES,0,33,2,2,58,33,38,96,58,33,40,98,2,43,0,2,85,43,11,96,87,43,11,98
16,WRONG,84,34,18,102,0,34,0,0,84,34,18,102,89,27,13,102,0,27,0,0,89,27,13,102
17,CORRECT,69,18,24,93,12,18,4,16,81,18,28,109,79,32,14,93,15,32,1,16,94,32,15,109
18,SLOW,47,11,6,53,33,11,10,43,80,11,16,96,44,29,9,53,37,29,6,43,81,29,15,96
19,FAST,5,25,6,11,51,25,37,88,56,25,43,99,11,46,0,11,76,46,12,88,87,46,12,99
20,ONE,3,30,17,20,32,30,40,72,35,30,57,92,18,57,2,20,59,57,13,72,77,57,15,92
21,TWO,8,57,8,16,44,57,29,73,52,57,37,89,14,27,2,16,66,27,7,73,80,27,9,89
22,THREE,5,28,12,17,37,28,42,79,42,28,54,96,12,41,5,17,66,41,13,79,78,41,18,96
23,FOUR,5,62,18,23,13,62,57,70,18,62,75,93,23,13,0,23,63,13,7,70,86,13,7,93
24,FIVE,8,33,16,24,22,33,47,69,30,33,63,93,23,11,1,24,66,11,3,69,89,11,4,93
25,SIX,2,41,8,10,25,41,61,86,27,41,69,96,10,38,0,10,74,38,12,86,84,38,12,96
26,SEVEN,3,50,15,18,5,50,73,78,8,50,88,96,18,20,0,18,69,20,9,78,87,20,9,96
27,EIGHT,0,30,11,11,1,30,78,79,1,30,89,90,11,95,0,11,74,95,5,79,85,95,5,90
28,NINE,7,56,8,15,21,56,58,79,28,56,66,94,12,21,3,15,69,21,10,79,81,21,13,94
29,TEN,10,43,8,18,27,43,49,76,37,43,57,94,16,75,2,18,68,75,8,76,84,75,10,94
30,JANUARY,18,44,59,77,0,44,0,0,18,44,59,77,69,108,8,77,0,108,0,0,69,108,8,77
31,FEBRUARY,44,47,41,85,0,47,0,0,44,47,41,85,73,30,12,85,0,30,0,0,73,30,12,85
32,MARCH,47,50,39,86,0,50,0,0,47,50,39,86,71,48,15,86,0,48,0,0,71,48,15,86
33,APRIL,36,34,53,89,0,34,4,4,36,34,57,93,74,49,15,89,3,49,1,4,77,49,16,93
34,MAY,15,42,74,89,0,42,1,1,15,42,75,90,82,27,7,89,1,27,0,1,83,27,7,90
35,JUNE,0,34,80,80,0,34,0,0,0,34,80,80,75,21,5,80,0,21,0,0,75,21,5,80
36,JULY,2,56,83,85,0,56,0,0,2,56,83,85,79,35,6,85,0,35,0,0,79,35,6,85
37,AUGUST,28,67,41,69,0,67,1,1,28,67,42,70,60,31,9,69,1,31,0,1,61,31,9,70
38,SEPTEMBER,55,84,32,87,0,84,0,0,55,84,32,87,72,29,15,87,0,29,0,0,72,29,15,87
39,OCTOBER,27,68,58,85,0,68,1,1,27,68,59,86,70,36,15,85,1,36,0,1,71,36,15,86
40,NOVEMBER,40,39,41,81,0,39,2,2,40,39,43,83,72,20,9,81,1,20,1,2,73,20,10,83
41,DECEMBER,56,47,25,81,0,47,2,2,56,47,27,83,72,26,9,81,1,26,1,2,73,26,10,83
42,MONDAY,16,28,31,47,9,28,36,45,25,28,67,92,42,40,5,47,42,40,3,45,84,40,8,92
43,TUESDAY,16,45,25,41,26,45,27,53,42,45,52,94,37,25,4,41,47,25,6,53,84,25,10,94
44,WEDNESDAY,28,97,2,30,49,97,15,64,77,97,17,94,27,12,3,30,60,12,4,64,87,12,7,94
45,THURSDAY,38,43,3,41,45,43,12,57,83,43,15,98,40,10,1,41,56,10,1,57,96,10,2,98
46,FRIDAY,18,20,24,42,17,20,34,51,35,20,58,93,38,8,4,42,47,8,4,51,85,8,8,93
47,SATURDAY,36,20,9,45,37,20,11,48,73,20,20,93,41,15,4,45,39,15,9,48,80,15,13,93
