Transformer,,,,
File Name,Frame Range,Ground Truth Gloss,Predicted Gloss,Match Status
continuous_0001_S4_strategy2.npz,0–4065,COLD,COLD,TP
continuous_0001_S4_strategy2.npz,4065–8430,GOOD MORNING,GOOD MORNING,TP
continuous_0001_S4_strategy2.npz,8430–13129,SUNDAY,SUNDAY,TP
continuous_0001_S4_strategy2.npz,13129–17394,DON'T KNOW,DON’T KNOW,TP
continuous_0001_S4_strategy2.npz,17394–21826,WEELCHAIR PERSON,WEELCHAIR PERSON,TP
continuous_0001_S4_strategy2.npz,21166–24200,—,SUGAR,FP
continuous_0001_S4_strategy2.npz,21826–26091,SHRIMP,SHRIMP,TP
continuous_0001_S4_strategy2.npz,26091–30256,GRANDFATHER,GRANDFATHER,TP
continuous_0002_S4_strategy2.npz,0–4165,NO,NO,TP
continuous_0002_S4_strategy2.npz,2633–5300,—,WEELCHAIR PERSON,FP
continuous_0002_S4_strategy2.npz,4165–8364,LONGANISA,LONGANISA,TP
continuous_0002_S4_strategy2.npz,8364–12563,JUNE,JUNE,TP
continuous_0002_S4_strategy2.npz,10633–13300,—,TEN,FP
continuous_0002_S4_strategy2.npz,12563–16962,GOOD AFTERNOON,GOOD AFTERNOON,TP
continuous_0002_S4_strategy2.npz,15966–18633,—,HELLO,FP
continuous_0002_S4_strategy2.npz,16962–21292,SATURDAY,SATURDAY,TP
continuous_0003_S4_strategy2.npz,0–4265,SUNDAY,SUNDAY,TP
continuous_0003_S4_strategy2.npz,4265–8530,SPAGHETTI,SPAGHETTI,TP
continuous_0003_S4_strategy2.npz,8530–12795,EIGHT,EIGHT,TP
continuous_0003_S4_strategy2.npz,12795–16894,MAY,MAY,TP
continuous_0003_S4_strategy2.npz,16894–21226,BLUE,BLUE,TP
continuous_0003_S4_strategy2.npz,21226–25725,WOMAN,WOMAN,TP
continuous_0003_S4_strategy2.npz,25725–29025,HOW ARE YOU,HOW ARE YOU,TP
continuous_0004_S4_strategy2.npz,0–4199,AUNTIE,AUNTIE,TP
continuous_0004_S4_strategy2.npz,4199–8431,FAST,FAST,TP
continuous_0004_S4_strategy2.npz,8431–12463,APRIL,APRIL,TP
continuous_0004_S4_strategy2.npz,10566–14066,—,HELLO,FP
continuous_0004_S4_strategy2.npz,12463–16862,HELLO,—,FN
continuous_0004_S4_strategy2.npz,14066–17600,—,WHITE,FP
continuous_0004_S4_strategy2.npz,16862–21127,RICE,RICE,TP
continuous_0005_S4_strategy2.npz,0–4399,LIGHT,LIGHT,TP
continuous_0005_S4_strategy2.npz,4399–8398,BREAD,BREAD,TP
continuous_0005_S4_strategy2.npz,8398–12564,AUGUST,AUGUST,TP
continuous_0005_S4_strategy2.npz,10466–13933,—,WRONG,FP
continuous_0005_S4_strategy2.npz,12564–16763,WRONG,—,FN
continuous_0005_S4_strategy2.npz,13933–17433,—,BREAD,FP
continuous_0005_S4_strategy2.npz,16763–20928,NICE TO MEET YOU,NICE TO MEET YOU,TP
continuous_0006_S4_strategy2.npz,0–4299,LONGANISA,LONGANISA,TP
continuous_0006_S4_strategy2.npz,4299–8764,NICE TO MEET YOU,NICE TO MEET YOU,TP
continuous_0006_S4_strategy2.npz,8764–13163,TEN,TEN,TP
continuous_0006_S4_strategy2.npz,13163–17528,GRANDMOTHER,GRANDMOTHER,TP
continuous_0006_S4_strategy2.npz,17528–21860,JUNE,JUNE,TP
continuous_0006_S4_strategy2.npz,21860–26593,UNDERSTAND,UNDERSTAND,TP
continuous_0006_S4_strategy2.npz,24100–27533,—,DEAF,FP
continuous_0006_S4_strategy2.npz,26593–30992,YELLOW,YELLOW,TP
continuous_0007_S4_strategy2.npz,0–4299,MILK,MILK,TP
continuous_0007_S4_strategy2.npz,4299–8639,SPAGHETTI,SPAGHETTI,TP
continuous_0007_S4_strategy2.npz,8639–12738,MOTHER,—,FN
continuous_0007_S4_strategy2.npz,9033–12066,—,MOTHER,FP
continuous_0007_S4_strategy2.npz,12066–15066,—,TEN,FP
continuous_0007_S4_strategy2.npz,12738–16904,GOOD AFTERNOON,GOOD AFTERNOON,TP
continuous_0007_S4_strategy2.npz,16904–21436,TEN,TEN,TP
continuous_0007_S4_strategy2.npz,21436–25935,DEAF,DEAF,TP
continuous_0007_S4_strategy2.npz,25935–30134,YES,YES,TP
continuous_0008_S4_strategy2.npz,0–4265,NINE,NINE,TP
continuous_0008_S4_strategy2.npz,4265–8431,DAUGHTER,DAUGHTER,TP
continuous_0008_S4_strategy2.npz,6333–9500,—,GOOD AFTERNOON,FP
continuous_0008_S4_strategy2.npz,8431–12630,GOOD AFTERNOON,—,FN
continuous_0008_S4_strategy2.npz,12630–16995,OCTOBER,OCTOBER,TP
continuous_0008_S4_strategy2.npz,16995–21060,MONDAY,MONDAY,TP
continuous_0008_S4_strategy2.npz,21060–25359,EGG,EGG,TP
continuous_0009_S4_strategy2.npz,0–4599,BEER,BEER,TP
continuous_0009_S4_strategy2.npz,3033–6100,—,AUNTIE,FP
continuous_0009_S4_strategy2.npz,4599–8765,DAUGHTER,DAUGHTER,TP
continuous_0009_S4_strategy2.npz,8765–12930,DECEMBER,DECEMBER,TP
continuous_0009_S4_strategy2.npz,12930–17295,ORANGE,ORANGE,TP
continuous_0009_S4_strategy2.npz,17295–21394,LONGANISA,LONGANISA,TP
continuous_0010_S4_strategy2.npz,0–4232,YESTERDAY,YESTERDAY,TP
continuous_0010_S4_strategy2.npz,4200–6300,—,JANUARY,FP
continuous_0010_S4_strategy2.npz,4232–8297,JULY,JULY,TP
continuous_0010_S4_strategy2.npz,8297–12462,LONGANISA,LONGANISA,TP
continuous_0010_S4_strategy2.npz,12462–16894,GREEN,GREEN,TP
continuous_0010_S4_strategy2.npz,12633–14733,—,MILK,FP
continuous_0010_S4_strategy2.npz,16894–21059,SON,SON,TP
continuous_0011_S4_strategy2.npz,0–4532,WEELCHAIR PERSON,WEELCHAIR PERSON,TP
continuous_0011_S4_strategy2.npz,4532–8797,THANK YOU,THANK YOU,TP
continuous_0011_S4_strategy2.npz,8797–13129,KNOW,KNOW,TP
continuous_0011_S4_strategy2.npz,10866–14500,—,BLUE,FP
continuous_0011_S4_strategy2.npz,13129–17461,PINK,PINK,TP
continuous_0011_S4_strategy2.npz,17461–21760,MEAT,MEAT,TP
continuous_0012_S4_strategy2.npz,0–4199,FOUR,FOUR,TP
continuous_0012_S4_strategy2.npz,4199–8465,WRONG,WRONG,TP
continuous_0012_S4_strategy2.npz,8465–12497,NOVEMBER,NOVEMBER,TP
continuous_0012_S4_strategy2.npz,12497–16729,COFFEE,COFFEE,TP
continuous_0012_S4_strategy2.npz,16729–21061,WHITE,WHITE,TP
continuous_0012_S4_strategy2.npz,21061–25560,MARRIED,MARRIED,TP
continuous_0012_S4_strategy2.npz,24466–27200,—,NO,FP
continuous_0012_S4_strategy2.npz,25560–29924,MONDAY,MONDAY,TP
continuous_0013_S4_strategy2.npz,0–4465,SEPTEMBER,SEPTEMBER,TP
continuous_0013_S4_strategy2.npz,2633–5300,—,JANUARY,FP
continuous_0013_S4_strategy2.npz,4465–8829,YESTERDAY,YESTERDAY,TP
continuous_0013_S4_strategy2.npz,8829–12928,THANK YOU,THANK YOU,TP
continuous_0013_S4_strategy2.npz,12928–17094,DEAF,—,FN
continuous_0013_S4_strategy2.npz,13266–15933,—,TODAY,FP
continuous_0013_S4_strategy2.npz,15933–18600,—,DEAF,FP
continuous_0013_S4_strategy2.npz,17094–21259,SIX,SIX,TP
continuous_0014_S4_strategy2.npz,0–4232,HARD OF HEARING,HARD OF HEARING,TP
continuous_0014_S4_strategy2.npz,4232–8497,BREAD,BREAD,TP
continuous_0014_S4_strategy2.npz,8497–12662,HELLO,HELLO,TP
continuous_0014_S4_strategy2.npz,12662–16186,SATURDAY,SATURDAY,TP
continuous_0014_S4_strategy2.npz,16186–20451,WRONG,WRONG,TP
continuous_0014_S4_strategy2.npz,20451–24479,JANUARY,JANUARY,TP
continuous_0014_S4_strategy2.npz,24479–28678,FOUR,FOUR,TP
continuous_0015_S4_strategy2.npz,0–4466,SEE YOU TOMORROW,SEE YOU TOMORROW,TP
continuous_0015_S4_strategy2.npz,4466–8731,BREAD,BREAD,TP
continuous_0015_S4_strategy2.npz,8731–12996,BEER,BEER,TP
continuous_0015_S4_strategy2.npz,12996–17161,JULY,JULY,TP
continuous_0015_S4_strategy2.npz,17161–21293,TOMORROW,TOMORROW,TP
continuous_0015_S4_strategy2.npz,21293–25625,MOTHER,MOTHER,TP
continuous_0016_S4_strategy2.npz,0–4324,SPAGHETTI,SPAGHETTI,TP
continuous_0016_S4_strategy2.npz,3033–6100,—,TODAY,FP
continuous_0016_S4_strategy2.npz,4324–8489,EIGHT,EIGHT,TP
continuous_0016_S4_strategy2.npz,8489–12954,RED,RED,TP
continuous_0016_S4_strategy2.npz,12233–15300,—,PINK,FP
continuous_0016_S4_strategy2.npz,12954–17186,COLD,COLD,TP
continuous_0016_S4_strategy2.npz,17186–21418,SUNDAY,SUNDAY,TP
continuous_0017_S4_strategy2.npz,0–4299,SPAGHETTI,SPAGHETTI,TP
