IV3-GRU,,,,
File Name,Frame Range,Ground Truth Category,Predicted Category,Match Status
continuous_0001_S4_strategy2.npz,0–3333,—,FOOD,FP
continuous_0001_S4_strategy2.npz,0–4065,DRINK,—,FN
continuous_0001_S4_strategy2.npz,4065–8430,GREETING,GREETING,TP
continuous_0001_S4_strategy2.npz,6700–10066,—,DAYS,FP
continuous_0001_S4_strategy2.npz,8430–13129,DAYS,—,FN
continuous_0001_S4_strategy2.npz,10066–13433,—,DAYS,FP
continuous_0001_S4_strategy2.npz,13129–17394,SURVIVAL,—,FN
continuous_0001_S4_strategy2.npz,13433–16800,—,GREETING,FP
continuous_0001_S4_strategy2.npz,16800–20166,—,GREETING,FP
continuous_0001_S4_strategy2.npz,17394–21826,RELATIONSHIPS,—,FN
continuous_0001_S4_strategy2.npz,20166–23533,—,FOOD,FP
continuous_0001_S4_strategy2.npz,21826–26091,FOOD,FOOD,TP
continuous_0001_S4_strategy2.npz,26091–30256,FAMILY,FAMILY,TP
continuous_0002_S4_strategy2.npz,0–4165,SURVIVAL,—,FN
continuous_0002_S4_strategy2.npz,4165–8364,FOOD,FOOD,TP
continuous_0002_S4_strategy2.npz,7100–14200,—,CALENDAR,FP
continuous_0002_S4_strategy2.npz,8364–12563,CALENDAR,—,FN
continuous_0002_S4_strategy2.npz,12563–16962,GREETING,GREETING,TP
continuous_0002_S4_strategy2.npz,16962–21292,DAYS,—,FN
continuous_0003_S4_strategy2.npz,0–4265,DAYS,DAYS,TP
continuous_0003_S4_strategy2.npz,4265–8530,FOOD,FOOD,TP
continuous_0003_S4_strategy2.npz,8530–12795,NUMBER,—,FN
continuous_0003_S4_strategy2.npz,9666–14500,—,NUMBER,FP
continuous_0003_S4_strategy2.npz,12795–16894,CALENDAR,—,FN
continuous_0003_S4_strategy2.npz,14500–19333,—,CALENDAR,FP
continuous_0003_S4_strategy2.npz,16894–21226,COLOR,—,FN
continuous_0003_S4_strategy2.npz,19333–24166,—,FAMILY,FP
continuous_0003_S4_strategy2.npz,21226–25725,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0003_S4_strategy2.npz,25725–29025,GREETING,—,FN
continuous_0004_S4_strategy2.npz,0–4199,FAMILY,FAMILY,TP
continuous_0004_S4_strategy2.npz,4199–8431,SURVIVAL,—,FN
continuous_0004_S4_strategy2.npz,4200–8433,—,DAYS,FP
continuous_0004_S4_strategy2.npz,8431–12463,CALENDAR,—,FN
continuous_0004_S4_strategy2.npz,8433–12666,—,GREETING,FP
continuous_0004_S4_strategy2.npz,12463–16862,GREETING,—,FN
continuous_0004_S4_strategy2.npz,12666–16900,—,CALENDAR,FP
continuous_0004_S4_strategy2.npz,16862–21127,FOOD,—,FN
continuous_0004_S4_strategy2.npz,16900–21133,—,GREETING,FP
continuous_0005_S4_strategy2.npz,0–4166,—,FOOD,FP
continuous_0005_S4_strategy2.npz,0–4399,COLOR,—,FN
