Transformer,,,,
File Name,Frame Range,Ground Truth Category,Predicted Category,Match Status
continuous_0001_S4_strategy2.npz,0–4065,DRINK,DRINK,TP
continuous_0001_S4_strategy2.npz,4065–8430,GREETING,GREETING,TP
continuous_0001_S4_strategy2.npz,8430–13129,DAYS,DAYS,TP
continuous_0001_S4_strategy2.npz,13129–17394,SURVIVAL,SURVIVAL,TP
continuous_0001_S4_strategy2.npz,17394–21826,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0001_S4_strategy2.npz,21166–24200,—,DRINK,FP
continuous_0001_S4_strategy2.npz,21826–26091,FOOD,FOOD,TP
continuous_0001_S4_strategy2.npz,26091–30256,FAMILY,FAMILY,TP
continuous_0002_S4_strategy2.npz,0–4165,SURVIVAL,SURVIVAL,TP
continuous_0002_S4_strategy2.npz,2633–5300,—,RELATIONSHIPS,FP
continuous_0002_S4_strategy2.npz,4165–8364,FOOD,FOOD,TP
continuous_0002_S4_strategy2.npz,8364–12563,CALENDAR,CALENDAR,TP
continuous_0002_S4_strategy2.npz,10633–13300,—,SURVIVAL,FP
continuous_0002_S4_strategy2.npz,12563–16962,GREETING,GREETING,TP
continuous_0002_S4_strategy2.npz,15966–18633,—,GREETING,FP
continuous_0002_S4_strategy2.npz,16962–21292,DAYS,DAYS,TP
continuous_0003_S4_strategy2.npz,0–4265,DAYS,DAYS,TP
continuous_0003_S4_strategy2.npz,4265–8530,FOOD,FOOD,TP
continuous_0003_S4_strategy2.npz,8530–12795,NUMBER,NUMBER,TP
continuous_0003_S4_strategy2.npz,12795–16894,CALENDAR,CALENDAR,TP
continuous_0003_S4_strategy2.npz,16894–21226,COLOR,COLOR,TP
continuous_0003_S4_strategy2.npz,21226–25725,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0003_S4_strategy2.npz,25725–29025,GREETING,GREETING,TP
continuous_0004_S4_strategy2.npz,0–4199,FAMILY,FAMILY,TP
continuous_0004_S4_strategy2.npz,4199–8431,SURVIVAL,SURVIVAL,TP
continuous_0004_S4_strategy2.npz,8431–12463,CALENDAR,CALENDAR,TP
continuous_0004_S4_strategy2.npz,10566–14066,—,GREETING,FP
continuous_0004_S4_strategy2.npz,12463–16862,GREETING,—,FN
continuous_0004_S4_strategy2.npz,14066–17600,—,COLOR,FP
continuous_0004_S4_strategy2.npz,16862–21127,FOOD,FOOD,TP
continuous_0005_S4_strategy2.npz,0–4399,COLOR,COLOR,TP
continuous_0005_S4_strategy2.npz,4399–8398,FOOD,FOOD,TP
continuous_0005_S4_strategy2.npz,8398–12564,CALENDAR,CALENDAR,TP
continuous_0005_S4_strategy2.npz,10466–13933,—,SURVIVAL,FP
