IV3- GRU,,,,,,,,
Category ID,Category Label,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
0,GREETING (0),978,575,782,403,0.423729,0.587935,0.492505
1,SURVIVAL (1),993,457,284,536,0.616734,0.460222,0.527105
2,NUMBER (2),933,233,442,700,0.345185,0.249732,0.289801
3,CALENDAR (3),1005,348,752,657,0.316364,0.346269,0.330641
4,DAYS (4),937,299,399,638,0.428367,0.319104,0.365749
5,FAMILY (5),970,460,599,510,0.434372,0.474227,0.453425
6,RELATIONSHIPS (6),943,317,369,626,0.462099,0.336161,0.389196
7,COLOR (7),982,328,375,654,0.466572,0.334012,0.389318
8,FOOD (8),909,569,957,340,0.37287,0.625963,0.467351
9,DRINK (9),972,260,150,712,0.634146,0.26749,0.376266
