Transformer,,,,,,,,
Category ID,Category Label,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
0,GREETING (0),978,826,263,152,0.758494,0.844581,0.799226
1,SURVIVAL (1),993,860,473,133,0.645161,0.866062,0.739467
2,NUMBER (2),933,813,417,120,0.660976,0.871383,0.751734
3,CALENDAR (3),1005,864,460,141,0.652568,0.859701,0.741949
4,DAYS (4),937,806,227,131,0.780252,0.860192,0.818274
5,FAMILY (5),970,809,435,161,0.650322,0.834021,0.730804
6,RELATIONSHIPS (6),943,811,474,132,0.631128,0.860021,0.728007
7,COLOR (7),982,840,408,142,0.673077,0.855397,0.753363
8,FOOD (8),909,797,265,112,0.750471,0.876788,0.808727
9,DRINK (9),972,839,435,133,0.658556,0.863169,0.747106
