Category ID,Category Label,Occlusion,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
0,GREETING,nonoccluded,543,300,451,243,0.399467,0.552486,0.463679
1,SURVIVAL,nonoccluded,698,325,168,373,0.659229,0.465616,0.545760
2,NUMBER,nonoccluded,761,194,298,567,0.394309,0.254928,0.309657
3,CALENDAR,nonoccluded,11,0,187,11,0.000000,0.000000,0.000000
4,DAYS,nonoccluded,595,173,235,422,0.424020,0.290756,0.344965
5,FAMILY,nonoccluded,412,221,357,191,0.382353,0.536408,0.446465
6,RELATIONSHIPS,nonoccluded,417,107,169,310,0.387681,0.256595,0.308802
7,COLOR,nonoccluded,608,187,189,421,0.497340,0.307566,0.380081
8,FOOD,nonoccluded,510,307,517,203,0.372573,0.601961,0.460270
9,DRINK,nonoccluded,453,112,64,341,0.636364,0.247241,0.356121
0,GREETING,occluded,435,275,331,160,0.453795,0.632184,0.528338
1,SURVIVAL,occluded,295,132,116,163,0.532258,0.447458,0.486188
2,NUMBER,occluded,172,39,144,133,0.213115,0.226744,0.219718
3,CALENDAR,occluded,994,348,565,646,0.381161,0.350101,0.364971
4,DAYS,occluded,342,126,164,216,0.434483,0.368421,0.398734
5,FAMILY,occluded,558,239,242,319,0.496881,0.428315,0.460058
6,RELATIONSHIPS,occluded,526,210,200,316,0.512195,0.399240,0.448718
7,COLOR,occluded,374,141,186,233,0.431193,0.377005,0.402282
8,FOOD,occluded,399,262,440,137,0.373219,0.656642,0.475931
9,DRINK,occluded,519,148,86,371,0.632479,0.285164,0.393094
