Category ID,Category Label,Occlusion,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
0,GREETING,nonoccluded,543,461,149,82,0.755738,0.848987,0.799653
1,SURVIVAL,nonoccluded,698,606,277,92,0.686297,0.868195,0.766603
2,NUMBER,nonoccluded,761,661,289,100,0.695789,0.868594,0.772648
3,CALENDAR,nonoccluded,11,7,143,4,0.046667,0.636364,0.086957
4,DAYS,nonoccluded,595,507,117,88,0.812500,0.852101,0.831829
5,FAMILY,nonoccluded,412,336,203,76,0.623377,0.815534,0.706625
6,RELATIONSHIPS,nonoccluded,417,359,234,58,0.605396,0.860911,0.710891
7,COLOR,nonoccluded,608,527,206,81,0.718963,0.866776,0.785981
8,FOOD,nonoccluded,510,455,141,55,0.763423,0.892157,0.822785
9,DRINK,nonoccluded,453,389,236,64,0.622400,0.858720,0.721707
0,GREETING,occluded,435,365,114,70,0.762004,0.839080,0.798687
1,SURVIVAL,occluded,295,254,196,41,0.564444,0.861017,0.681879
2,NUMBER,occluded,172,152,128,20,0.542857,0.883721,0.672566
3,CALENDAR,occluded,994,857,317,137,0.729983,0.862173,0.790590
4,DAYS,occluded,342,299,110,43,0.731051,0.874269,0.796272
5,FAMILY,occluded,558,473,232,85,0.670922,0.847670,0.749010
6,RELATIONSHIPS,occluded,526,452,240,74,0.653179,0.859316,0.742200
7,COLOR,occluded,374,313,202,61,0.607767,0.836898,0.704162
8,FOOD,occluded,399,342,124,57,0.733906,0.857143,0.790751
9,DRINK,occluded,519,450,199,69,0.693374,0.867052,0.770548
