Model,Total Category Ground Truth,Actual Category Label,Predicted Category Label,Number of Confusions,Percentage of Confusions,Notes
Transformer,978,GREETING,SURVIVAL,73,7.46%,Moderate Confusion
Transformer,978,GREETING,NUMBER,71,7.26%,Moderate Confusion
Transformer,978,GREETING,CALENDAR,60,6.13%,Moderate Confusion
Transformer,978,GREETING,DAYS,35,3.58%,Low Confusion
Transformer,978,GREETING,FAMILY,46,4.70%,Low Confusion
Transformer,978,GREETING,RELATIONSHIPS,63,6.44%,Moderate Confusion
Transformer,978,GREETING,COLOR,54,5.52%,Moderate Confusion
Transformer,978,GREETING,FOOD,39,3.99%,Low Confusion
Transformer,978,GREETING,DRINK,54,5.52%,Moderate Confusion
Transformer,993,SURVIVAL,GREETING,46,4.63%,Low Confusion
Transformer,993,SURVIVAL,NUMBER,64,6.45%,Moderate Confusion
Transformer,993,SURVIVAL,CALENDAR,52,5.24%,Moderate Confusion
Transformer,993,SURVIVAL,DAYS,51,5.14%,Moderate Confusion
Transformer,993,SURVIVAL,FAMILY,53,5.34%,Moderate Confusion
Transformer,993,SURVIVAL,RELATIONSHIPS,62,6.24%,Moderate Confusion
Transformer,993,SURVIVAL,COLOR,60,6.04%,Moderate Confusion
Transformer,993,SURVIVAL,FOOD,39,3.93%,Low Confusion
Transformer,993,SURVIVAL,DRINK,52,5.24%,Moderate Confusion
Transformer,933,NUMBER,GREETING,55,5.89%,Moderate Confusion
Transformer,933,NUMBER,SURVIVAL,67,7.18%,Moderate Confusion
Transformer,933,NUMBER,CALENDAR,49,5.25%,Moderate Confusion
Transformer,933,NUMBER,DAYS,46,4.93%,Low Confusion
Transformer,933,NUMBER,FAMILY,48,5.14%,Moderate Confusion
Transformer,933,NUMBER,RELATIONSHIPS,67,7.18%,Moderate Confusion
Transformer,933,NUMBER,COLOR,46,4.93%,Low Confusion
Transformer,933,NUMBER,FOOD,34,3.64%,Low Confusion
Transformer,933,NUMBER,DRINK,58,6.22%,Moderate Confusion
Transformer,1005,CALENDAR,GREETING,46,4.58%,Low Confusion
Transformer,1005,CALENDAR,SURVIVAL,64,6.37%,Moderate Confusion
Transformer,1005,CALENDAR,NUMBER,62,6.17%,Moderate Confusion
Transformer,1005,CALENDAR,DAYS,32,3.18%,Low Confusion
Transformer,1005,CALENDAR,FAMILY,57,5.67%,Moderate Confusion
Transformer,1005,CALENDAR,RELATIONSHIPS,45,4.48%,Low Confusion
Transformer,1005,CALENDAR,COLOR,48,4.78%,Low Confusion
Transformer,1005,CALENDAR,FOOD,35,3.48%,Low Confusion
Transformer,1005,CALENDAR,DRINK,62,6.17%,Moderate Confusion
Transformer,937,DAYS,GREETING,41,4.38%,Low Confusion
Transformer,937,DAYS,SURVIVAL,55,5.87%,Moderate Confusion
Transformer,937,DAYS,NUMBER,50,5.34%,Moderate Confusion
Transformer,937,DAYS,CALENDAR,47,5.02%,Moderate Confusion
Transformer,937,DAYS,FAMILY,54,5.76%,Moderate Confusion
Transformer,937,DAYS,RELATIONSHIPS,59,6.30%,Moderate Confusion
Transformer,937,DAYS,COLOR,54,5.76%,Moderate Confusion
Transformer,937,DAYS,FOOD,49,5.23%,Moderate Confusion
Transformer,937,DAYS,DRINK,49,5.23%,Moderate Confusion
Transformer,970,FAMILY,GREETING,43,4.43%,Low Confusion
Transformer,970,FAMILY,SURVIVAL,57,5.88%,Moderate Confusion
Transformer,970,FAMILY,NUMBER,53,5.46%,Moderate Confusion
Transformer,970,FAMILY,CALENDAR,49,5.05%,Moderate Confusion
Transformer,970,FAMILY,DAYS,49,5.05%,Moderate Confusion
Transformer,970,FAMILY,RELATIONSHIPS,52,5.36%,Moderate Confusion
Transformer,970,FAMILY,COLOR,44,4.54%,Low Confusion
Transformer,970,FAMILY,FOOD,37,3.81%,Low Confusion
Transformer,970,FAMILY,DRINK,60,6.19%,Moderate Confusion
Transformer,943,RELATIONSHIPS,GREETING,37,3.92%,Low Confusion
Transformer,943,RELATIONSHIPS,SURVIVAL,61,6.47%,Moderate Confusion
Transformer,943,RELATIONSHIPS,NUMBER,46,4.88%,Low Confusion
Transformer,943,RELATIONSHIPS,CALENDAR,67,7.10%,Moderate Confusion
Transformer,943,RELATIONSHIPS,DAYS,38,4.03%,Low Confusion
Transformer,943,RELATIONSHIPS,FAMILY,55,5.83%,Moderate Confusion
Transformer,943,RELATIONSHIPS,COLOR,37,3.92%,Low Confusion
Transformer,943,RELATIONSHIPS,FOOD,42,4.45%,Low Confusion
Transformer,943,RELATIONSHIPS,DRINK,46,4.88%,Low Confusion
Transformer,982,COLOR,GREETING,44,4.48%,Low Confusion
Transformer,982,COLOR,SURVIVAL,60,6.11%,Moderate Confusion
Transformer,982,COLOR,NUMBER,66,6.72%,Moderate Confusion
Transformer,982,COLOR,CALENDAR,62,6.31%,Moderate Confusion
Transformer,982,COLOR,DAYS,42,4.28%,Low Confusion
Transformer,982,COLOR,FAMILY,45,4.58%,Low Confusion
Transformer,982,COLOR,RELATIONSHIPS,56,5.70%,Moderate Confusion
Transformer,982,COLOR,FOOD,46,4.68%,Low Confusion
Transformer,982,COLOR,DRINK,66,6.72%,Moderate Confusion
Transformer,909,FOOD,GREETING,43,4.73%,Low Confusion
Transformer,909,FOOD,SURVIVAL,58,6.38%,Moderate Confusion
Transformer,909,FOOD,NUMBER,36,3.96%,Low Confusion
Transformer,909,FOOD,CALENDAR,58,6.38%,Moderate Confusion
Transformer,909,FOOD,DAYS,28,3.08%,Low Confusion
Transformer,909,FOOD,FAMILY,44,4.84%,Low Confusion
Transformer,909,FOOD,RELATIONSHIPS,53,5.83%,Moderate Confusion
Transformer,909,FOOD,COLOR,72,7.92%,Moderate Confusion
Transformer,909,FOOD,DRINK,57,6.27%,Moderate Confusion
Transformer,972,DRINK,GREETING,42,4.32%,Low Confusion
Transformer,972,DRINK,SURVIVAL,67,6.89%,Moderate Confusion
Transformer,972,DRINK,NUMBER,77,7.92%,Moderate Confusion
Transformer,972,DRINK,CALENDAR,50,5.14%,Moderate Confusion
Transformer,972,DRINK,DAYS,42,4.32%,Low Confusion
