Per-Gloss Recognition Performance - IV3-GRU,,,,,,,,
Gloss ID,Gloss Label,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
0,GOOD MORNING (0),95,61,27,34,0.693182,0.642105,0.666667
1,GOOD AFTERNOON (1),99,23,55,76,0.294872,0.232323,0.259887
2,GOOD EVENING (2),96,39,50,57,0.438202,0.40625,0.421622
3,HELLO (3),103,62,47,41,0.568807,0.601942,0.584906
4,HOW ARE YOU (4),99,70,17,29,0.804598,0.707071,0.752688
5,IM FINE (5),96,70,17,26,0.804598,0.729167,0.765027
6,NICE TO MEET YOU (6),95,77,23,18,0.77,0.810526,0.789744
7,THANK YOU (7),97,69,17,28,0.802326,0.71134,0.754098
8,YOURE WELCOME (8),102,53,22,49,0.706667,0.519608,0.59887
9,SEE YOU TOMORROW (9),96,71,52,25,0.577236,0.739583,0.648402
10,UNDERSTAND (10),99,53,21,46,0.716216,0.535354,0.612717
11,DONT UNDERSTAND (11),98,42,24,56,0.636364,0.428571,0.512195
12,KNOW (12),96,40,19,56,0.677966,0.416667,0.516129
13,DONT KNOW (13),99,71,33,28,0.682692,0.717172,0.699507
14,NO (14),97,74,52,23,0.587302,0.762887,0.663677
15,YES (15),98,58,33,40,0.637363,0.591837,0.613757
16,WRONG (16),102,84,34,18,0.711864,0.823529,0.763636
17,CORRECT (17),109,81,18,28,0.818182,0.743119,0.778846
18,SLOW (18),96,80,11,16,0.879121,0.833333,0.855615
19,FAST (19),99,56,25,43,0.691358,0.565657,0.622222
20,ONE (20),92,35,30,57,0.538462,0.380435,0.44586
21,TWO (21),89,52,57,37,0.477064,0.58427,0.525253
22,THREE (22),96,42,28,54,0.6,0.4375,0.506024
23,FOUR (23),93,18,62,75,0.225,0.193548,0.208092
24,FIVE (24),93,30,33,63,0.47619,0.322581,0.384615
25,SIX (25),96,27,41,69,0.397059,0.28125,0.329268
26,SEVEN (26),96,8,50,88,0.137931,0.083333,0.103896
27,EIGHT (27),90,1,30,89,0.032258,0.011111,0.016529
28,NINE (28),94,28,56,66,0.333333,0.297872,0.314607
29,TEN (29),94,37,43,57,0.4625,0.393617,0.425287
30,JANUARY (30),77,18,44,59,0.290323,0.233766,0.258993
31,FEBRUARY (31),85,44,47,41,0.483516,0.517647,0.5
32,MARCH (32),86,47,50,39,0.484536,0.546512,0.513661
33,APRIL (33),93,36,34,57,0.514286,0.387097,0.441718
34,MAY (34),90,15,42,75,0.263158,0.166667,0.204082
35,JUNE (35),80,0,34,80,0,0,0
36,JULY (36),85,2,56,83,0.034483,0.023529,0.027972
37,AUGUST (37),70,28,67,42,0.294737,0.4,0.339394
38,SEPTEMBER (38),87,55,84,32,0.395683,0.632184,0.486726
39,OCTOBER (39),86,27,68,59,0.284211,0.313953,0.298343
