Per-Gloss Recognition Performance - Transformer,,,,,,,,
Gloss ID,Gloss Label,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
0,GOOD MORNING (0),95,79,29,16,0.731481,0.831579,0.778325
1,GOOD AFTERNOON (1),99,90,31,9,0.743802,0.909091,0.818182
2,GOOD EVENING (2),96,86,34,10,0.716667,0.895833,0.796296
3,HELLO (3),103,89,29,14,0.754237,0.864078,0.80543
4,HOW ARE YOU (4),99,85,25,14,0.772727,0.858586,0.813397
5,IM FINE (5),96,80,18,16,0.816327,0.833333,0.824742
6,NICE TO MEET YOU (6),95,84,31,11,0.730435,0.884211,0.8
7,THANK YOU (7),97,89,26,8,0.773913,0.917526,0.839623
8,YOURE WELCOME (8),102,89,18,13,0.831776,0.872549,0.851675
9,SEE YOU TOMORROW (9),96,87,35,9,0.713115,0.90625,0.798165
10,UNDERSTAND (10),99,88,24,11,0.785714,0.888889,0.834123
11,DON'T UNDERSTAND (11),98,86,33,12,0.722689,0.877551,0.792627
12,KNOW (12),96,84,50,12,0.626866,0.875,0.730435
13,DONT KNOW (13),99,94,19,5,0.831858,0.949495,0.886792
14,NO (14),97,82,109,15,0.429319,0.845361,0.569444
15,YES (15),98,87,43,11,0.669231,0.887755,0.763158
16,WRONG (16),102,89,27,13,0.767241,0.872549,0.816514
17,CORRECT (17),109,94,32,15,0.746032,0.862385,0.8
18,SLOW (18),96,81,29,15,0.736364,0.84375,0.786408
19,FAST (19),99,87,46,12,0.654135,0.878788,0.75
20,ONE (20),92,77,57,15,0.574627,0.836957,0.681416
21,TWO (21),89,80,27,9,0.747664,0.898876,0.816327
22,THREE (22),96,78,41,18,0.655462,0.8125,0.725581
23,FOUR (23),93,86,13,7,0.868687,0.924731,0.895833
24,FIVE (24),93,89,11,4,0.89,0.956989,0.92228
25,SIX (25),96,84,38,12,0.688525,0.875,0.770642
26,SEVEN (26),96,87,20,9,0.813084,0.90625,0.857143
27,EIGHT (27),90,85,95,5,0.472222,0.944444,0.62963
28,NINE (28),94,81,21,13,0.794118,0.861702,0.826531
29,TEN (29),94,84,75,10,0.528302,0.893617,0.664032
30,JANUARY (30),77,69,108,8,0.389831,0.896104,0.543307
31,FEBRUARY (31),85,73,30,12,0.708738,0.858824,0.776596
32,MARCH (32),86,71,48,15,0.596639,0.825581,0.692683
33,APRIL (33),93,77,49,16,0.611111,0.827957,0.703196
34,MAY (34),90,83,27,7,0.754545,0.922222,0.83
35,JUNE (35),80,75,21,5,0.78125,0.9375,0.852273
36,JULY (36),85,79,35,6,0.692982,0.929412,0.79397
37,AUGUST (37),70,61,31,9,0.663043,0.871429,0.753086
38,SEPTEMBER (38),87,72,29,15,0.712871,0.827586,0.765957
39,OCTOBER (39),86,71,36,15,0.663551,0.825581,0.735751
40,NOVEMBER (40),83,73,20,10,0.784946,0.879518,0.829545
41,DECEMBER (41),83,73,26,10,0.737374,0.879518,0.802198
42,MONDAY (42),92,84,40,8,0.677419,0.913043,0.777778
43,TUESDAY (43),94,84,25,10,0.770642,0.893617,0.827586
44,WEDNESDAY (44),94,87,12,7,0.878788,0.925532,0.901554
45,THURSDAY (45),98,96,10,2,0.90566,0.979592,0.941176
46,FRIDAY (46),93,85,8,8,0.913978,0.913978,0.913978
47,SATURDAY (47),93,80,15,13,0.842105,0.860215,0.851064
48,SUNDAY (48),93,80,27,13,0.747664,0.860215,0.8
49,TODAY (49),91,80,21,11,0.792079,0.879121,0.833333
50,TOMORROW (50),96,78,52,18,0.6,0.8125,0.690265
51,YESTERDAY (51),93,82,27,11,0.752294,0.88172,0.811881
52,FATHER (52),94,78,28,16,0.735849,0.829787,0.78
53,MOTHER (53),96,73,94,23,0.437126,0.760417,0.555133
54,SON (54),96,84,24,12,0.777778,0.875,0.823529
55,DAUGHTER (55),106,96,50,10,0.657534,0.90566,0.761905
