Per-Gloss Occlusion Performance � Transformer,,,,,,,,,
Gloss ID,Gloss Label,Occlusion,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
0,GOOD MORNING,nonoccluded,59,48,22,11,0.685714,0.813559,0.744186
1,GOOD AFTERNOON,nonoccluded,82,75,21,7,0.78125,0.914634,0.842697
2,GOOD EVENING,nonoccluded,74,67,23,7,0.744444,0.905405,0.817073
3,HELLO,nonoccluded,80,68,19,12,0.781609,0.85,0.814371
4,HOW ARE YOU,nonoccluded,55,46,10,9,0.821429,0.836364,0.828829
5,IM FINE,nonoccluded,96,80,12,16,0.869565,0.833333,0.851064
6,NICE TO MEET YOU,nonoccluded,8,7,17,1,0.291667,0.875,0.4375
7,THANK YOU,nonoccluded,74,70,13,4,0.843373,0.945946,0.89172
8,YOURE WELCOME,nonoccluded,15,14,8,1,0.636364,0.933333,0.756757
9,SEE YOU TOMORROW,nonoccluded,0,0,17,0,0,0,0
10,UNDERSTAND,nonoccluded,99,88,17,11,0.838095,0.888889,0.862745
11,DON’T UNDERSTAND,nonoccluded,95,85,24,10,0.779817,0.894737,0.833333
12,KNOW,nonoccluded,94,83,36,11,0.697479,0.882979,0.779343
13,DON’T KNOW,nonoccluded,70,66,11,4,0.857143,0.942857,0.897959
14,NO,nonoccluded,97,82,62,15,0.569444,0.845361,0.680498
15,YES,nonoccluded,96,85,34,11,0.714286,0.885417,0.790698
16,WRONG,nonoccluded,0,0,12,0,0,0,0
17,CORRECT,nonoccluded,16,15,11,1,0.576923,0.9375,0.714286
18,SLOW,nonoccluded,43,37,12,6,0.755102,0.860465,0.804348
19,FAST,nonoccluded,88,76,25,12,0.752475,0.863636,0.804233
20,ONE,nonoccluded,72,59,44,13,0.572816,0.819444,0.674286
21,TWO,nonoccluded,73,66,14,7,0.825,0.90411,0.862745
22,THREE,nonoccluded,79,66,30,13,0.6875,0.835443,0.754286
23,FOUR,nonoccluded,70,63,9,7,0.875,0.9,0.887324
24,FIVE,nonoccluded,69,66,4,3,0.942857,0.956522,0.94964
25,SIX,nonoccluded,86,74,30,12,0.711538,0.860465,0.778947
26,SEVEN,nonoccluded,78,69,14,9,0.831325,0.884615,0.857143
27,EIGHT,nonoccluded,79,74,68,5,0.521127,0.936709,0.669683
28,NINE,nonoccluded,79,69,14,10,0.831325,0.873418,0.851852
