Model,Actual Gloss Label,Total Ground Truth,Predicted Gloss Label,Number of Confusions,Percentage of Confusions,Notes
Transformer,GOOD MORNING (0),95,GOOD AFTERNOON (1),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,HOW ARE YOU (4),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,SEE YOU TOMORROW (9),4,4.21%,Low Confusion
Transformer,GOOD MORNING (0),95,DON'T UNDERSTAND (11),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,KNOW (12),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,NO (14),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,YES (15),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,TWO (21),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,SEVEN (26),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,EIGHT (27),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,NINE (28),2,2.11%,Low Confusion
Transformer,GOOD MORNING (0),95,TEN (29),4,4.21%,Low Confusion
Transformer,GOOD MORNING (0),95,JANUARY (30),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,MARCH (32),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,APRIL (33),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,MAY (34),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,FRIDAY (46),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,TOMORROW (50),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,FATHER (52),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,SON (54),2,2.11%,Low Confusion
Transformer,GOOD MORNING (0),95,HARD OF HEARING (67),3,3.16%,Low Confusion
Transformer,GOOD MORNING (0),95,DEAF BLIND (70),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,MARRIED (71),2,2.11%,Low Confusion
Transformer,GOOD MORNING (0),95,RED (74),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,WHITE (77),1,1.05%,Low Confusion
