,,Transformer,,,IV3-GRU,,,Difference (Transformer - GRU),,,
Gloss ID,Gloss Label,Precision,Recall,F1-Score,Precision,Recall,F1-Score,Precision,Recall,F1-Score,Interpretation Notes
0,GOOD MORNING (0),0.731481,0.831579,0.778325,0.693182,0.642105,0.666667,0.038299,0.189474,0.111658,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
1,GOOD AFTERNOON (1),0.743802,0.909091,0.818182,0.294872,0.232323,0.259887,0.44893,0.676768,0.558295,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
2,GOOD EVENING (2),0.716667,0.895833,0.796296,0.438202,0.40625,0.421622,0.278465,0.489583,0.374674,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
3,HELLO (3),0.754237,0.864078,0.80543,0.568807,0.601942,0.584906,0.18543,0.262136,0.220524,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
4,HOW ARE YOU (4),0.772727,0.858586,0.813397,0.804598,0.707071,0.752688,-0.031871,0.151515,0.060709,Transformer outperforms GRU in recall and F1-score.
5,IM FINE (5),0.816327,0.833333,0.824742,0.804598,0.729167,0.765027,0.011729,0.104166,0.059715,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
6,NICE TO MEET YOU (6),0.730435,0.884211,0.8,0.77,0.810526,0.789744,-0.039565,0.073685,0.010256,Transformer outperforms GRU in recall and F1-score.
7,THANK YOU (7),0.773913,0.917526,0.839623,0.802326,0.71134,0.754098,-0.028413,0.206186,0.085525,Transformer outperforms GRU in recall and F1-score.
8,YOURE WELCOME (8),0.831776,0.872549,0.851675,0.706667,0.519608,0.59887,0.125109,0.352941,0.252805,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
9,SEE YOU TOMORROW (9),0.713115,0.90625,0.798165,0.577236,0.739583,0.648402,0.135879,0.166667,0.149763,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
10,UNDERSTAND (10),0.785714,0.888889,0.834123,0.716216,0.535354,0.612717,0.069498,0.353535,0.221406,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
11,DON’T UNDERSTAND (11),0.722689,0.877551,0.792627,0.636364,0.428571,0.512195,0.086325,0.44898,0.280432,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
12,KNOW (12),0.626866,0.875,0.730435,0.677966,0.416667,0.516129,-0.0511,0.458333,0.214306,Transformer outperforms GRU in recall and F1-score.
13,DON’T KNOW (13),0.831858,0.949495,0.886792,0.682692,0.717172,0.699507,0.149166,0.232323,0.187285,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
14,NO (14),0.429319,0.845361,0.569444,0.587302,0.762887,0.663677,-0.157983,0.082474,-0.094233,Transformer only outperforms GRU in recall.
15,YES (15),0.669231,0.887755,0.763158,0.637363,0.591837,0.613757,0.031868,0.295918,0.149401,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
16,WRONG (16),0.767241,0.872549,0.816514,0.711864,0.823529,0.763636,0.055377,0.04902,0.052878,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
17,CORRECT (17),0.746032,0.862385,0.8,0.818182,0.743119,0.778846,-0.07215,0.119266,0.021154,Transformer outperforms GRU in recall and F1-score.
18,SLOW (18),0.736364,0.84375,0.786408,0.879121,0.833333,0.855615,-0.142757,0.010417,-0.069207,Transformer only outperforms GRU in recall.
19,FAST (19),0.654135,0.878788,0.75,0.691358,0.565657,0.622222,-0.037223,0.313131,0.127778,Transformer outperforms GRU in recall and F1-score.
20,ONE (20),0.574627,0.836957,0.681416,0.538462,0.380435,0.44586,0.036165,0.456522,0.235556,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
21,TWO (21),0.747664,0.898876,0.816327,0.477064,0.58427,0.525253,0.2706,0.314606,0.291074,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
22,THREE (22),0.655462,0.8125,0.725581,0.6,0.4375,0.506024,0.055462,0.375,0.219557,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
23,FOUR (23),0.868687,0.924731,0.895833,0.225,0.193548,0.208092,0.643687,0.731183,0.687741,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
24,FIVE (24),0.89,0.956989,0.92228,0.47619,0.322581,0.384615,0.41381,0.634408,0.537665,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
25,SIX (25),0.688525,0.875,0.770642,0.397059,0.28125,0.329268,0.291466,0.59375,0.441374,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
26,SEVEN (26),0.813084,0.90625,0.857143,0.137931,0.083333,0.103896,0.675153,0.822917,0.753247,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
27,EIGHT (27),0.472222,0.944444,0.62963,0.032258,0.011111,0.016529,0.439964,0.933333,0.613101,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
28,NINE (28),0.794118,0.861702,0.826531,0.333333,0.297872,0.314607,0.460785,0.56383,0.511924,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
29,TEN (29),0.528302,0.893617,0.664032,0.4625,0.393617,0.425287,0.065802,0.5,0.238745,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
30,JANUARY (30),0.389831,0.896104,0.543307,0.290323,0.233766,0.258993,0.099508,0.662338,0.284314,"Transformer consistently outperforms GRU across precision, recall, and F1-score."
