IV3 - GRU,,,,,,,,
File Name,Ground Truth Sequence,Predicted Sequence,TP,FP,FN,Precision,Recall,F1-score
continuous_0001_S4_strategy2.npz,96 -> 0 -> 48 -> 13 -> 68 -> 93 -> 56,96 -> 0 -> 49 -> 47 -> 13 -> 14 -> 68 -> 93 -> 56,5,4,2,55.56%,71.43%,62.50%
continuous_0002_S4_strategy2.npz,14 -> 92 -> 35 -> 1 -> 47,92 -> 35 -> 1,2,1,3,66.67%,40.00%,50.00%
continuous_0003_S4_strategy2.npz,48 -> 90 -> 27 -> 34 -> 72 -> 65 -> 4,48 -> 90 -> 13 -> 34 -> 72 -> 65,4,2,3,66.67%,57.14%,61.54%
continuous_0004_S4_strategy2.npz,59 -> 19 -> 33 -> 3 -> 91,59 -> 43 -> 19 -> 33 -> 3,1,4,4,20.00%,20.00%,20.00%
continuous_0005_S4_strategy2.npz,83 -> 85 -> 37 -> 16 -> 6,83 -> 85 -> 37 -> 16 -> 6,5,0,0,100.00%,100.00%,100.00%
continuous_0006_S4_strategy2.npz,92 -> 6 -> 29 -> 57 -> 35 -> 10 -> 78,6 -> 29 -> 66 -> 37,1,3,6,25.00%,14.29%,18.18%
continuous_0007_S4_strategy2.npz,98 -> 90 -> 53 -> 1 -> 29 -> 66 -> 15,98 -> 95 -> 90 -> 57 -> 1 -> 3 -> 66,1,6,6,14.29%,14.29%,14.29%
continuous_0008_S4_strategy2.npz,28 -> 55 -> 1 -> 39 -> 42 -> 86,28 -> 55 -> 1 -> 40 -> 71 -> 42 -> 45 -> 86,2,6,4,25.00%,33.33%,28.57%
continuous_0009_S4_strategy2.npz,101 -> 55 -> 41 -> 79 -> 92,101 -> 55 -> 41,2,1,3,66.67%,40.00%,50.00%
continuous_0010_S4_strategy2.npz,51 -> 36 -> 92 -> 73 -> 54,51 -> 92 -> 73,2,1,3,66.67%,40.00%,50.00%
continuous_0011_S4_strategy2.npz,68 -> 7 -> 12 -> 81 -> 88,11 -> 3 -> 85 -> 81 -> 88,2,3,3,40.00%,40.00%,40.00%
continuous_0012_S4_strategy2.npz,23 -> 16 -> 40 -> 99 -> 77 -> 71 -> 42,23 -> 25 -> 16 -> 40 -> 99 -> 77 -> 63 -> 71,5,3,2,62.50%,71.43%,66.67%
continuous_0013_S4_strategy2.npz,38 -> 51 -> 7 -> 66 -> 25,38 -> 66,2,0,3,100.00%,40.00%,57.14%
continuous_0014_S4_strategy2.npz,67 -> 85 -> 3 -> 47 -> 16 -> 30 -> 23,67 -> 85 -> 3 -> 16 -> 31 -> 23,4,2,3,66.67%,57.14%,61.54%
continuous_0015_S4_strategy2.npz,9 -> 85 -> 101 -> 36 -> 50 -> 53,9 -> 85 -> 101 -> 45 -> 50 -> 53 -> 57,2,5,4,28.57%,33.33%,30.77%
continuous_0016_S4_strategy2.npz,90 -> 27 -> 74 -> 96 -> 48,90 -> 27 -> 74 -> 96 -> 48,4,1,1,80.00%,80.00%,80.00%
continuous_0017_S4_strategy2.npz,90 -> 33 -> 95 -> 61 -> 44 -> 7 -> 65,90 -> 33 -> 95 -> 61 -> 44 -> 65,5,1,2,83.33%,71.43%,76.92%
continuous_0018_S4_strategy2.npz,4 -> 60 -> 65 -> 89 -> 10 -> 76 -> 34,4 -> 60 -> 65 -> 89 -> 10 -> 12 -> 63 -> 76 -> 34,2,7,5,22.22%,28.57%,25.00%
continuous_0019_S4_strategy2.npz,28 -> 77 -> 50 -> 71 -> 35 -> 61,28 -> 77 -> 50 -> 63 -> 71 -> 35 -> 61,5,2,1,71.43%,83.33%,76.92%
continuous_0020_S4_strategy2.npz,62 -> 91 -> 59 -> 16 -> 33,62 -> 91 -> 59 -> 16 -> 33,5,0,0,100.00%,100.00%,100.00%
continuous_0021_S4_strategy2.npz,19 -> 104 -> 66 -> 82 -> 52,19 -> 9 -> 103 -> 66 -> 82 -> 52,3,3,2,50.00%,60.00%,54.55%
