Transformer,,,,,,,,
File Name,Ground Truth Sequence,Predicted Sequence,TP,FP,FN,Precision,Recall,F1-score
continuous_0001_S4_strategy2.npz,96 -> 0 -> 48 -> 13 -> 68 -> 93 -> 56,96 -> 0 -> 48 -> 13 -> 68 -> 103 -> 93 -> 56,7,1,0,87.50%,100.00%,93.33%
continuous_0002_S4_strategy2.npz,14 -> 92 -> 35 -> 1 -> 47,14 -> 68 -> 92 -> 35 -> 29 -> 1 -> 3 -> 47,5,3,0,62.50%,100.00%,76.92%
continuous_0003_S4_strategy2.npz,48 -> 90 -> 27 -> 34 -> 72 -> 65 -> 4,48 -> 90 -> 27 -> 34 -> 72 -> 65 -> 4,7,0,0,100.00%,100.00%,100.00%
continuous_0004_S4_strategy2.npz,59 -> 19 -> 33 -> 3 -> 91,59 -> 19 -> 33 -> 3 -> 77 -> 91,4,2,1,66.67%,80.00%,72.73%
continuous_0005_S4_strategy2.npz,83 -> 85 -> 37 -> 16 -> 6,83 -> 85 -> 37 -> 16 -> 85 -> 6,4,2,1,66.67%,80.00%,72.73%
continuous_0006_S4_strategy2.npz,92 -> 6 -> 29 -> 57 -> 35 -> 10 -> 78,92 -> 6 -> 29 -> 57 -> 35 -> 10 -> 66 -> 78,7,1,0,87.50%,100.00%,93.33%
continuous_0007_S4_strategy2.npz,98 -> 90 -> 53 -> 1 -> 29 -> 66 -> 15,98 -> 90 -> 53 -> 29 -> 1 -> 29 -> 66 -> 15,6,2,1,75.00%,85.71%,80.00%
continuous_0008_S4_strategy2.npz,28 -> 55 -> 1 -> 39 -> 42 -> 86,28 -> 55 -> 1 -> 39 -> 42 -> 86,5,1,1,83.33%,83.33%,83.33%
continuous_0009_S4_strategy2.npz,101 -> 55 -> 41 -> 79 -> 92,101 -> 59 -> 55 -> 41 -> 79 -> 92,5,1,0,83.33%,100.00%,90.91%
continuous_0010_S4_strategy2.npz,51 -> 36 -> 92 -> 73 -> 54,51 -> 30 -> 36 -> 92 -> 98 -> 73 -> 54,5,2,0,71.43%,100.00%,83.33%
continuous_0011_S4_strategy2.npz,68 -> 7 -> 12 -> 81 -> 88,68 -> 7 -> 12 -> 72 -> 81 -> 88,5,1,0,83.33%,100.00%,90.91%
continuous_0012_S4_strategy2.npz,23 -> 16 -> 40 -> 99 -> 77 -> 71 -> 42,23 -> 16 -> 40 -> 99 -> 77 -> 71 -> 14 -> 42,7,1,0,87.50%,100.00%,93.33%
continuous_0013_S4_strategy2.npz,38 -> 51 -> 7 -> 66 -> 25,38 -> 30 -> 51 -> 7 -> 49 -> 66 -> 25,4,3,1,57.14%,80.00%,66.67%
continuous_0014_S4_strategy2.npz,67 -> 85 -> 3 -> 47 -> 16 -> 30 -> 23,67 -> 85 -> 3 -> 47 -> 16 -> 30 -> 23,7,0,0,100.00%,100.00%,100.00%
continuous_0015_S4_strategy2.npz,9 -> 85 -> 101 -> 36 -> 50 -> 53,9 -> 85 -> 101 -> 36 -> 50 -> 53,6,0,0,100.00%,100.00%,100.00%
continuous_0016_S4_strategy2.npz,90 -> 27 -> 74 -> 96 -> 48,90 -> 49 -> 27 -> 74 -> 81 -> 96 -> 48,5,2,0,71.43%,100.00%,83.33%
continuous_0017_S4_strategy2.npz,90 -> 33 -> 95 -> 61 -> 44 -> 7 -> 65,90 -> 96 -> 33 -> 95 -> 53 -> 61 -> 44 -> 34 -> 7 -> 65,7,3,0,70.00%,100.00%,82.35%
continuous_0018_S4_strategy2.npz,4 -> 60 -> 65 -> 89 -> 10 -> 76 -> 34,4 -> 60 -> 50 -> 65 -> 76 -> 89 -> 10 -> 76 -> 32 -> 34,5,5,2,50.00%,71.43%,58.82%
continuous_0019_S4_strategy2.npz,28 -> 77 -> 50 -> 71 -> 35 -> 61,28 -> 27 -> 77 -> 50 -> 70 -> 71 -> 35 -> 61,6,2,0,75.00%,100.00%,85.71%
continuous_0020_S4_strategy2.npz,62 -> 91 -> 59 -> 16 -> 33,62 -> 91 -> 59 -> 16 -> 33,5,0,0,100.00%,100.00%,100.00%
continuous_0021_S4_strategy2.npz,19 -> 104 -> 66 -> 82 -> 52,19 -> 104 -> 66 -> 82 -> 52,4,1,1,80.00%,80.00%,80.00%
continuous_0022_S4_strategy2.npz,73 -> 32 -> 8 -> 50 -> 71,73 -> 32 -> 8 -> 50 -> 53 -> 71,5,1,0,83.33%,100.00%,90.91%
continuous_0023_S4_strategy2.npz,79 -> 63 -> 39 -> 99 -> 22,79 -> 63 -> 83 -> 39 -> 99 -> 22,4,2,1,66.67%,80.00%,72.73%
continuous_0024_S4_strategy2.npz,66 -> 50 -> 6 -> 26 -> 33 -> 94,66 -> 50 -> 59 -> 6 -> 26 -> 33 -> 38 -> 94,5,3,1,62.50%,83.33%,71.43%
continuous_0025_S4_strategy2.npz,3 -> 84 -> 93 -> 53 -> 20 -> 33,3 -> 60 -> 84 -> 93 -> 53 -> 20 -> 81 -> 33,5,3,1,62.50%,83.33%,71.43%
continuous_0026_S4_strategy2.npz,29 -> 46 -> 3 -> 16 -> 86,29 -> 46 -> 28 -> 3 -> 16 -> 74 -> 86,4,3,1,57.14%,80.00%,66.67%
continuous_0027_S4_strategy2.npz,37 -> 52 -> 99 -> 42 -> 26 -> 1 -> 10,37 -> 52 -> 99 -> 42 -> 26 -> 29 -> 1 -> 10,5,3,2,62.50%,71.43%,66.67%
continuous_0028_S4_strategy2.npz,77 -> 2 -> 56 -> 65 -> 47,77 -> 2 -> 56 -> 65 -> 47,5,0,0,100.00%,100.00%,100.00%
continuous_0029_S4_strategy2.npz,29 -> 49 -> 16 -> 37 -> 91,29 -> 49 -> 16 -> 38 -> 37 -> 91,5,1,0,83.33%,100.00%,90.91%
continuous_0030_S4_strategy2.npz,101 -> 94 -> 51 -> 84 -> 55,101 -> 94 -> 51 -> 59 -> 66 -> 84 -> 55,3,4,2,42.86%,60.00%,50.00%
continuous_0031_S4_strategy2.npz,12 -> 1 -> 84 -> 29 -> 64 -> 98 -> 49,12 -> 72 -> 2 -> 1 -> 84 -> 29 -> 2 -> 64 -> 98 -> 49,5,5,2,50.00%,71.43%,58.82%
continuous_0032_S4_strategy2.npz,77 -> 1 -> 87 -> 26 -> 47,77 -> 1 -> 87 -> 26 -> 47,5,0,0,100.00%,100.00%,100.00%
continuous_0033_S4_strategy2.npz,29 -> 59 -> 47 -> 97 -> 19,29 -> 59 -> 47 -> 97 -> 66 -> 19,4,2,1,66.67%,80.00%,72.73%
continuous_0034_S4_strategy2.npz,2 -> 12 -> 70 -> 20 -> 88,2 -> 12 -> 20 -> 70 -> 69 -> 20 -> 88,4,3,1,57.14%,80.00%,66.67%
continuous_0035_S4_strategy2.npz,24 -> 2 -> 16 -> 42 -> 55,24 -> 2 -> 16 -> 42 -> 55,4,1,1,80.00%,80.00%,80.00%
continuous_0036_S4_strategy2.npz,1 -> 28 -> 19 -> 71 -> 97 -> 92 -> 37,1 -> 27 -> 28 -> 19 -> 24 -> 71 -> 97 -> 92 -> 37,7,2,0,77.78%,100.00%,87.50%
continuous_0037_S4_strategy2.npz,28 -> 64 -> 6 -> 75 -> 33 -> 17,28 -> 64 -> 6 -> 31 -> 75 -> 33 -> 31 -> 17,6,2,0,75.00%,100.00%,85.71%
continuous_0038_S4_strategy2.npz,75 -> 29 -> 7 -> 41 -> 98,75 -> 29 -> 7 -> 41 -> 98,4,1,1,80.00%,80.00%,80.00%
continuous_0039_S4_strategy2.npz,3 -> 69 -> 21 -> 14 -> 87 -> 61 -> 101,3 -> 60 -> 69 -> 21 -> 14 -> 87 -> 61 -> 101,5,3,2,62.50%,71.43%,66.67%
continuous_0040_S4_strategy2.npz,68 -> 73 -> 42 -> 30 -> 57 -> 15,68 -> 98 -> 73 -> 42 -> 30 -> 57 -> 53 -> 15,6,2,0,75.00%,100.00%,85.71%
continuous_0041_S4_strategy2.npz,63 -> 18 -> 46 -> 24 -> 54 -> 8,63 -> 18 -> 27 -> 46 -> 24 -> 52 -> 54 -> 8,5,3,1,62.50%,83.33%,71.43%
continuous_0042_S4_strategy2.npz,18 -> 66 -> 35 -> 29 -> 45 -> 60,18 -> 66 -> 35 -> 29 -> 45 -> 60,6,0,0,100.00%,100.00%,100.00%
continuous_0043_S4_strategy2.npz,46 -> 98 -> 34 -> 75 -> 67 -> 60,46 -> 28 -> 98 -> 34 -> 75 -> 66 -> 67 -> 65 -> 60,5,4,1,55.56%,83.33%,66.67%
continuous_0044_S4_strategy2.npz,91 -> 64 -> 31 -> 9 -> 12 -> 56 -> 79,91 -> 64 -> 31 -> 9 -> 12 -> 56 -> 79,6,1,1,85.71%,85.71%,85.71%
continuous_0045_S4_strategy2.npz,87 -> 61 -> 41 -> 66 -> 46 -> 4 -> 14,87 -> 61 -> 41 -> 66 -> 63 -> 46 -> 4 -> 7 -> 14,4,5,3,44.44%,57.14%,50.00%
continuous_0046_S4_strategy2.npz,71 -> 3 -> 98 -> 87 -> 79 -> 13 -> 47,71 -> 3 -> 98 -> 77 -> 87 -> 77 -> 79 -> 13 -> 47,6,3,1,66.67%,85.71%,75.00%
continuous_0047_S4_strategy2.npz,88 -> 82 -> 38 -> 14 -> 101,88 -> 30 -> 82 -> 38 -> 14 -> 101,5,1,0,83.33%,100.00%,90.91%
continuous_0048_S4_strategy2.npz,77 -> 96 -> 17 -> 21 -> 39 -> 90 -> 59,77 -> 96 -> 17 -> 21 -> 39 -> 90 -> 59,6,1,1,85.71%,85.71%,85.71%
continuous_0049_S4_strategy2.npz,34 -> 97 -> 21 -> 45 -> 66,34 -> 97 -> 21 -> 43 -> 45 -> 42 -> 66,4,3,1,57.14%,80.00%,66.67%
continuous_0050_S4_strategy2.npz,65 -> 24 -> 76 -> 35 -> 8,65 -> 79 -> 24 -> 76 -> 35 -> 57 -> 8,5,2,0,71.43%,100.00%,83.33%
continuous_0051_S4_strategy2.npz,63 -> 37 -> 5 -> 95 -> 92 -> 49,63 -> 36 -> 37 -> 5 -> 66 -> 81 -> 95 -> 92 -> 86 -> 49,5,5,1,50.00%,83.33%,62.50%
continuous_0052_S4_strategy2.npz,14 -> 32 -> 100 -> 69 -> 22 -> 74,14 -> 32 -> 6 -> 100 -> 69 -> 22 -> 74,6,1,0,85.71%,100.00%,92.31%
continuous_0053_S4_strategy2.npz,79 -> 26 -> 8 -> 66 -> 59 -> 43 -> 13,79 -> 26 -> 8 -> 66 -> 102 -> 59 -> 43 -> 13,5,3,2,62.50%,71.43%,66.67%
continuous_0054_S4_strategy2.npz,73 -> 41 -> 94 -> 22 -> 2,73 -> 41 -> 94 -> 70 -> 22 -> 14 -> 2,2,5,3,28.57%,40.00%,33.33%
continuous_0055_S4_strategy2.npz,97 -> 26 -> 47 -> 32 -> 9 -> 63,97 -> 26 -> 47 -> 32 -> 9 -> 59 -> 63,4,3,2,57.14%,66.67%,61.54%
