Transformer,,,,,,,,
File Name,Ground Truth Sequence,Predicted Sequence,TP,FP,FN,Precision,Recall,F1-score
continuous_0001_S4_strategy2.npz,9 -> 0 -> 4 -> 1 -> 6 -> 8 -> 5,9 -> 0 -> 4 -> 1 -> 6 -> 9 -> 8 -> 5,7,1,0,87.50%,100.00%,93.33%
continuous_0002_S4_strategy2.npz,1 -> 8 -> 3 -> 0 -> 4,1 -> 6 -> 8 -> 3 -> 1 -> 0 -> 0 -> 4,5,3,0,62.50%,100.00%,76.92%
continuous_0003_S4_strategy2.npz,4 -> 8 -> 2 -> 3 -> 7 -> 6 -> 0,4 -> 8 -> 2 -> 3 -> 7 -> 6 -> 0,7,0,0,100.00%,100.00%,100.00%
continuous_0004_S4_strategy2.npz,5 -> 1 -> 3 -> 0 -> 8,5 -> 1 -> 3 -> 0 -> 7 -> 8,4,2,1,66.67%,80.00%,72.73%
continuous_0005_S4_strategy2.npz,7 -> 8 -> 3 -> 1 -> 0,7 -> 8 -> 3 -> 1 -> 8 -> 0,4,2,1,66.67%,80.00%,72.73%
continuous_0006_S4_strategy2.npz,8 -> 0 -> 2 -> 5 -> 3 -> 1 -> 7,8 -> 0 -> 2 -> 5 -> 3 -> 1 -> 6 -> 7,7,1,0,87.50%,100.00%,93.33%
continuous_0007_S4_strategy2.npz,9 -> 8 -> 5 -> 0 -> 2 -> 6 -> 1,9 -> 8 -> 5 -> 2 -> 0 -> 2 -> 6 -> 1,6,2,1,75.00%,85.71%,80.00%
continuous_0008_S4_strategy2.npz,2 -> 5 -> 0 -> 3 -> 4 -> 8,2 -> 5 -> 0 -> 3 -> 4 -> 8,5,1,1,83.33%,83.33%,83.33%
continuous_0009_S4_strategy2.npz,9 -> 5 -> 3 -> 7 -> 8,9 -> 5 -> 5 -> 3 -> 7 -> 8,5,1,0,83.33%,100.00%,90.91%
continuous_0010_S4_strategy2.npz,4 -> 3 -> 8 -> 7 -> 5,4 -> 3 -> 3 -> 8 -> 9 -> 7 -> 5,5,2,0,71.43%,100.00%,83.33%
continuous_0011_S4_strategy2.npz,6 -> 0 -> 1 -> 7 -> 8,6 -> 0 -> 1 -> 7 -> 7 -> 8,5,1,0,83.33%,100.00%,90.91%
continuous_0012_S4_strategy2.npz,2 -> 1 -> 3 -> 9 -> 7 -> 6 -> 4,2 -> 1 -> 3 -> 9 -> 7 -> 6 -> 6 -> 4,7,1,0,87.50%,100.00%,93.33%
continuous_0013_S4_strategy2.npz,3 -> 4 -> 0 -> 6 -> 2,3 -> 3 -> 4 -> 0 -> 4 -> 6 -> 2,4,3,1,57.14%,80.00%,66.67%
