============================================================
DATA LOADING
============================================================
✓ Loaded data successfully
  - Gloss classes: 105
  - Category classes: 10

============================================================
DATASET PREPARATION
============================================================
✓ Created datasets and data loaders
  - Batch size: 32
  - Training batches: 54
  - Validation batches: 14

============================================================
MODEL SELECTION
============================================================
Available models:
- transformer: Multi-head attention transformer
- iv3_gru: InceptionV3 + GRU hybrid
✓ Using SignTransformer model

Model Information:
  - Model type: SignTransformer
  - Total parameters: 3,280,627
  - Trainable parameters: 3,280,627
  - Model size: 12.5 MB

============================================================
TRAINING START
============================================================
Resumed from shared/transformer_low-acc_09-15/SignTransformer_last.pt at epoch 30 (best_metric=0.2887)
Training for 41 epochs...
Loss weights - Gloss: 0.5, Category: 0.5
------------------------------------------------------------
Epoch 31/70 | Train Loss: 1.4829 | Val Loss: 1.7995 | Val Gloss Acc: 0.265 | Val Cat Acc: 0.613
Epoch 32/70 | Train Loss: 1.4589 | Val Loss: 1.6252 | Val Gloss Acc: 0.300 | Val Cat Acc: 0.662
Epoch 33/70 | Train Loss: 1.4077 | Val Loss: 1.6005 | Val Gloss Acc: 0.326 | Val Cat Acc: 0.667
Epoch 34/70 | Train Loss: 1.3521 | Val Loss: 1.6459 | Val Gloss Acc: 0.322 | Val Cat Acc: 0.662
Epoch 35/70 | Train Loss: 1.3405 | Val Loss: 1.6276 | Val Gloss Acc: 0.326 | Val Cat Acc: 0.643
Epoch 36/70 | Train Loss: 1.3363 | Val Loss: 1.4712 | Val Gloss Acc: 0.343 | Val Cat Acc: 0.690
Epoch 37/70 | Train Loss: 1.2317 | Val Loss: 1.5183 | Val Gloss Acc: 0.336 | Val Cat Acc: 0.657
Epoch 38/70 | Train Loss: 1.2322 | Val Loss: 1.6175 | Val Gloss Acc: 0.331 | Val Cat Acc: 0.653
Epoch 36/70 | Train Loss: 1.3363 | Val Loss: 1.4712 | Val Gloss Acc: 0.343 | Val Cat Acc: 0.690
Epoch 37/70 | Train Loss: 1.2317 | Val Loss: 1.5183 | Val Gloss Acc: 0.336 | Val Cat Acc: 0.657
Epoch 36/70 | Train Loss: 1.3363 | Val Loss: 1.4712 | Val Gloss Acc: 0.343 | Val Cat Acc: 0.690
