============================================================
DATA LOADING
============================================================
✓ Loaded data successfully
  - Gloss classes: 105
  - Category classes: 10

============================================================
DATASET PREPARATION
============================================================
✓ Created datasets and data loaders
  - Batch size: 32
  - Training batches: 54
  - Validation batches: 14

============================================================
MODEL SELECTION
============================================================
Available models:
- transformer: Multi-head attention transformer
- iv3_gru: InceptionV3 + GRU hybrid
✓ Using SignTransformer model

Model Information:
  - Model type: SignTransformer
  - Total parameters: 3,280,627
  - Trainable parameters: 3,280,627
  - Model size: 12.5 MB

============================================================
TRAINING START
============================================================
Resumed from shared/transformer_low-acc_09-15/SignTransformer_last.pt at epoch 30 (best_metric=0.2887)
Training for 70 epochs...
Loss weights - Gloss: 0.5, Category: 0.5
------------------------------------------------------------
Epoch 31/100 | Train Loss: 1.4829 | Val Loss: 1.7995 | Val Gloss Acc: 0.265 | Val Cat Acc: 0.613
Epoch 32/100 | Train Loss: 1.4589 | Val Loss: 1.6252 | Val Gloss Acc: 0.300 | Val Cat Acc: 0.662
Epoch 33/100 | Train Loss: 1.4077 | Val Loss: 1.6005 | Val Gloss Acc: 0.326 | Val Cat Acc: 0.667
Epoch 34/100 | Train Loss: 1.3521 | Val Loss: 1.6459 | Val Gloss Acc: 0.322 | Val Cat Acc: 0.662
Epoch 35/100 | Train Loss: 1.3405 | Val Loss: 1.6276 | Val Gloss Acc: 0.326 | Val Cat Acc: 0.643
Epoch 36/100 | Train Loss: 1.3363 | Val Loss: 1.4712 | Val Gloss Acc: 0.343 | Val Cat Acc: 0.690
Epoch 37/100 | Train Loss: 1.2317 | Val Loss: 1.5183 | Val Gloss Acc: 0.336 | Val Cat Acc: 0.657
Epoch 38/100 | Train Loss: 1.2322 | Val Loss: 1.6175 | Val Gloss Acc: 0.331 | Val Cat Acc: 0.653
Epoch 39/100 | Train Loss: 1.2298 | Val Loss: 1.5119 | Val Gloss Acc: 0.366 | Val Cat Acc: 0.685
Epoch 40/100 | Train Loss: 1.2058 | Val Loss: 1.5398 | Val Gloss Acc: 0.350 | Val Cat Acc: 0.674
Epoch 41/100 | Train Loss: 1.1657 | Val Loss: 1.5158 | Val Gloss Acc: 0.380 | Val Cat Acc: 0.692
Epoch 42/100 | Train Loss: 1.1303 | Val Loss: 1.4754 | Val Gloss Acc: 0.362 | Val Cat Acc: 0.692
Epoch 43/100 | Train Loss: 1.1107 | Val Loss: 1.3947 | Val Gloss Acc: 0.378 | Val Cat Acc: 0.725
Epoch 44/100 | Train Loss: 1.0721 | Val Loss: 1.4190 | Val Gloss Acc: 0.385 | Val Cat Acc: 0.704
Epoch 45/100 | Train Loss: 1.0736 | Val Loss: 1.3982 | Val Gloss Acc: 0.380 | Val Cat Acc: 0.711
Epoch 46/100 | Train Loss: 1.0517 | Val Loss: 1.4731 | Val Gloss Acc: 0.352 | Val Cat Acc: 0.690
Epoch 47/100 | Train Loss: 1.0467 | Val Loss: 1.3367 | Val Gloss Acc: 0.397 | Val Cat Acc: 0.716
Epoch 48/100 | Train Loss: 0.9842 | Val Loss: 1.3331 | Val Gloss Acc: 0.408 | Val Cat Acc: 0.718
Epoch 49/100 | Train Loss: 0.9808 | Val Loss: 1.3615 | Val Gloss Acc: 0.380 | Val Cat Acc: 0.728
